ref,context,words,gloss,translation,comment
tha-modal-1,epi-nec-1,Ben dong  wainam (dorn ni),Ben MOD swim     (right now),Ben MUST be swimming (right now). ,
tha-modal-1b,epi-nec-1,Ben dong ca wainam,Ben MOD    swim     (right now),Ben MUST be swimming (right now). ,"not preferable, but still a possible grammatical variant"
tha-modal-1c,epi-nec-1,*Ben jam bpen wainam 			,Ben ?  swim,,
tha-modal-1d,epi-nec-1,Ben jam bpen dong wainam,Ben MOD	        wainam,Ben MUST be swimming (right now).,
tha-modal-2,epi-nec-2,John dong   yuu     tii 	   rongrein,John MOD  exist    LOC   school,John MUST be at school.,
tha-modal-2b,epi-nec-2,John dong ca  yuu   tii 	    rongrein 		,John MOD ca exist  LOC  school,John MUST be at school.,a possible grammatical variant
tha-modal-3,epi-nec-3,Mun dong   yuu  tii       C,It      MOD  exist LOC  C,it MUST be in C.,
tha-modal-55,epi-nec-4,Maa dong   mai	   yuu     nai       baan,dog  MOD  neg    exist   inside   house,the dog MUST not be in the house.,
tha-modal-55b,epi-nec-4,Maa   dong (ca) mai   yuu    nai       baan,Dog   MOD (ca) neg   exist   inside  house,the dog MUST not be in the house.,
tha-modal-55c,epi-nec-4,(Jam bpen)+dong ,,,"Jam bpen is optional before dong and felicitous in all contexts above. 
Jam bpen always co-occurs with dong: [jam bpen *(dong)]"
tha-modal-4,epi-wn-1,Ann naa ca yuu tii talae saab dorn ni,,Ann SHOULD be at the lake right now.,
tha-modal-4b,epi-wn-1,*Ann naa yuu tii talae saab dorn ni,,Ann SHOULD be at the lake right now. ,
tha-modal-4c,epi-wn-1,Ann kuan ca yuu tii talae saab dorn ni   ,,Ann SHOULD be at the lake right now. ,
tha-modal-4d,epi-wn-1,*Ann kuan yuu tii talae saab dorn ni   ,,Ann SHOULD be at the lake right now. ,
tha-modal-5,epi-wn-2,Naa      ca    phon dok,MOD	   ca      rain   fall,it SHOULD be raining,
tha-modal-5b,epi-wn-2,* Naa   phon dok,MOD    rain   fall,it SHOULD be raining,
tha-modal-5c,epi-wn-2,Kuan       ca       phon         dok                 ,MOD	   ca      rain   fall,it SHOULD be raining,[more formal register]
tha-modal-5d,epi-wn-2,*Kuan     phon         dok                 ,MOD    rain   fall,it SHOULD be raining,
tha-modal-6,epi-wn-3,Mary naa ca     yuu    tii    baan,Mary MOD ca 	 exist  loc   home,Mary SHOULD be at home,
tha-modal-6b,epi-wn-3,* Mary naa  yuu    tii    baan,Mary MOD  exist  loc   home,Mary SHOULD be at home,
tha-modal-6c,epi-wn-3,Mary kuan   ca  yuu         tii    baan     ,Mary MOD    ca   exist  loc   home,Mary SHOULD be at home,
tha-modal-6d,epi-wn-3,* Mary kuan  yuu         tii    baan     ,Mary MOD    exist  loc   home,Mary SHOULD be at home,
tha-modal-7,epi-pos-1,Kao        aat   ca maa     tii              rongrein   wannii,3.SG        MOD          ca    come   LOC   school      today ,He MIGHT be coming to school today.,"Aat ca is more comfortable when used speaking (i.e., a less formal variant)"
tha-modal-7b,epi-pos-1,* Kao        aat   maa     tii              rongrein   wannii,3.SG        MOD   come   LOC   school      today ,He MIGHT be coming to school today.,
tha-modal-7c,epi-pos-1,Kao         kong      ca  maa      tii         rongrein         wannii,3.SG 	MOD     ca     come    LOC    school 	today ,He MIGHT be coming to school today.,"Kong being the more formal variant, and something more likely to be written rather than spoken. "
tha-modal-7d,epi-pos-1,* Kao         kong     maa      tii         rongrein         wannii,3.SG         MOD   come    LOC    school         today ,He MIGHT be coming to school today.,
tha-modal-8,epi-pos-2,(Saikor              kong   Grace)  aat        ca  tam    hay,(Necklace  POSS Grace)  MOD	   ca     do      lost,Grace’s necklace MIGHT be lost.,
tha-modal-8b,epi-pos-2,*(Saikor              kong   Grace)  aat       tam    hay,(Necklace  POSS Grace)  MOD     do      lost,Grace’s necklace MIGHT be lost.,
tha-modal-9,epi-pos-3,"Mew aat     ca    yuu    klang nai.    Mew aat     *(ca)     yuu          klang nork,",Cat    mod      ca     exist   inside.         Cat    MOD    ca       exist   outside.,The cat MAY be inside. The cat MAY also be outside.,
tha-modal-9b,epi-pos-3,"* Mew aat    yuu    klang nai.    Mew aat     *(ca)     yuu          klang nork,",Cat    mod   exist   inside.         Cat    MOD    ca       exist   outside.,The cat MAY be inside. The cat MAY also be outside.,
tha-modal-10,epi-pos-4,Khun   kid    wa     daniel    aat   ca    pai    new york,2.sg     think that    daniel    MOD   ca      go     new york ,Daniel MAY go to New York.,
tha-modal-10b,epi-pos-4,* Khun   kid    wa     daniel    aat  pai    new york,2.sg     think that    daniel    MOD  go     new york ,Daniel MAY go to New York.,
tha-modal-10c,epi-pos-4,Khun   kid    wa     daniel    kong   ca    pai    new york,2.sg     think that    daniel    MOD   ca      go     new york ,Daniel MAY go to New York.,"Kong interchangeable, but there remains the register difference."
tha-modal-11,epi-nnec-1,"Mary naa     ca   yuu     tii      baan,   dae   khao aat      ca   mai    yuu","Mary MOD     ca     exist   LOC  house, but   3sg   MOD  ca   not     exist",she MAY NOT be at home.,
tha-modal-11b,epi-nnec-1,"* Mary naa    yuu     tii      baan,   dae   khao aat      ca   mai    yuu","Mary MOD    exist   LOC  house, but   3sg   MOD  ca   not     exist",she MAY NOT be at home.,
tha-modal-11c,epi-nnec-1,# mai dong,MOD,,With mai dong - consultant says that the reading is more along the lines of Mary is not required to be in the house’ (neg > deontic nec)
tha-modal-12,epi-imp-1,Ben yuu    tii      baan    mai	dai ,Ben exist  LOC  house  NEG  	MOD 			,Ben CAN’T be at home. ,
tha-modal-12b,epi-imp-1,# Ben harm yuu tii baan,Ben MOD exist loc house,,
tha-modal-13,epi-imp-2,… mai dai …,MOD,,
tha-modal-13b,epi-imp-2,*harm ,MOD,,
tha-modal-14,deo-nec-1,Jambpen [dong] (ca) 	suam 	muakgonok 	,MOD                 CA        wear          helmet ,You MUST wear a helmet.,"A lot more authoritative than ""dong (ca)"""
tha-modal-14b,deo-nec-1,Dong 	(ca)	suam	 muakgonok ,MOD  	 ca	wear	 helmet,You MUST wear a helmet.,
tha-modal-15,deo-nec-2,Jampben dong	 oork 	jark   hong 	khonkhai gorn 	   6 moong 	,MOD   		 leave     -       room 	 ___	   before   6 o’clock, Visitors MUST leave by 6pm.,"This is more formal again, as in a rule that could be written or firmly spoken"
tha-modal-16,deo-wn-1,Chan	 sonkuan    daeng     dour      supaab 	gorn 	pai 	party ,I      	 MOD         dress       body    formal 	ahead 	of 	party,I OUGHT TO wear formal clothes to the party.,
tha-modal-16b,deo-wn-1,Chan	 kuan	 daeng	 dour…,I        	 MOD 	 dress 	body…,I OUGHT TO wear formal clothes to the party.,
tha-modal-16c,deo-wn-1,Chan naa ca daeng dour	,I       mod  CA dress body…,I OUGHT TO wear formal clothes to the party.,"Naa not infelicitous, but not the first example to come to mind"
tha-modal-17,deo-wn-2,Khon 	tii       mai    chay panak-knarn sonkuan laang mer   duay,Person  LOC  NEG  be     employee      MOD     wash  hand also                        ,Non-employees OUGHT TO wash their hands too!,
tha-modal-17b,deo-wn-2,Khon 	tii       mai      chay   panak-knarn  kuan (ca)   laang    mer     duay,Person  LOC  NEG     be      employee      MOD          wash     hand   also   ,Non-employees OUGHT TO wash their hands too!,
tha-modal-17c,deo-wn-2,Khon         tii       mai    chay panak-knarn  naa (ca)  laang         mer         duay          ,Person  LOC  NEG  be     employee      MOD      wash  	hand 	also ,Non-employees OUGHT TO wash their hands too!,
tha-modal-18,deo-wn-3,sonkuan (ca) sai             naa         gark ,MOD 	           ca   put-on  face 	mask ,I OUGHT TO wear a face covering.,
tha-modal-18b,deo-wn-3,kuan (ca) sai             naa         gark ,MOD 	           ca   put-on  face 	mask ,I OUGHT TO wear a face covering.,
