ref,context,words,gloss,translation,comment,
tur-modal-1,epi-nec-1,Ben şu an-da yüz-üyor ol-malı,Ben dem moment-loc swim-pres be-MOD,Ben must be swimming right now.,,
tur-modal-1b,epi-nec-1,Ben yüz-üyor.,Ben swim-ipfv.pres,Ben is swimming/swims.,,
tur-modal-1c,epi-nec-1,#Ben yüz-er. ,Ben swim-AOR,,"a) If X happens, Ben will swim.
b) Ben habitually swims.",
tur-modal-1d,epi-nec-1,#Ben yüz-meli.,Ben swim-MOD,Ben is under the obligation to swim.,,
tur-modal-1e,epi-nec-1,Ben’in bu saat-te yüz-üyor ol-ma-sı lazım.,Ben-gen this time-loc swim.ipfv be-inf-3s.poss lazım.cop.3s,Ben is supposed to be swimming right now.,,
tur-modal-1f,epi-nec-1,Ben’in bu saat-te yüz-üyor ol-ma-sı gerek.,Ben-gen this time-loc swim.ipfv be-inf-3s.poss gerek,Ben is supposed to be swimming right now.,,
tur-modal-2,epi-nec-2,Ben okul-da ol-malı,Ben school-loc be-MOD,Ben must be at school.,preferred,
tur-modal-2b,epi-nec-2,Ben okul-da-dır,Ben school-loc-DIR,Ben is likely at school.,,
tur-modal-2c,epi-nec-2,Ben okul-da ol-acak(-tır),Ben school-loc be-fut-DIR,Ben will be at school.,(more formal/literary/…),
tur-modal-3,epi-nec-3,C’de ol-malı-dır,C-loc be-MOD-DIR,It MUST be in C.,,
tur-modal-3b,epi-nec-3,C’de ol-malı,C-loc be-MOD,It MUST be in C.,preferred. Intuition: “-DIR” somehow weakens the statement and this clashes with the certainty that the ball is in C. ,
tur-modal-3c,epi-nec-3,Top-un C’de ol-ma-sı şart.,Ball-gen C.loc be-nmz-3s.poss ŞART.cop.3s,The ball has to be in C.,The consult’s comment: I tend to accept ‘şart’ in an epistemic necessity context. I feel like its deontic use might be more common? Another speaker tells me that he doesn’t like it as an epistemic.,
tur-modal-3d,epi-nec-3,Topun C’de olması lazım,Ball-gen C.loc be-nmz-3s.poss lazım.cop.3s,The ball has to be in C.,,
tur-modal-3e,epi-nec-3,Topun C’de olması gerek.,Ball-gen C.loc be-nmz-3s.poss gerek,The ball has to be in C.,Perhaps a slight dispreference for ‘gerek.’,
tur-modal-4,epi-nec-4,Ev-de ol-ma-malı.,House-loc be-NEG-MOD,It must be that the dog is not in the house.,,
tur-modal-4b,epi-nec-4,Ev-de değil-dir,House-loc predicate.negation-DIR ,The dog is probably not in the house.,DIR is weaker than MA. And therefore it is dispreferred,
tur-modal-5,epi-wn-1,Ann şu an-da göl-de ol-malı-dır  ,Ann dem moment-loc lake-loc be-MOD-dir,Ann must probably be at the lake right now.,,
tur-modal-5b,epi-wn-1,# Ann şu an-da göl-de ol-abil-ir,Ann dem moment-loc lake-loc be-abil-aor,Ann might be at the lake right now.,,
tur-modal-5c,epi-wn-1,Ann şu anda göl-de olmalı,Ann dem moment-loc lake-loc be-MOD,Ann must be at the lake right now.,slightly dispreferred to olmalıdır,
tur-modal-5d,epi-wn-1,Ann şu an-da göl-de-dir.,Ann dem moment-loc lake-loc-DIR,Ann is probably at the lake right now.,,
tur-modal-6,epi-wn-2,Şu an-da yağmur yağ-ıyor-dur,Dem moment-loc rain precipitate-pres-DIR,It must be raining right now.,slightly preferred,
tur-modal-6b,epi-wn-2,# Şu an-da yağmur yağ-ıyor,Dem moment-loc rain precipitate-pres,it is raining right now.,,
