ref,context,premise,example,judgment,comment,index
rus-modal-evid1,epi-nec-1,na,rus-modal-1,felicitous,preferred,1
rus-modal-evid1b,epi-nec-1,na,rus-modal-1b,felicitous,,2
rus-modal-evid1c,epi-nec-1,na,rus-modal-1c,infelicitous,,3
rus-modal-evid2,epi-nec-2,na,rus-modal-2,felicitous,preferred,4
rus-modal-evid2b,epi-nec-2,na,rus-modal-2b,felicitous,,5
rus-modal-evid3,epi-nec-3,na,rus-modal-3,felicitous,preferred,6
rus-modal-evid3b,epi-nec-3,na,rus-modal-3b,felicitous,,7
rus-modal-evid4,epi-nec-4,na,rus-modal-4,felicitous,,8
rus-modal-evid4b,epi-nec-4,na,rus-modal-4b,felicitous,,9
rus-modal-evid5,epi-wn-1,na,rus-modal-5,felicitous,,10
rus-modal-evid5b,epi-wn-1,na,rus-modal-5b,felicitous,,11
rus-modal-evid6,epi-wn-2,na,rus-modal-6,felicitous,,12
rus-modal-evid6b,epi-wn-2,na,rus-modal-6b,felicitous,,13
rus-modal-evid7,epi-wn-3,na,rus-modal-7,felicitous,,14
rus-modal-evid7b,epi-wn-3,na,rus-modal-7b,felicitous,,15
rus-modal-evid7c,epi-wn-3,na,rus-modal-7c,ungrammatical,,16
rus-modal-evid8,epi-pos-1,na,rus-modal-8,felicitous,preferred,17
rus-modal-evid8b,epi-pos-1,na,rus-modal-8b,felicitous,,18
rus-modal-evid8c,epi-pos-1,na,rus-modal-8c,infelicitous,,19
rus-modal-evid9,epi-pos-2,na,rus-modal-9,felicitous,preferred,20
rus-modal-evid9b,epi-pos-2,na,rus-modal-9b,felicitous,,21
rus-modal-evid10,epi-pos-3,na,rus-modal-10,felicitous,,22
rus-modal-evid10b,epi-pos-3,na,rus-modal-10b,felicitous,,23
rus-modal-evid11,epi-pos-4,na,rus-modal-11,felicitous,,24
rus-modal-evid11b,epi-pos-4,na,rus-modal-11b,felicitous,,25
rus-modal-evid12,epi-nnec-1,na,rus-modal-12,felicitous,,26
rus-modal-evid12b,epi-nnec-1,na,rus-modal-12b,felicitous,,27
rus-modal-evid12c,epi-nnec-1,na,rus-modal-12c,infelicitous,,28
rus-modal-evid12d,epi-nnec-1,na,rus-modal-12d,infelicitous,,29
rus-modal-evid13,epi-imp-1,na,rus-modal-13,felicitous,,30
rus-modal-evid13b,epi-imp-1,na,rus-modal-13b,infelicitous,,31
rus-modal-evid13c,epi-imp-1,na,rus-modal-13c,infelicitous,,32
rus-modal-evid13d,epi-imp-1,na,rus-modal-13d,ungrammatical,,33
rus-modal-evid14,epi-imp-2,na,rus-modal-14,felicitous,,34
rus-modal-evid14b,epi-imp-2,na,rus-modal-14b,ungrammatical,,35
rus-modal-evid15,deo-nec-1,na,rus-modal-15,felicitous,,36
rus-modal-evid15b,deo-nec-1,na,rus-modal-15b,felicitous,,37
rus-modal-evid16,deo-nec-2,na,rus-modal-16,felicitous,,38
rus-modal-evid17,deo-wn-1,na,rus-modal-17,felicitous,,39
rus-modal-evid18,deo-wn-2,na,rus-modal-18,felicitous,,40
rus-modal-evid19,deo-wn-3,na,rus-modal-19,felicitous,,41
rus-modal-evid19b,deo-wn-3,na,rus-modal-19b,infelicitous,,42
rus-modal-evid19c,deo-wn-3,na,rus-modal-19c,infelicitous,,43
rus-modal-evid20,deo-pos-1,na,rus-modal-20,felicitous,,44
rus-modal-evid20b,deo-pos-1,na,rus-modal-20b,infelicitous,,45
rus-modal-evid20c,deo-pos-1,na,rus-modal-20c,infelicitous,,46
rus-modal-evid21,deo-pos-2,na,rus-modal-21,felicitous,,47
rus-modal-evid22,deo-pos-3,na,rus-modal-22,felicitous,,48
rus-modal-evid23,deo-pos-4,na,rus-modal-23,felicitous,,49
rus-modal-evid23b,deo-pos-4,na,rus-modal-23b,infelicitous,,50
rus-modal-evid24,deo-pos-5,na,rus-modal-24,felicitous,,51
rus-modal-evid24b,deo-pos-5,na,rus-modal-24b,infelicitous,,52
rus-modal-evid25,deo-nnec-1,na,rus-modal-25,felicitous,,53
rus-modal-evid25b,deo-nnec-1,na,rus-modal-25b,felicitous,,54
rus-modal-evid26,deo-nnec-2,na,rus-modal-26,felicitous,,55
rus-modal-evid26b,deo-nnec-2,na,rus-modal-26b,felicitous,,56
rus-modal-evid27,deo-imp-1,na,rus-modal-27,felicitous,,57
rus-modal-evid27b,deo-imp-1,na,rus-modal-27b,felicitous,,58
rus-modal-evid28,deo-imp-2,na,rus-modal-28,felicitous,,59
rus-modal-evid28b,deo-imp-2,na,rus-modal-28b,felicitous,,60
rus-modal-evid29,tel-nec-1,na,rus-modal-29,felicitous,,61
rus-modal-evid29b,tel-nec-1,na,rus-modal-29b,felicitous,,62
rus-modal-evid30,tel-nec-2,na,rus-modal-30,felicitous,,63
rus-modal-evid30b,tel-nec-2,na,rus-modal-30b,felicitous,,64
rus-modal-evid31,tel-nec-3,na,rus-modal-31,felicitous,,65
rus-modal-evid31b,tel-nec-3,na,rus-modal-31b,felicitous,,66
rus-modal-evid31c,tel-nec-3,na,rus-modal-31c,felicitous,,67
rus-modal-evid31d,tel-nec-3,na,rus-modal-31d,ungrammatical,,68
rus-modal-evid32,tel-wn-1,na,rus-modal-32,felicitous,,69
rus-modal-evid33,tel-wn-2,na,rus-modal-33,felicitous,,70
rus-modal-evid34,tel-wn-3,na,rus-modal-34,felicitous,,71
rus-modal-evid34b,tel-wn-3,na,rus-modal-34b,infelicitous,,72
rus-modal-evid34c,tel-wn-3,na,rus-modal-34c,felicitous,,73
rus-modal-evid35,tel-pos-1,na,rus-modal-35,felicitous,,74
rus-modal-evid36,tel-pos-2,na,rus-modal-36,felicitous,,75
rus-modal-evid37,tel-pos-3,na,rus-modal-37,felicitous,,76
rus-modal-evid38,tel-nnec-1,na,rus-modal-38,felicitous,,77
rus-modal-evid38b,tel-nnec-1,na,rus-modal-38b,felicitous,,78
rus-modal-evid38c,tel-nnec-1,na,rus-modal-38c,infelicitous,,79
rus-modal-evid38d,tel-nnec-1,na,rus-modal-38d,infelicitous,,80
rus-modal-evid39,tel-imp-1,na,rus-modal-39,felicitous,,81
rus-modal-evid39b,tel-imp-1,na,rus-modal-39b,infelicitous,,82
rus-modal-evid40,tel-imp-2,na,rus-modal-40,felicitous,,83
rus-modal-evid41,cir-nec-1,na,rus-modal-41,felicitous,,84
rus-modal-evid41b,cir-nec-1,na,rus-modal-41b,felicitous,,85
rus-modal-evid41c,cir-nec-1,na,rus-modal-41c,infelicitous,,86
rus-modal-evid41d,cir-nec-1,na,rus-modal-41d,infelicitous,,87
rus-modal-evid42,cir-nec-2,na,rus-modal-42,felicitous,,88
rus-modal-evid42b,cir-nec-2,na,rus-modal-42b,felicitous,,89
rus-modal-evid43,cir-nec-5,na,rus-modal-43,felicitous,,90
rus-modal-evid43b,cir-nec-5,na,rus-modal-43b,felicitous,,91
rus-modal-evid44,cir-nec-3,na,rus-modal-44,felicitous,,92
rus-modal-evid44b,cir-nec-3,na,rus-modal-44b,felicitous,,93
rus-modal-evid44c,cir-nec-3,na,rus-modal-44c,infelicitous,,94
rus-modal-evid44d,cir-nec-3,na,rus-modal-44d,infelicitous,,95
rus-modal-evid45,cir-pos-1,na,rus-modal-45,felicitous,marginal,96
rus-modal-evid45b,cir-pos-1,na,rus-modal-45b,felicitous,,97
rus-modal-evid45c,cir-pos-1,na,rus-modal-45c,felicitous,,98
rus-modal-evid46,cir-pos-2,na,rus-modal-46,felicitous,,99
rus-modal-evid46b,cir-pos-2,na,rus-modal-46b,felicitous,,100
rus-modal-evid46c,cir-pos-2,na,rus-modal-46c,infelicitous,,101
rus-modal-evid47,cir-pos-3,na,rus-modal-47,felicitous,,102
rus-modal-evid47b,cir-pos-3,na,rus-modal-47b,infelicitous,,103
rus-modal-evid47c,cir-pos-3,na,rus-modal-47c,infelicitous,,104
rus-modal-evid48,cir-pos-4,na,rus-modal-48,felicitous,,105
rus-modal-evid49,cir-pos-5,na,rus-modal-49,felicitous,,106
rus-modal-evid49b,cir-pos-5,na,rus-modal-49b,felicitous,,107
rus-modal-evid50,cir-nnec-1,na,rus-modal-50,felicitous,,108
rus-modal-evid50b,cir-nnec-1,na,rus-modal-50b,infelicitous,,109
rus-modal-evid50c,cir-nnec-1,na,rus-modal-50c,felicitous,,110
rus-modal-evid51,cir-imp-3,na,rus-modal-51,felicitous,,111
rus-modal-evid51b,cir-imp-3,na,rus-modal-51b,infelicitous,,112
rus-modal-evid51c,cir-imp-3,na,rus-modal-51c,infelicitous,,113
rus-modal-evid52,cir-imp-2,na,rus-modal-52,felicitous,,114
rus-modal-evid52b,cir-imp-2,na,rus-modal-52b,felicitous,,115
rus-modal-evid53,cir-imp-4,na,rus-modal-53,felicitous,,116
rus-modal-evid53b,cir-imp-4,na,rus-modal-53b,felicitous,,117
rus-modal-evid53c,cir-imp-4,na,rus-modal-53c,infelicitous,,118
rus-modal-evid54,bou-nec-1,na,rus-modal-54,felicitous,,119
rus-modal-evid54b,bou-nec-1,na,rus-modal-54b,felicitous,,120
rus-modal-evid54c,bou-nec-1,na,rus-modal-54c,infelicitous,,121
rus-modal-evid55,bou-nec-2,na,rus-modal-55,felicitous,,122
rus-modal-evid55b,bou-nec-2,na,rus-modal-55b,felicitous,marginal,123
rus-modal-evid56,bou-nec-3,na,rus-modal-56,felicitous,,124
rus-modal-evid56b,bou-nec-3,na,rus-modal-56b,infelicitous,,125
rus-modal-evid56c,bou-nec-3,na,rus-modal-56c,infelicitous,,126
