expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes,index
ɛsɛsɛ,strong,epistemic,1,"aka-modal-evid1, aka-modal-evid2b, aka-modal-evid3",positive,no,ɛsɛsɛ,,1
ɛsɛsɛ,weak necessity,epistemic,1,"aka-modal-evid5, aka-modal-evid6",positive,no,ɛsɛsɛ,,2
ɛsɛsɛ,weak,epistemic,?,,positive,no,ɛsɛsɛ,,3
ɛsɛsɛ,strong,deontic,1,"aka-modal-evid12, aka-modal-evid13",positive,no,ɛsɛsɛ,,4
ɛsɛsɛ,weak necessity,deontic,1,aka-modal-evid16,positive,no,ɛsɛsɛ,,5
ɛsɛsɛ,weak,deontic,?,,positive,no,ɛsɛsɛ,,6
ɛsɛsɛ,strong,teleological,?,,positive,no,ɛsɛsɛ,this is marginally acceptable according to consultant,7
ɛsɛsɛ,weak necessity,teleological,?,,positive,no,ɛsɛsɛ,,8
ɛsɛsɛ,weak,teleological,?,,positive,no,ɛsɛsɛ,,9
ɛsɛsɛ,strong,circumstantial,1,aka-modal-evid35,positive,no,ɛsɛsɛ,ɛwɔsɛ is preferred but ɛsɛsɛ is accpetable as well,10
ɛsɛsɛ,weak,circumstantial,?,,positive,no,ɛsɛsɛ,,11
ɛsɛsɛ,strong,bouletic,1,aka-modal-evid41b,positive,no,ɛsɛsɛ,,12
ɛsɛsɛ,strong,epistemic,1,aka-modal-evid3p,negative,low,ɛnsɛsɛ,n is negation,13
ɛsɛsɛ,weak necessity,epistemic,?,,negative,,,,14
ɛsɛsɛ,weak,epistemic,?,,negative,,,,15
ɛsɛsɛ,strong,deontic,1,aka-modal-evid16pc,negative,low,ɛnsɛsɛ,"it is hard to tell from note the scope of negation, but from the semantics of words it seems like the negation scopes lower",16
ɛsɛsɛ,weak necessity,deontic,?,,negative,,,,17
ɛsɛsɛ,weak,deontic,?,,negative,,,,18
ɛsɛsɛ,strong,teleological,1,aka-modal-evid24pb,negative,low,ɛnsɛsɛ,"it is hard to tell from note the scope of negation, but from the semantics of words it seems like the negation scopes lower",19
ɛsɛsɛ,weak necessity,teleological,?,,negative,,,,20
ɛsɛsɛ,weak,teleological,?,,negative,,,,21
ɛsɛsɛ,strong,circumstantial,?,,negative,,,,22
ɛsɛsɛ,weak,circumstantial,?,,negative,,,,23
