expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes
müleyafuy may,strong,epistemic,1,"arn-modal-evid2, arn-modal-evid3, arn-modal-evid4",positive,no,müleyafuy may,Müle is the copula stem. 
müleyafuy may,weak necessity,epistemic,1,arn-modal-evid5,positive,no,müleyafuy may,
müleyafuy may,weak,epistemic,?,,positive,no,müleyafuy may,
müleyafuy may,strong,deontic,?,,positive,no,müleyafuy may,
müleyafuy may,weak necessity,deontic,?,,positive,no,müleyafuy may,
müleyafuy may,weak,deontic,?,,positive,no,müleyafuy may,
müleyafuy may,strong,teleological,?,,positive,no,müleyafuy may,
müleyafuy may,weak necessity,teleological,?,,positive,no,müleyafuy may,
müleyafuy may,weak,teleological,?,,positive,no,müleyafuy may,
müleyafuy may,strong,circumstantial,?,,positive,no,müleyafuy may,
müleyafuy may,weak,circumstantial,?,,positive,no,müleyafuy may,
müleyafuy may,strong,bouletic,?,,positive,no,müleyafuy may,
-pelayafuy,strong,epistemic,?,,positive,no,V-pelayafuy,
-pelayafuy,weak necessity,epistemic,1,"arn-modal-evid6, arn-modal-evid7",positive,no,V-pelayafuy,
-pelayafuy,weak,epistemic,1,arn-modal-evid11,positive,no,V-pelayafuy,
-pelayafuy,strong,deontic,?,,positive,no,V-pelayafuy,
-pelayafuy,weak necessity,deontic,?,,positive,no,V-pelayafuy,
-pelayafuy,weak,deontic,?,,positive,no,V-pelayafuy,
-pelayafuy,strong,teleological,?,,positive,no,V-pelayafuy,
-pelayafuy,weak necessity,teleological,?,,positive,no,V-pelayafuy,
-pelayafuy,weak,teleological,?,,positive,no,V-pelayafuy,
-pelayafuy,strong,circumstantial,?,,positive,no,V-pelayafuy,
-pelayafuy,weak,circumstantial,?,,positive,no,V-pelayafuy,
-pelayafuy,strong,bouletic,?,,positive,no,V-pelayafuy,
müleyafuy kam,strong,epistemic,?,,positive,no,müleyafuy kam + [...] + chi,
müleyafuy kam,weak necessity,epistemic,?,,positive,no,müleyafuy kam + [...] + chi,
müleyafuy kam,weak,epistemic,1,"arn-modal-evid9, arn-modal-evid10",positive,no,müleyafuy kam + [...] + chi,
müleyafuy kam,strong,deontic,?,,positive,no,müleyafuy kam + [...] + chi,
müleyafuy kam,weak necessity,deontic,?,,positive,no,müleyafuy kam + [...] + chi,
müleyafuy kam,weak,deontic,?,,positive,no,müleyafuy kam + [...] + chi,
müleyafuy kam,strong,teleological,?,,positive,no,müleyafuy kam + [...] + chi,
müleyafuy kam,weak necessity,teleological,?,,positive,no,müleyafuy kam + [...] + chi,
müleyafuy kam,weak,teleological,?,,positive,no,müleyafuy kam + [...] + chi,
müleyafuy kam,strong,circumstantial,?,,positive,no,müleyafuy kam + [...] + chi,
müleyafuy kam,weak,circumstantial,?,,positive,no,müleyafuy kam + [...] + chi,
müleyafuy kam,strong,bouletic,?,,positive,no,müleyafuy kam + [...] + chi,
pepi-_-afu,strong,epistemic,?,,positive,no,pepi-V-(y)afu-CONJ,
pepi-_-afu,weak necessity,epistemic,?,,positive,no,pepi-V-(y)afu-CONJ,
pepi-_-afu,weak,epistemic,1,arn-modal-evid8,positive,no,pepi-V-(y)afu-CONJ,
pepi-_-afu,strong,deontic,?,,positive,no,pepi-V-(y)afu-CONJ,
pepi-_-afu,weak necessity,deontic,?,,positive,no,pepi-V-(y)afu-CONJ,
pepi-_-afu,weak,deontic,?,,positive,no,pepi-V-(y)afu-CONJ,
pepi-_-afu,strong,teleological,?,,positive,no,pepi-V-(y)afu-CONJ,
pepi-_-afu,weak necessity,teleological,?,,positive,no,pepi-V-(y)afu-CONJ,
pepi-_-afu,weak,teleological,1,"arn-modal-evid35, arn-modal-evid36, arn-modal-evid37",positive,no,pepi-V-(y)afu-CONJ,
pepi-_-afu,strong,circumstantial,?,,positive,no,pepi-V-(y)afu-CONJ,
pepi-_-afu,weak,circumstantial,1,"arn-modal-evid44, arn-modal-evid45, arn-modal-evid48",positive,no,pepi-V-(y)afu-CONJ,
pepi-_-afu,strong,bouletic,?,,positive,no,pepi-V-(y)afu-CONJ,
müle-la-CONJ-chi,strong,epistemic,1,arn-modal-evid12,negative,high,müle-la-CONJ-chi,-la- is a negation infix
müle-la-CONJ-chi,weak necessity,epistemic,?,,negative,high,müle-la-CONJ-chi,
müle-la-CONJ-chi,weak,epistemic,?,,negative,high,müle-la-CONJ-chi,
müle-la-CONJ-chi,strong,deontic,?,,negative,high,müle-la-CONJ-chi,
müle-la-CONJ-chi,weak necessity,deontic,?,,negative,high,müle-la-CONJ-chi,
müle-la-CONJ-chi,weak,deontic,?,,negative,high,müle-la-CONJ-chi,
müle-la-CONJ-chi,strong,teleological,?,,negative,high,müle-la-CONJ-chi,
müle-la-CONJ-chi,weak necessity,teleological,?,,negative,high,müle-la-CONJ-chi,
müle-la-CONJ-chi,weak,teleological,?,,negative,high,müle-la-CONJ-chi,
müle-la-CONJ-chi,strong,circumstantial,?,,negative,high,müle-la-CONJ-chi,
müle-la-CONJ-chi,weak,circumstantial,?,,negative,high,müle-la-CONJ-chi,
müle-la-CONJ-chi,strong,bouletic,?,,negative,high,müle-la-CONJ-chi,
müle-la-CONJ may,strong,epistemic,?,,negative,low,müle-la-CONJ may,
müle-la-CONJ may,weak necessity,epistemic,?,,negative,low,müle-la-CONJ may,
müle-la-CONJ may,weak,epistemic,1,"arn-modal-evid13, arn-modal-evid14",negative,low,müle-la-CONJ may,
müle-la-CONJ may,strong,deontic,?,,negative,low,müle-la-CONJ may,
müle-la-CONJ may,weak necessity,deontic,?,,negative,low,müle-la-CONJ may,
müle-la-CONJ may,weak,deontic,?,,negative,low,müle-la-CONJ may,
müle-la-CONJ may,strong,teleological,?,,negative,low,müle-la-CONJ may,
müle-la-CONJ may,weak necessity,teleological,?,,negative,low,müle-la-CONJ may,
müle-la-CONJ may,weak,teleological,?,,negative,low,müle-la-CONJ may,
müle-la-CONJ may,strong,circumstantial,?,,negative,low,müle-la-CONJ may,
müle-la-CONJ may,weak,circumstantial,?,,negative,low,müle-la-CONJ may,
müle-la-CONJ may,strong,bouletic,?,,negative,low,müle-la-CONJ may,
müley [...] V-al,strong,epistemic,?,,positive,no,müley [...] V*-al,* is a kleene star; V* is a verb with any number of infixes
müley [...] V-al,weak necessity,epistemic,?,,positive,no,müley [...] V*-al,
müley [...] V-al,weak,epistemic,?,,positive,no,müley [...] V*-al,
müley [...] V-al,strong,deontic,1,"arn-modal-evid15, arn-modal-evid16",positive,no,müley [...] V*-al,
müley [...] V-al,weak necessity,deontic,?,,positive,no,müley [...] V*-al,
müley [...] V-al,weak,deontic,?,,positive,no,müley [...] V*-al,
müley [...] V-al,strong,teleological,?,,positive,no,müley [...] V*-al,
müley [...] V-al,weak necessity,teleological,?,,positive,no,müley [...] V*-al,
müley [...] V-al,weak,teleological,?,,positive,no,müley [...] V*-al,
