ref,context,premise,example,judgment,comment,index
tgl-modal-evid1,epi-nec-1,na,tgl-modal-1,felicitous,,1
tgl-modal-evid2,epi-nec-2,na,tgl-modal-2,felicitous,,2
tgl-modal-evid3,epi-nec-3,na,tgl-modal-3,felicitous,,3
tgl-modal-evid3b,epi-nec-3,na,tgl-modal-3b,felicitous,,4
tgl-modal-evid3c,epi-nec-3,na,tgl-modal-3c,felicitous,,5
tgl-modal-evid4,epi-nec-4,na,tgl-modal-4,felicitous,,6
tgl-modal-evid5,epi-wn-1,na,tgl-modal-5,felicitous,,7
tgl-modal-evid6,epi-wn-2,na,tgl-modal-6,felicitous,,8
tgl-modal-evid7,epi-wn-3,na,tgl-modal-7,felicitous,,9
tgl-modal-evid8,epi-pos-1,na,tgl-modal-8,felicitous,,10
tgl-modal-evid8b,epi-pos-1,na,tgl-modal-8b,felicitous,,11
tgl-modal-evid8c,epi-pos-1,na,tgl-modal-8c,felicitous,,12
tgl-modal-evid9,epi-pos-2,na,tgl-modal-9,felicitous,,13
tgl-modal-evid9b,epi-pos-2,na,tgl-modal-9b,felicitous,preferred,14
tgl-modal-evid9c,epi-pos-2,na,tgl-modal-9c,felicitous,,15
tgl-modal-evid10,epi-pos-3,na,tgl-modal-10,felicitous,,16
tgl-modal-evid10b,epi-pos-3,na,tgl-modal-10b,felicitous,,17
tgl-modal-evid10c,epi-pos-3,na,tgl-modal-10c,felicitous,,18
tgl-modal-evid10d,epi-pos-3,na,tgl-modal-10d,felicitous,,19
tgl-modal-evid11,epi-pos-4,na,tgl-modal-11,felicitous,,20
tgl-modal-evid12,epi-nnec-1,na,tgl-modal-12,felicitous,,21
tgl-modal-evid12b,epi-nnec-1,na,tgl-modal-12b,felicitous,preferred,22
tgl-modal-evid13,epi-imp-1,na,tgl-modal-13,felicitous,,23
tgl-modal-evid13b,epi-imp-1,na,tgl-modal-13b,felicitous,preferred,24
tgl-modal-evid13c,epi-imp-1,na,tgl-modal-13c,felicitous,,25
tgl-modal-evid14,epi-imp-2,na,tgl-modal-14,felicitous,,26
tgl-modal-evid15,deo-nec-1,na,tgl-modal-15,felicitous,,27
tgl-modal-evid15b,deo-nec-1,na,tgl-modal-15b,felicitous,,28
tgl-modal-evid15c,deo-nec-1,na,tgl-modal-15c,felicitous,,29
tgl-modal-evid15d,deo-nec-1,na,tgl-modal-15d,felicitous,,30
tgl-modal-evid16,deo-nec-2,na,tgl-modal-16,felicitous,,31
tgl-modal-evid17,deo-wn-1,na,tgl-modal-17,felicitous,,32
tgl-modal-evid17b,deo-wn-1,na,tgl-modal-17b,felicitous,preferred,33
tgl-modal-evid17c,deo-wn-1,na,tgl-modal-17c,felicitous,preferred,34
tgl-modal-evid18,deo-wn-2,na,tgl-modal-18,felicitous,,35
tgl-modal-evid18b,deo-wn-2,na,tgl-modal-18b,felicitous,preferred,36
tgl-modal-evid19,deo-wn-3,na,tgl-modal-19,infelicitous,,37
tgl-modal-evid19b,deo-wn-3,na,tgl-modal-19b,felicitous,strongly preferred,38
tgl-modal-evid20,deo-pos-1,na,tgl-modal-20,felicitous,,39
tgl-modal-evid20b,deo-pos-1,na,tgl-modal-20b,felicitous,,40
tgl-modal-evid20c,deo-pos-2,na,tgl-modal-20c,felicitous,,41
tgl-modal-evid20d,deo-pos-2,na,tgl-modal-20d,felicitous,,42
tgl-modal-evid21,deo-pos-3,na,tgl-modal-21,felicitous,,43
tgl-modal-evid21b,deo-pos-3,na,tgl-modal-21b,felicitous,,44
tgl-modal-evid21c,deo-pos-3,na,tgl-modal-21c,felicitous,,45
tgl-modal-evid22,deo-pos-4,na,tgl-modal-22,felicitous,,46
tgl-modal-evid23,deo-pos-5,na,tgl-modal-23,felicitous,,47
tgl-modal-evid24,deo-nnec-1,na,tgl-modal-24,felicitous,,48
tgl-modal-evid25,deo-nnec-2,na,tgl-modal-25,felicitous,,49
tgl-modal-evid26,deo-imp-1,na,tgl-modal-26,felicitous,,50
tgl-modal-evid27,deo-imp-2,na,tgl-modal-27,felicitous,,51
tgl-modal-evid28,tel-nec-1,na,tgl-modal-28,felicitous,,52
tgl-modal-evid29,tel-nec-2,na,tgl-modal-29,felicitous,,53
tgl-modal-evid30,tel-nec-3,na,tgl-modal-30,felicitous,,54
tgl-modal-evid31,tel-wn-1,na,tgl-modal-31,felicitous,,55
tgl-modal-evid31b,tel-wn-1,na,tgl-modal-31b,felicitous,preferred,56
tgl-modal-evid31c,tel-wn-1,na,tgl-modal-31c,infelicitous,,57
tgl-modal-evid32,tel-wn-2,na,tgl-modal-32,felicitous,,58
tgl-modal-evid32b,tel-wn-2,na,tgl-modal-32b,felicitous,preferred,59
tgl-modal-evid33,tel-wn-3,na,tgl-modal-33,felicitous,,60
tgl-modal-evid33b,tel-wn-3,na,tgl-modal-33b,felicitous,preferred,61
tgl-modal-evid34,tel-pos-1,na,tgl-modal-34,felicitous,,62
tgl-modal-evid34b,tel-pos-1,na,tgl-modal-34b,felicitous,,63
tgl-modal-evid34c,tel-pos-1,na,tgl-modal-34c,felicitous,,64
tgl-modal-evid34d,tel-pos-1,na,tgl-modal-34d,felicitous,,65
tgl-modal-evid34e,tel-pos-1,na,tgl-modal-34e,infelicitous,,66
tgl-modal-evid35,tel-pos-2,na,tgl-modal-35,felicitous,,67
tgl-modal-evid35b,tel-pos-2,na,tgl-modal-35b,felicitous,,68
