expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes
treuv,strong,epistemic,1,"khm-modal-evid1, khm-modal-evid2, khm-modal-evid3, khm-modal-evid4",positive,no,treuh.tai/treuh.kaa,treuh.kaa is participant internal
treuv,weak necessity,epistemic,?,,positive,no,treuh.tai/treuh.kaa,
treuv,weak,epistemic,?,,positive,no,treuh.tai/treuh.kaa,
treuv,strong,deontic,1,"khm-modal-evid16, khm-modal-evid17, khm-modal-evid16c",positive,no,treuh.tai/treuh.kaa,
treuv,weak necessity,deontic,?,,positive,no,treuh.tai/treuh.kaa,
treuv,weak,deontic,?,,positive,no,treuh.tai/treuh.kaa,
treuv,strong,teleological,1,"khm-modal-evid29, khm-modal-evid30, khm-modal-evid31",positive,no,treuh.tai/treuh.kaa,
treuv,weak necessity,teleological,?,,positive,no,treuh.tai/treuh.kaa,
treuv,weak,teleological,?,,positive,no,treuh.tai/treuh.kaa,
treuv,strong,circumstantial,1,"khm-modal-evid41b, khm-modal-evid41c, khm-modal-evid42, khm-modal-evid43",positive,no,treuh.tai/treuh.kaa,
treuv,weak,circumstantial,?,,positive,no,treuh.tai/treuh.kaa,
treuv,strong,bouletic,1,"khm-modal-evid53, khm-modal-evid53b, khm-modal-evid54",positive,no,treuh.tai/treuh.kaa,treuh.tai is preferred
treuv,strong,epistemic,?,,negative,,,
treuv,weak necessity,epistemic,?,,negative,,,
treuv,weak,epistemic,?,,negative,,,
treuv,strong,deontic,?,,negative,,,
treuv,weak necessity,deontic,?,,negative,,,
treuv,weak,deontic,1,khm-modal-evid28b,negative,high,mən treuh,
treuv,strong,teleological,?,,negative,,,
treuv,weak necessity,teleological,?,,negative,,,
treuv,weak,teleological,?,,negative,,,
treuv,strong,circumstantial,?,,negative,,,
treuv,weak,circumstantial,1,khm-modal-evid49,negative,high,mən treuh,possible misinterpretation of context
treuv,strong,bouletic,?,,negative,,,
kuə.tai,strong,epistemic,?,,positive,no,kuə.tai,
kuə.tai,weak necessity,epistemic,1,"khm-modal-evid5, khm-modal-evid6, khm-modal-evid7",positive,no,kuə.tai,
kuə.tai,weak,epistemic,?,,positive,no,kuə.tai,
kuə.tai,strong,deontic,?,,positive,no,kuə.tai,
kuə.tai,weak necessity,deontic,1,"khm-modal-evid18, khm-modal-evid19, khm-modal-evid20",positive,no,kuə.tai,
kuə.tai,weak,deontic,?,,positive,no,kuə.tai,
kuə.tai,strong,teleological,?,,positive,no,kuə.tai,
kuə.tai,weak necessity,teleological,1,"khm-modal-evid32, khm-modal-evid33, khm-modal-evid34",positive,no,kuə.tai,
kuə.tai,weak,teleological,?,,positive,no,kuə.tai,
kuə.tai,strong,circumstantial,?,,positive,no,kuə.tai,
kuə.tai,weak,circumstantial,?,,positive,no,kuə.tai,
kuə.tai,strong,bouletic,?,,positive,no,kuə.tai,
cham.bac,strong,epistemic,?,,positive,no,cham.bac,
cham.bac,weak necessity,epistemic,?,,positive,no,cham.bac,
cham.bac,weak,epistemic,?,,positive,no,cham.bac,
cham.bac,strong,deontic,1,"khm-modal-evid16b, khm-modal-evid17b",positive,no,cham.bac,
cham.bac,weak necessity,deontic,?,,positive,no,cham.bac,
cham.bac,weak,deontic,?,,positive,no,cham.bac,
cham.bac,strong,teleological,1,"khm-modal-evid29b, khm-modal-evid30b, khm-modal-evid31b",positive,no,cham.bac,
cham.bac,weak necessity,teleological,?,,positive,no,cham.bac,
cham.bac,weak,teleological,?,,positive,no,cham.bac,
cham.bac,strong,circumstantial,1,khm-modal-evid41,positive,no,cham.bac + treuh,chambac alone is infelicitous
cham.bac,weak,circumstantial,?,,positive,no,cham.bac,
cham.bac,strong,bouletic,?,,positive,no,cham.bac,
cham.bac,strong,epistemic,?,,negative,,,
cham.bac,weak necessity,epistemic,?,,negative,,,
cham.bac,weak,epistemic,?,,negative,,,
cham.bac,strong,deontic,1,"khm-modal-evid25, khm-modal-evid26",negative,high,mən chambac,
cham.bac,weak necessity,deontic,?,,negative,,,
cham.bac,weak,deontic,?,,negative,,,
cham.bac,strong,teleological,1,khm-modal-evid38,negative,high,mən chambac,
cham.bac,weak necessity,teleological,?,,negative,,,
cham.bac,weak,teleological,?,,negative,,,
cham.bac,strong,circumstantial,?,,negative,,,
cham.bac,weak,circumstantial,?,,negative,,,
cham.bac,strong,bouletic,?,,negative,,,
pro.hai,strong,epistemic,?,,positive,no,pro.hai,
pro.hai,weak necessity,epistemic,?,,positive,no,pro.hai,
pro.hai,weak,epistemic,1,"khm-modal-evid8, khm-modal-evid9,khm-modal-evid10, khm-modal-evid11",positive,no,pro.hai,
pro.hai,strong,deontic,?,,positive,no,pro.hai,
pro.hai,weak necessity,deontic,?,,positive,no,pro.hai,
pro.hai,weak,deontic,0,"khm-modal-evid21c, khm-modal-evid22d",positive,no,pro.hai,
pro.hai,strong,teleological,?,,positive,no,pro.hai,
pro.hai,weak necessity,teleological,?,,positive,no,pro.hai,
pro.hai,weak,teleological,?,,positive,no,pro.hai,
pro.hai,strong,circumstantial,?,,positive,no,pro.hai,
pro.hai,weak,circumstantial,?,,positive,no,pro.hai,
pro.hai,strong,bouletic,?,,positive,no,pro.hai,
pro.hai,strong,epistemic,1,khm-modal-evid13,negative,low,prohai + ciəa(COMP)+ mən(NEG),
pro.hai,weak necessity,epistemic,?,,negative,,,
pro.hai,weak,epistemic,0,khm-modal-evid14b,negative,high,pro.hai mən,
pro.hai,strong,deontic,?,,negative,,,
pro.hai,weak necessity,deontic,?,,negative,,,
pro.hai,weak,deontic,?,,negative,,,
pro.hai,strong,teleological,?,,negative,,,
pro.hai,weak necessity,teleological,?,,negative,,,
pro.hai,weak,teleological,?,,negative,,,
pro.hai,strong,circumstantial,?,,negative,,,
pro.hai,weak,circumstantial,?,,negative,,,
pro.hai,strong,bouletic,?,,negative,,,
ac,strong,epistemic,?,,positive,no,ac,
ac,weak necessity,epistemic,?,,positive,no,ac,
ac,weak,epistemic,1,khm-modal-evid12,positive,no,ac,
ac,strong,deontic,?,,positive,no,ac,
ac,weak necessity,deontic,?,,positive,no,ac,
ac,weak,deontic,1,"khm-modal-evid21, khm-modal-evid22, khm-modal-evid22b, khm-modal-evid23, khm-modal-evid24, khm-modal-evid24b",positive,no,ac,
ac,strong,teleological,?,,positive,no,ac,
ac,weak necessity,teleological,?,,positive,no,ac,
ac,weak,teleological,1,"khm-modal-evid35, khm-modal-evid36, khm-modal-evid37",positive,no,ac,
ac,strong,circumstantial,?,,positive,no,ac,
ac,weak,circumstantial,1,"khm-modal-evid44, khm-modal-evid45, khm-modal-evid46, khm-modal-evid47, khm-modal-evid48",positive,no,ac,
ac,strong,bouletic,?,,positive,no,ac,
ac,strong,epistemic,?,,negative,,,
ac,weak necessity,epistemic,?,,negative,,,
ac,weak,epistemic,1,"khm-modal-evid14, khm-modal-evid15",negative,high,mən ac,
ac,strong,deontic,?,,negative,,,
ac,weak necessity,deontic,?,,negative,,,
ac,weak,deontic,1,"khm-modal-evid27, khm-modal-evid28",negative,high,mən ac,
ac,strong,teleological,?,,negative,,,
ac,weak necessity,teleological,?,,negative,,,
ac,weak,teleological,1,"khm-modal-evid39, khm-modal-evid40",negative,high,mən ac,
ac,strong,circumstantial,?,,negative,,,
