ref,context,words,gloss,translation,comment
arn-modal-1,epi-nec-1,Benny müle-y  ñi 	wüyul - kiaw	-  fe	   - l,Benny be-3sg  POSS         swim  - CONT        -  3sg.Obj - NOM,Ben MUST be swimming (right now). ,
arn-modal-2,epi-nec-2,Juan müle-afu-y 	may	kimeltuweruka 	mew ,Juan be-MOD-3sg 	MOD 	school 		ADP,John MUST be at school.,
arn-modal-3,epi-nec-3,Chi 	mülkol 	müle-afu-y 	may 	chi 	külawe 	kaja 	mew,DEF 	ball 	be-MOD-3 	MOD 	DEF 	third 	box 	ADP,The ball MUST be in the thrid box.,
arn-modal-4,epi-nec-4,Tachi 	trewa 	müle-pe-la-y 		may 	ruka 	mew ,DEF 	dog 	be-Prox-NEG-3sg 	MOD 	house 	ADP,The dog MUST not be in the house.,
arn-modal-5,epi-wn-1,Ana 	müle-afu-y 	may 	pichi.lafken 	mew,Ana 	be-MOD-3 	MOD 	lake 		ADP,Ann SHOULD be at the lake right now. ,
arn-modal-6,epi-wn-2,Escocia 	mew 	maw-küle-pe-la-yafu-y,Scotland 	ADP 	rain-CONT-PROX-NEG-MOD-3,It should be raining in Scotland.,
arn-modal-7,epi-wn-3,Maria debería estar en casa. ,,Mary SHOULD be at home,
arn-modal-7b,epi-wn-3,Maria müle-pe-la-yafu–y may ruka mew,,Mary SHOULD be at home,
arn-modal-8,epi-pos-1,Pepi-küpa-yafu-y-chi 		chilkatun 	mew,MOD-come-MOD-3-PRON 	class 		ADP,He might be at school today.,
arn-modal-9,epi-pos-2,Gabriela ñi 	kollar 		kam 	ñam-i 		chi,Gabriela POSS 	necklace 	MOD 	lose-3sg 	MOD,Grace’s necklace might be lost.,
arn-modal-10,epi-pos-3,Chi 	ñarki 	müle-afu-y 	wekun 	kam 	pu 	ruka 	chi,DEF 	cat 	be-MOD-3	outside 	MOD 	inside 	house 	MOD,The cat MAY be inside or the cat MAY also be outside.,
arn-modal-11,epi-pos-4,Daniel	amu-pe-la-yafu-y 		konsepsion 	mew,Daniel 	go-PROX-NEG-MOD-3 	concepcion 	ADP,Daniel MAY go to New York.,
arn-modal-12,epi-nnec-5,Maria müle-la-y-chi 		ruka 	mew,Maria be-NEG-3sg-MOD 	house 	ADP ,Mary may not be at home.,
arn-modal-13,epi-imp-1,Benny müle-la-y 	may 	ruka 	mew,Benny be-NEG-3sg 	MOD 	house 	ADP,Ben CAN’T be at home. ,
