expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes
Dong,strong,epistemic,1,"tha-modal-evid1, tha-modal-evid2, tha-modal-evid3, tha-modal-evid55",positive,no,Dong,
Dong,weak necessity,epistemic,?,,positive,no,Dong,
Dong,weak,epistemic,?,,positive,no,Dong,
Dong,strong,deontic,1,tha-modal-evid14b,positive,no,Dong,
Dong,weak necessity,deontic,?,,positive,no,Dong,
Dong,weak,deontic,?,,positive,no,Dong,
Dong,strong,teleological,1,"tha-modal-evid29b, tha-modal-evid29d, tha-modal-evid30b",positive,no,Dong,
Dong,weak necessity,teleological,?,,positive,no,Dong,
Dong,weak,teleological,?,,positive,no,Dong,
Dong,strong,circumstantial,1,"tha-modal-evid40, tha-modal-evid41, tha-modal-evid42",positive,no,Dong,
Dong,weak,circumstantial,?,,positive,no,Dong,
Dong,strong,bouletic,1,tha-modal-evid52b,positive,no,Dong,
Dong ca,strong,epistemic,1,"tha-modal-evid1b, tha-modal-evid2b, tha-modal-evid55b",positive,no,Dong ca,"Unclear whether the obligatoriness of ca is conditioned by modal categories - however, data suggests it could be more applicable in conversational/informal register scenarios, and in immediate future contexts. Actual modal contribution may be beyond the scope of the questionnaire. "
Dong ca,weak necessity,epistemic,?,,positive,no,Dong ca,
Dong ca,weak,epistemic,?,,positive,no,Dong ca,
Dong ca,strong,deontic,1,tha-modal-evid14b,positive,no,Dong ca,less strong than Jambpen dong
Dong ca,weak necessity,deontic,?,,positive,no,Dong ca,
Dong ca,weak,deontic,?,,positive,no,Dong ca,
Dong ca,strong,teleological,?,,positive,no,Dong ca,
Dong ca,weak necessity,teleological,?,,positive,no,Dong ca,
Dong ca,weak,teleological,?,,positive,no,Dong ca,
Dong ca,strong,circumstantial,1,"tha-modal-evid40b, tha-modal-evid42b",positive,no,Dong ca,Ca can be used as some sort of prediction
Dong ca,weak,circumstantial,?,,positive,no,Dong ca,
Dong ca,strong,bouletic,?,,positive,no,Dong ca,
Jambpen dong,strong,epistemic,1,tha-modal-evid55c,positive,no,Jambpen dong,Jambpen is optional before dong; Jam bpen always co-occurs with dong: [jam bpen *(dong)]
Jambpen dong,weak necessity,epistemic,?,,positive,no,Jambpen dong,
Jambpen dong,weak,epistemic,?,,positive,no,Jambpen dong,
Jambpen dong,strong,deontic,1,"tha-modal-evid14, tha-modal-evid15",positive,no,Jambpen dong,
Jambpen dong,weak necessity,deontic,?,,positive,no,Jambpen dong,
Jambpen dong,weak,deontic,?,,positive,no,Jambpen dong,
Jambpen dong,strong,teleological,1,"tha-modal-evid28, tha-modal-evid29, tha-modal-evid29c, tha-modal-evid30",positive,no,Jambpen dong,
Jambpen dong,weak necessity,teleological,?,,positive,no,Jambpen dong,
Jambpen dong,weak,teleological,?,,positive,no,Jambpen dong,
Jambpen dong,strong,circumstantial,1,"tha-modal-evid41b, tha-modal-evid42c",positive,no,Jambpen dong,
Jambpen dong,weak,circumstantial,?,,positive,no,Jambpen dong,
Jambpen dong,strong,bouletic,?,,positive,no,Jambpen dong,
Jambpen dong ca,strong,epistemic,?,,positive,no,Jambpen dong ca,
Jambpen dong ca,weak necessity,epistemic,?,,positive,no,Jambpen dong ca,
Jambpen dong ca,weak,epistemic,?,,positive,no,Jambpen dong ca,
Jambpen dong ca,strong,deontic,1,tha-modal-evid14,positive,no,Jambpen dong ca,
Jambpen dong ca,weak necessity,deontic,?,,positive,no,Jambpen dong ca,
Jambpen dong ca,weak,deontic,?,,positive,no,Jambpen dong ca,
Jambpen dong ca,strong,teleological,?,,positive,no,Jambpen dong ca,
Jambpen dong ca,weak necessity,teleological,?,,positive,no,Jambpen dong ca,
Jambpen dong ca,weak,teleological,?,,positive,no,Jambpen dong ca,
Jambpen dong ca,strong,circumstantial,?,,positive,no,Jambpen dong ca,
Jambpen dong ca,weak,circumstantial,?,,positive,no,Jambpen dong ca,
Jambpen dong ca,strong,bouletic,?,,positive,no,Jambpen dong ca,
Naa ca,strong,epistemic,?,,positive,no,Naa ca,
Naa ca,weak necessity,epistemic,1,"tha-modal-evid4, tha-modal-evid5, tha-modal-evid6",positive,no,Naa ca,consultant noted that without 'ca' will force the modal 'kuan' to form adjective with the verb
Naa ca,weak,epistemic,?,,positive,no,Naa ca,
Naa ca,strong,deontic,?,,positive,no,Naa ca,
Naa ca,weak necessity,deontic,1,"tha-modal-evid16c, tha-modal-evid17c, tha-modal-evid18c",positive,no,Naa ca,
Naa ca,weak,deontic,?,,positive,no,Naa ca,
Naa ca,strong,teleological,?,,positive,no,Naa ca,
Naa ca,weak necessity,teleological,?,,positive,no,Naa ca,
Naa ca,weak,teleological,?,,positive,no,Naa ca,
Naa ca,strong,circumstantial,?,,positive,no,Naa ca,
Naa ca,weak,circumstantial,?,,positive,no,Naa ca,
Naa ca,strong,bouletic,?,,positive,no,Naa ca,
Naa,strong,epistemic,?,,positive,no,Naa,
Naa,weak necessity,epistemic,0,"tha-modal-evid4b, tha-modal-evid5b, tha-modal-evid6b",positive,no,Naa,
Naa,weak,epistemic,?,,positive,no,Naa,
Naa,strong,deontic,?,,positive,no,Naa,
Naa,weak necessity,deontic,1,"tha-modal-evid17c, tha-modal-evid18c",positive,no,Naa,
Naa,weak,deontic,?,,positive,no,Naa,
