expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes
zaroor+hogi/hoga,strong,epistemic,1,"hin-modal-evid1, hin-modal-evid2, hin-modal-evid3",positive,no,zaroor+hogi/hoga,zaroor (adv) + hoga/hogi (copula form)
zaroor+hogi/hoga,weak necessity,epistemic,1,"hin-modal-evid4b, hin-modal-evid5b",positive,no,zaroor+hogi/hoga,
zaroor+hogi/hoga,weak,epistemic,?,,positive,no,zaroor+hogi/hoga,
zaroor+hogi/hoga,strong,deontic,?,,positive,no,zaroor+hogi/hoga,
zaroor+hogi/hoga,weak necessity,deontic,?,,positive,no,zaroor+hogi/hoga,
zaroor+hogi/hoga,weak,deontic,?,,positive,no,zaroor+hogi/hoga,
zaroor+hogi/hoga,strong,teleological,?,,positive,no,zaroor+hogi/hoga,
zaroor+hogi/hoga,weak necessity,teleological,?,,positive,no,zaroor+hogi/hoga,
zaroor+hogi/hoga,weak,teleological,?,,positive,no,zaroor+hogi/hoga,
zaroor+hogi/hoga,strong,circumstantial,?,,positive,no,zaroor+hogi/hoga,
zaroor+hogi/hoga,weak,circumstantial,?,,positive,no,zaroor+hogi/hoga,
zaroor+hogi/hoga,strong,bouletic,?,,positive,no,zaroor+hogi/hoga,
hi + hoga/hogi,strong,epistemic,1,hin-modal-evid1b,positive,no,hi + hoga/hogi,hi is an emphatic term. The consultant's intuition is that hi is slightly weaker than zaroor.
hi + hoga/hogi,weak necessity,epistemic,1,"hin-modal-evid4, hin-modal-evid5",positive,no,hi + hoga/hogi,
hi + hoga/hogi,weak,epistemic,?,,positive,no,hi + hoga/hogi,
hi + hoga/hogi,strong,deontic,1,hin-modal-evid11,positive,no,hi + hoga/hogi,
hi + hoga/hogi,weak necessity,deontic,?,,positive,no,hi + hoga/hogi,
hi + hoga/hogi,weak,deontic,?,,positive,no,hi + hoga/hogi,
hi + hoga/hogi,strong,teleological,1,"hin-modal-evid19, hin-modal-evid20",positive,no,hi + hoga/hogi,
hi + hoga/hogi,weak necessity,teleological,?,,positive,no,hi + hoga/hogi,
hi + hoga/hogi,weak,teleological,?,,positive,no,hi + hoga/hogi,
hi + hoga/hogi,strong,circumstantial,1,"hin-modal-evid27, hin-modal-evid28, hin-modal-evid29",positive,no,hi + hoga/hogi,
hi + hoga/hogi,weak,circumstantial,?,,positive,no,hi + hoga/hogi,
hi + hoga/hogi,strong,bouletic,1,"hin-modal-evid34, hin-modal-evid34b",positive,no,hi + hoga/hogi,
hoga/hogi,strong,epistemic,0,hin-modal-evid1c,positive,no,hoga/hogi,
hoga/hogi,weak necessity,epistemic,?,,positive,no,hoga/hogi,
hoga/hogi,weak,epistemic,?,,positive,no,hoga/hogi,
hoga/hogi,strong,deontic,1,hin-modal-evid12,positive,no,hoga/hogi,
hoga/hogi,weak necessity,deontic,?,,positive,no,hoga/hogi,
hoga/hogi,weak,deontic,?,,positive,no,hoga/hogi,
hoga/hogi,strong,teleological,?,,positive,no,hoga/hogi,
hoga/hogi,weak necessity,teleological,?,,positive,no,hoga/hogi,
hoga/hogi,weak,teleological,?,,positive,no,hoga/hogi,
hoga/hogi,strong,circumstantial,?,,positive,no,hoga/hogi,
hoga/hogi,weak,circumstantial,?,,positive,no,hoga/hogi,
hoga/hogi,strong,bouletic,?,,positive,no,hoga/hogi,
sakte/sakti/sakta hai,strong,epistemic,?,,positive,no,sakte/sakti/sakta hai,
sakte/sakti/sakta hai,weak necessity,epistemic,?,,positive,no,sakte/sakti/sakta hai,
sakte/sakti/sakta hai,weak,epistemic,1,"hin-modal-evid6, hin-modal-evid7b, hin-modal-evid7c, hin-modal-evid8",positive,no,sakte/sakti/sakta hai,
sakte/sakti/sakta hai,strong,deontic,?,,positive,no,sakte/sakti/sakta hai,
sakte/sakti/sakta hai,weak necessity,deontic,?,,positive,no,sakte/sakti/sakta hai,
sakte/sakti/sakta hai,weak,deontic,1,"hin-modal-evid14, hin-modal-evid15, hin-modal-evid16",positive,no,sakte/sakti/sakta hai,
sakte/sakti/sakta hai,strong,teleological,?,,positive,no,sakte/sakti/sakta hai,
sakte/sakti/sakta hai,weak necessity,teleological,?,,positive,no,sakte/sakti/sakta hai,
sakte/sakti/sakta hai,weak,teleological,1,"hin-modal-evid23, hin-modal-evid24",positive,no,sakte/sakti/sakta hai,
sakte/sakti/sakta hai,strong,circumstantial,?,,positive,no,sakte/sakti/sakta hai,
sakte/sakti/sakta hai,weak,circumstantial,1,"hin-modal-evid30, hin-modal-evid31",positive,no,sakte/sakti/sakta hai,
sakte/sakti/sakta hai,strong,bouletic,?,,positive,no,sakte/sakti/sakta hai,
sakte/sakti/sakta hai,strong,epistemic,1,hin-modal-evid9,negative,high,nahi ... sakte/sakti/sakta hai,
sakte/sakti/sakta hai,weak necessity,epistemic,?,,negative,,,
sakte/sakti/sakta hai,weak,epistemic,1,hin-modal-evid10,negative,high,nahi ... sakte/sakti/sakta hai,
sakte/sakti/sakta hai,strong,deontic,1,hin-modal-evid17,negative,high,nahi ... sakte/sakti/sakta hai,
sakte/sakti/sakta hai,weak necessity,deontic,?,,negative,,,
sakte/sakti/sakta hai,weak,deontic,1,hin-modal-evid18,negative,high,nahi ... sakte/sakti/sakta hai,
sakte/sakti/sakta hai,strong,teleological,1,hin-modal-evid25,negative,high,nahi ... sakte/sakti/sakta hai,
sakte/sakti/sakta hai,weak necessity,teleological,?,,negative,,,
sakte/sakti/sakta hai,weak,teleological,1,hin-modal-evid26,negative,high,nahi ... sakte/sakti/sakta hai,
sakte/sakti/sakta hai,strong,circumstantial,1,hin-modal-evid32,negative,high,nahi ... sakte/sakti/sakta hai,
sakte/sakti/sakta hai,weak,circumstantial,1,hin-modal-evid33,negative,high,nahi ... sakte/sakti/sakta hai,
sakte/sakti/sakta hai,strong,bouletic,?,,negative,,,
shayad,strong,epistemic,?,,positive,no,shayad (hai),
shayad,weak necessity,epistemic,?,,positive,no,shayad (hai),
shayad,weak,epistemic,1,"hin-modal-evid6b, hin-modal-evid7",positive,no,shayad (hai),
shayad,strong,deontic,?,,positive,no,shayad (hai),
shayad,weak necessity,deontic,?,,positive,no,shayad (hai),
shayad,weak,deontic,?,,positive,no,shayad (hai),
shayad,strong,teleological,?,,positive,no,shayad (hai),
shayad,weak necessity,teleological,?,,positive,no,shayad (hai),
shayad,weak,teleological,?,,positive,no,shayad (hai),
shayad,strong,circumstantial,?,,positive,no,shayad (hai),
shayad,weak,circumstantial,?,,positive,no,shayad (hai),
shayad,strong,bouletic,?,,positive,no,shayad (hai),
chahiye,strong,epistemic,?,,positive,no,chahiye,
chahiye,weak necessity,epistemic,?,,positive,no,chahiye,
chahiye,weak,epistemic,?,,positive,no,chahiye,
chahiye,strong,deontic,?,,positive,no,chahiye,
chahiye,weak necessity,deontic,1,hin-modal-evid13,positive,no,chahiye,
chahiye,weak,deontic,?,,positive,no,chahiye,
chahiye,strong,teleological,?,,positive,no,chahiye,
chahiye,weak necessity,teleological,1,"hin-modal-evid21, hin-modal-evid22",positive,no,chahiye,
chahiye,weak,teleological,?,,positive,no,chahiye,
chahiye,strong,circumstantial,?,,positive,no,chahiye,
chahiye,weak,circumstantial,?,,positive,no,chahiye,
chahiye,strong,bouletic,?,,positive,no,chahiye,
