ref,words,gloss,translation,comment
basque-modal-1,Beñat igeri   egiten       egon behar da                      /du.,Name swim do-atelic   stay   MOD  aux.intransitive /aux.transitive,Ben must be swimming,
basque-modal-2, .. egon behar da          /du.,Stay MOD   aux.int  / aux.trns,John must be at school,
basque-modal-3,… Izan behar da/du. ,… be MOD aux.int / aux.trns,It must be in C,
basque-modal-4,Txakurra etxean egon behar da	       /du — ,Dog         home  be     must  aux.intr / aux.tr,The dog must be at home,
basque-modal-4b,Txakurra etxean egonen        behar da          / du — ,Dog         home  be-EN  must  aux.intr / aux.tr,The dog must be at home,
basque-modal-5,Ane    laku-an izan behar da orain.,Name lake-in be BEHAR aux now,Ann should be at the lake right now,
basque-modal-5b,Ane lakuan izanEN da orain.,???,Ann should be at the lake right now,"Here, EN-version is not felicitous because the speaker has not exhausted the possibilities (the mountain option is not completely eliminated)"
basque-modal-6,Euria egin behar du,Rain do/make must aux,It should be raining right now in Goa,infelicitous
basque-modal-6b,Goan euria egitekotan egon behar du orain,Goa rain do-at.the.verge.of stay must aux now,It must be the case at the verge of raining right now in Goa,“Must be the case at the verge of raining”
basque-modal-7,Bera/Hura         ikastolara/eskolara         etor         LITEKE (might) ,He 	school-ALL 		come 	be.potential_FUT (?) ,He might come to school,
basque-modal-7b,Bera/Hura         ikastolara/eskolara         etor DAITEKE (can) ,He         school-ALL                 come         be.potential_PRES,He might come to school,infelicitous
basque-modal-8,Garazi-ren        lepokoa  galduta egon LITEKE,Grace-GEN(?) necklace lost       be     be.potential_FUT,Grace’s necklace might be lost,
basque-modal-9,Katu-a  barruan edo kanpoan egon LITEKE.,Cat-det inside   or    outside   be       be.potential_FUT,The cat may be inside or outside,
basque-modal-9b,Katu-a  barruan edo kanpoan egon BA-LITEKE.,Cat-det inside   or    outside   be       be.potential_FUT,,ungrammatical
basque-modal-10,LITEKE,MOD,Daniel may go to New York,a complete sentece is not elicited
basque-modal-11,Baliteke Miren etxean ez egoteA.,Might Mary home not being,Mary may not be home,
basque-modal-11b,"Miren etxean egon behar        da,   baina BA-LITEKE                  etxean  EZ    egoteA.","Mary home    be    SHOULD aux, but      HYPOTHETICAL-might  home  NOT being ","Mary should be home, but she may not be home.","There is no item that fits in the following blank and expresses non-necessity 
Benat ____ da etxean egon.
          ____  aux home be"
basque-modal-11c,"Miren etxean egon behar        da,   baina LITEKE                  etxean  EZ    egoteA.","Mary home    be    SHOULD aux, but      HYPOTHETICAL-might  home  NOT being ",,ungrammatical
basque-modal-12,Benat EZIN    da   etxean egon,Ben    CAN’T aux home be,Ben can't be at home,
