ref,context,words,gloss,translation,comment
vie-modal-1,epi-nec-1,Ben 	CHẮC.HẲN 	(là) 	đang	bơi,Ben 	MOD 		be/COM 	PROG 	swim,Ben must be swimming (right now). ,
vie-modal-2,epi-nec-2,John chắc.hẳn         (là)         đang         ở        trường,John MOD 	be 	PROG 	LOC 	school,John must be at school.,
vie-modal-2b,epi-nec-2,John chắc.chắn (là) đang ở trường,John MOD 	be 	PROG 	LOC 	school,John must be at school.,
vie-modal-2c,epi-nec-2,John chắc.chắn (là)         đang         ở         trường,John MOD 	be 	PROG 	LOC 	school,"John must be at school.
","Comment from consultant: this one (chắc.chắn) is stronger. 
Comment from RA: exhaustive/logical conclusion? "
vie-modal-3,epi-nec-3,Chắc chắn phải (là),MOD MOD MOD COP/COM,,
vie-modal-3b,epi-nec-3,Ẳt phải (là),MOD MOD COP/COM,,
vie-modal-3c,epi-nec-3,Quả bóng chắc chắn phải (là)  ở C,CLF        ball        MOD        MOD        COP/COM        in        C,The ball must be in C,
vie-modal-3d,epi-nec-3,Quả bóng ắt  phải (là)  ở C,CLF        ball        MOD        MOD        COP/COM        in        C,The ball must be in C,
vie-modal-4,epi-nec-4,Con         chó         chắc.hẳn         (là)                không         ở         trong         nhà,CLF         dog         MOD                 COP/COM        NEG         LOC         in        house,the dog must not be in the house.,
vie-modal-5,epi-wn-1,Ann có                 lẽ         (là)                 đang         ở         hồ,Ann there.is         MOD         COP/COM        PROG         LOC         lake,Ann should be at the lake right now. ,
vie-modal-5b,epi-wn-1,Ann  chắc         là                đang         ở         hồ,Ann  MOD         COP/COM        PROG         LOC         lake,Ann should be at the lake right now. ,
vie-modal-5c,epi-wn-1,# CHẮC.HẲN,MOD,,
vie-modal-6,epi-wn-2,Trời         có         lẽ         (là)   đang         mưa         ở         Goa,sky         there.is MOD         COP/COM         PROG         rain         LOC         Goa,it should be raining now in Goa.,
vie-modal-6b,epi-wn-2,Trời        chắc        là                đang         mưa         ở         Goa,sky         MOD        COP/COM        PROG         rain         LOC         Goa,it should be raining now in Goa.,
vie-modal-6c,epi-wn-2,# CHẮC.HẲN,,,
