ref,context,words,gloss,translation,comment
spa-modal-1,epi-nec-1,Ben  debe-Ø 	(de) 	estar 	 nad-ando.,Ben  MOD-3sg 	 of	be.inf 	swim-PROG,Ben must be swimming (right now). ,"Deber + Inf 	 =	deontic;  epistemic (colloquial but probably for young people just normal)
Deber + de + Inf =	only epistemic
[Prescriptively at school: Deber + Inf =deontic;    Deber + de + Inf = epistemic]"
spa-modal-2,epi-nec-2,John debe-Ø 	(de) 	estar 	en   la 	   escuela.,John MOD-3sg of         be.inf         in   DET  school,John must be at school.,
spa-modal-3,epi-nec-3,… debe-Ø 	(de) 	estar 	en 	la	 caja	 C. ,… MOD-3sg 	of	be	in 	DET	 box 	 C,It must be in C.,
spa-modal-4,epi-nec-4,El 	perro no     debe-Ø 	estar 	en   casa. ,DET 	dog   NEG MOD-3sg 	be.inf 	in    house,The dog must not be in the house.,
spa-modal-5,epi-wn-1,Anna 	debe-ría 	(de) 	estar   en  el 	lago.,Anna         MOD-3sg.cond of         be.inf  in  DET        lake,Ann should be at the lake right now. ,
spa-modal-6,epi-wn-2,Esta-rá                 llov - iendo    en Goa.,be-3sg.FUT 	rain - PROG  in  Goa,it should be raining now in Goa.,Presumptive future 
spa-modal-6b,epi-wn-2,Debe - ría 	   (de) 	 estar 	llov - iendo   en  Goa.,MOD-3sg.COND of	be 	rain - PROG in  Goa,it should be raining now in Goa.,
spa-modal-7,epi-wn-3,Mary         debe                  (de)         estar         en         casa.,Mary         MOD       of         be.inf         in         house,Mary should be at home. ,with debe it's stronger than with deberia
spa-modal-7b,epi-wn-3,Mary         debería                  (de)         estar         en         casa.,Mary         MOD-3sg.(COND)         of         be.inf         in         house,Mary should be at home. ,
spa-modal-8,epi-pos-1,Puede - Ø         que        ven    -  ga          a    clase (hoy).,MOD - 3sg 	COMP  come - sbjv.3sg  to   class today,He might be coming to school today.,
spa-modal-9,epi-pos-2,Puede- Ø  que 	       el 		collar 		de 	Grace se haya 		perd-ido,MOD-3sg COMPL  DET 	necklace 	of 	Grace ref have.subj 	lose-PART,Grace’s necklace might be lost.,
spa-modal-10,epi-pos-3,El 	gato 	puede-Ø  	esta-r	 fuera 	o 	dentro.,DET         cat         MOD-3sg         be-inf         outside or         inside,The cat may be inside or the cat may be outside.,
spa-modal-10b,epi-pos-3,El 	gato 	puede-Ø    esta-r     fuera    pero   también   puede-Ø    esta-r 	dentro.,DET 	cat 	MOD-3sg  be-inf     outside   but     also       MOD-3sg  be-inf 	inside,The cat may be inside. The cat may also be outside.,"poder + Inf = epistemic or deontic (or circumstantial, etc)
poder.3sg + que + finite clause = only epistemic"
spa-modal-10c,epi-pos-3,*El gato debe estar fuera (o dentro).,DET         cat         MOD  be    outside  (or inside),,
spa-modal-11,epi-pos-4,Puede - Ø    se - r       	que 	Daniel 	va - ya 		a  NY.,MOD - 3sg  be - inf        COMP         Daniel         go - sbjv.3sg           to NY,Daniel may go to New York.,
spa-modal-12,epi-nnec-1,Puede-Ø    que 	     (Mary)  no 	  est - é 		en  casa.,MOD-3sg  COMP (Mary)  NEG  be - sbjv.3sg 	in  house,Mary may not be at home.,
spa-modal-13,epi-imp-1,Ben 	no   	 puede-Ø  esta-r    en    casa.,Ben        NEG     MOD-3sg be-inf  in     house,Ben can’t be at home. ,
spa-modal-14,epi-imp-2,No         puede-Ø    esta-r   en   la       caja    C.,NEG 	MOD-3sg  be-inf in    DET   box    C,It can’t be in C. ,
spa-modal-15,deo-nec-1,Debe-s 		lleva-r 	    casco.,MOD-2sg 	wear-inf    helmet,You must wear a helmet.,
spa-modal-16,deo-nec-2,Los visitantes    debe-n 	      irse 		 	 antes de  las 18:00.,DET visitors     MOD-3pl   go.away//go.refl         before of DET 6pm,Visitors must leave by 6pm.,
spa-modal-17,deo-wn-1,Debe  - ría               llevar    ropa      formal.,MOD - COND.3sg  wear     clothes  formal,I ought to wear formal clothes.,
spa-modal-18,deo-wn-2,Los    clientes      debe-rían 	      lava-r-se 	   las    manos  también.,DET  customers  MOD-COND.3pl  wash-inf-refl        DET  hands   also ,Customers ought to wash their hands too!,
