ref,context,words,gloss,translation,comment
khm-modal-1,epi-nec-1,Ben 	treuh.tai 	ta-haitək ,Ben 	MOD 		CONT-swim,Ben must be swimming.,
khm-modal-2,epi-nec-2,John 	treuh.tai 	neuh 	sala,John 	MOD 		LOC	school,John must be at school.,
khm-modal-3,epi-nec-3,Bal 	treuh.tai 	neuh.knong 	kroʔop 	ti 	bəy,ball 	MOD 		inside 		box 	NUM 	three,it [the ball] must be in 3 [the third box].,
khm-modal-4,epi-nec-4,Chəkai 	treuh.tai 	neuh.kral 	pətɛ:h,dog 	MOD 		outside		house,the dog must be outside.,
khm-modal-5,epi-wn-1,Ann 	kuə.tai 	neuh.ai 	tuən.le: neuh.peə.nih,Ann 	MOD	 at 	lake 	right.now,Ann should be at the lake right now.,
khm-modal-6,epi-wn-2,Kuə.tai 	pliəng 	neuh.peə.niç 	neuh.ai 	Goaa ,MOD 	rain	now 		at 	Goa,it should be raining now in Goa.,
khm-modal-7,epi-wn-3,Mary 	kuə.tai 	neuh.ai 	knong.teəh ,Mary 	MOD 	at 	home,Mary should be at home. ,
khm-modal-8,epi-pos-1,Koat 	pro.hai 	[ciə] 		mawk	salarien 	təngay.niç,he 	MOD 	COMP? 	come 	school 		today,He might be coming to school today.,
khm-modal-9,epi-pos-2,Grace 	kəsai.ko 	pro.hai 	[ciə] 		bat.,Grace 	necklace 	MOD 	COMP? 	lose,Grace’s necklace might be lost.,
khm-modal-10,epi-pos-3,Cəma: 	pro.hai ciə 	   neuh.kang knong. 	Cəma: 	pro.hai ciə 	neuh.kang  kral 	phong.dai. ,cat 	MOD 	COMP?   inside       house. 	Cat 	MOD	COMP? PREP	     outside  also,The cat may be inside. The cat may also be outside.,
khm-modal-11,epi-pos-4,Daniel         pro.hai ciə                 təy         NY,Daniel 	MOD 	COMP? 	go 	NY,Daniel might go to New York.,
khm-modal-12,epi-pos-5,Ben 	ac 	neuh 	pteh,Ben 	MOD 	PREP	home,Ben may be at home.,also seems to be felicitous with epistemic context
khm-modal-13,epi-nnec-1,Mary 	pro.hai  ciə 	mən-nəw 	pteh,Mary 	MOD    COMP? NEG-PREP 	home,Mary may not be at home.,
khm-modal-14,epi-imp-1,Ben 	mən-ac 		neuh 	pteh,Ben 	NEG-MOD 	PREP 	home ,Ben can’t be at home. ,
khm-modal-14b,epi-imp-1,# Ben pro.hai mən neuh pteh,Ben MOD be not-at-home,Ben can’t be at home. ,
