ref,context,words,gloss,translation,comment
hau-modal-1,epi-nec-1,Dole 	ne 	Ben 	yana 		ninƙaya.,MOD 	COP 	Ben 	3sg.m.ipfv 	swim,Ben must be swimming (right now).,dole is better because it conveys (strong) necessity.
hau-modal-1b,epi-nec-1,Lallai       ne         Ben         yana                 ninƙaya.,MOD 	COP 	Ben 	3sg.m.ipfv 	swim,Ben must be swimming (right now).,
hau-modal-2,epi-nec-2,Dole	John	yana 		a 	makaranta.,MOD 	John 	3sg.m.ipfv 	prep 	school,John must be at school.,
hau-modal-3,epi-nec-3,Dole 	yana 		a cikin 	C.,MOD 	3sg.m.ipfv 	prep 	C,it must be in C,
hau-modal-4,epi-nec-4,Dole 	karen 	ba 	yaa 	a cikin 	gidan.,MOD 	dog.def	neg 	3sg.m 	prep	house.def, the dog must not be in the house.,
hau-modal-5,epi-wn-1,Lallai	Ann 	tanaa 	    a 	tekun 	yanzu 	haka.,MOD 	Ann 	3sg.f.ipfv at 	lake 	now 	exactly,Ann should be at the lake right now. ,
hau-modal-5b,epi-wn-1,Dole       Ann         tanaa             a         tekun         yanzu         haka.,MOD 	Ann 	3sg.f.ipfv at 	lake 	now 	exactly,Ann should be at the lake right now. ,
hau-modal-6,epi-wn-2,Lallai a na 		yin ruwa a Goa yanzu.,MOD 3sg.neut.ipfv	do water prep Goa now, it should be raining now in Goa.,
hau-modal-6b,epi-wn-2,Dole  a na                 yin ruwa a Goa yanzu.,MOD 3sg.neut.ipfv        do water prep Goa now, it should be raining now in Goa.,"Dole would also work, but make it stronger."
hau-modal-7,epi-wn-3,Lallai Mary tanaa 	a gida. ,MOD Mary 3sg.f.ipfv prep house,Mary should be at home.,
hau-modal-7b,epi-wn-3,Dole Mary tanaa         a gida. ,MOD Mary 3sg.f.ipfv prep house,Mary should be at home.,
hau-modal-8,epi-pos-1,Wataƙila 	zai 		shigo 		makaranta 	yau. ,MOD                ZA.3sg.m.sbjv         come/enter        school                 today,He might be coming to school today.,wataƙila (might) could be written as ƙila
hau-modal-9,epi-pos-2,Wataƙila/ƙila 	abin-wuyan Grace 	yaa 		ɓace.,MOD                necklace      Grace        3sg.m.pfv         lost        ,Grace’s necklace might be lost.,
hau-modal-10,epi-pos-3,Wataƙila magen tanaa 	a ciki. 	Wataƙila kuma magen 	tanaa 	    a waje.,MOD cat 3sg.f.ipfv	inside. 	MOD 	  also 	cat 	3sg.f.ipfv outside.,The cat may be inside. The cat may also be outside.,
hau-modal-11,epi-pos-4,Wataƙila 	Daniel 	zai 		tafi 	New York.,MOD 		Daniel	ZA.3sg.m.sbjv	go	NY,Daniel might go to New York.,
hau-modal-12,epi-nnec-1,Wataƙila Mary ba 	ta 		a 	gida.,MOD 	   Mary 	neg	3sg.f.sbjv	prep 	house,Mary may not be at home.,
hau-modal-12b,epi-nnec-1,Babu 		tabbacin 	cewar Mary 	tanaa	     a    gida.,there.is.not	certainty	comp  Mary	3sg.ipfv    prep house,It is not certain that Mary is at home.,
hau-modal-12c,epi-nnec-1,Ba 	dole  	bane 	Mary ta 	 kasance	a 	gida.,neg 	MOD 	neg.cop Mary 3sg.f.sbjv be 		prep 	house,Mary doesn’t have to be at home,
