expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes
hazu,strong,epistemic,1,"jpn-modal-evid1, jpn-modal-evid2",positive,no,hazu,
hazu,weak necessity,epistemic,1,jpn-modal-evid4,positive,no,hazu,
hazu,weak,epistemic,?,,positive,no,hazu,
hazu,strong,deontic,?,,positive,no,hazu,
hazu,weak necessity,deontic,?,,positive,no,hazu,
hazu,weak,deontic,?,,positive,no,hazu,
hazu,strong,teleological,?,,positive,no,hazu,
hazu,weak necessity,teleological,?,,positive,no,hazu,
hazu,weak,teleological,?,,positive,no,hazu,
hazu,strong,circumstantial,1,jpn-modal-evid26,positive,no,hazu,
hazu,weak,circumstantial,1,jpn-modal-evid27,positive,no,hazu,
hazu,strong,bouletic,?,,positive,no,hazu,hazu with pure circumstantial possibility readings
hazu,strong,epistemic,?,,negative,low,hazu-(ga) + negation,
hazu,weak necessity,epistemic,?,,negative,low,hazu-(ga) + negation,
hazu,weak,epistemic,1,jpn-modal-evid8,negative,low,hazu-(ga) + negation,
hazu,strong,deontic,?,,negative,low,hazu-(ga) + negation,
hazu,weak necessity,deontic,?,,negative,low,hazu-(ga) + negation,
hazu,weak,deontic,?,,negative,low,hazu-(ga) + negation,
hazu,strong,teleological,?,,negative,low,hazu-(ga) + negation,
hazu,weak necessity,teleological,?,,negative,low,hazu-(ga) + negation,
hazu,weak,teleological,?,,negative,low,hazu-(ga) + negation,
hazu,strong,circumstantial,?,,negative,low,hazu-(ga) + negation,
hazu,weak,circumstantial,1,jpn-modal-evid33,negative,low,hazu-(ga) + negation,
hazu,strong,bouletic,?,,negative,low,hazu-(ga) + negation,
ni chigai nai,strong,epistemic,1,"jpn-modal-evid1b, jpn-modal-evid2b",positive,no,ni chigai nai,slightly stronger than hazu
ni chigai nai,weak necessity,epistemic,?,,positive,no,ni chigai nai,slightly stronger than hazu
ni chigai nai,weak,epistemic,?,,positive,no,ni chigai nai,slightly stronger than hazu
ni chigai nai,strong,deontic,?,,positive,no,ni chigai nai,slightly stronger than hazu
ni chigai nai,weak necessity,deontic,?,,positive,no,ni chigai nai,slightly stronger than hazu
ni chigai nai,weak,deontic,?,,positive,no,ni chigai nai,slightly stronger than hazu
ni chigai nai,strong,teleological,?,,positive,no,ni chigai nai,slightly stronger than hazu
