ref,words,gloss,translation,comment
aka-modal-1,ɛsɛsɛ         Ben        dware,MOD 	Ben	swim,Ben must be swimming,"The morphological analysis of ɛsɛsɛ according to Owusu (2014):
Ɛ-sɛ-sɛ: expletive-fit-Comp"
aka-modal-1b,Ɛwɔsɛ Ben dware,MOD Ben swim,Ben must be swimming,
aka-modal-2,Ɛwɔsɛ John wɔ sukuu,MOD John be school,John must be at school,
aka-modal-2b,Ɛsɛsɛ	John 	wɔ 	sukuu,MOD John be school,John must be at school,
aka-modal-2c,ɛ-ho-hia John wɔ sukuu,MOD John be school,,
aka-modal-3,Ɛsɛsɛ	ɛwɔ 	C,MOD be C,It must be in C,
aka-modal-3b,A-gye-sɛ ɛwɔ C,MOD be C,It must be in C,"morphological analysis of ""a-gye-sɛ"":Perf-take/receive-COMP"
aka-modal-5,Ɛsɛsɛ	Ann 	wɔ 	lake 	no 	ho 	sesei 	ara,MOD 	Ann 	be 	lake 	DET 	beside 	right 	now,Ann should be at the lake right now,
aka-modal-5b,ɛwɔsɛ 	Ann 	wɔ 	lake 	no 	ho 	sesei 	ara,MOD	Ann	be	lake	DET	beside	right	now,Ann should be at the lake right now,
aka-modal-6,sɛ 			ɛsɛsɛ 	nsuo 	no 	tɔ 	sesei	ara 	wɔ Goa,EXPLETIVE.PRO 	MOD 	water 	DET 	fall 	right 	now 	in   Goa,It should be raining right now in Goa,
aka-modal-6b,sɛ 			ɛwɔsɛ 	nsuo 	no 	tɔ 	sesei 	ara 	wɔ 	Goa,EXPLETIVE.PRO	MOD	water	DET	fall	right	now	in	Goa,It should be raining right now in Goa,
aka-modal-9,Ebia                 Grace        necklace         no         ayera,MOD		Grace 	necklace 	DET	lost ,Grace's necklace might be lost,"""Ebia"" is an adverbial"
aka-modal-9b,Gyama                 Grace         necklace         no         ayera,MOD		Grace 	necklace 	DET	lost ,Grace's necklace might be lost,"""Gyama"" is an adverbial"
aka-modal-9c,Ebetumi Grace necklace no ayera,MOD Grace necklace DET lost,Grace's necklace might be lost,"morphological analysis of ""ebetumi"": Ebetumi = 3sg + be + tumi"
aka-modal-9d,Grace necklace no 	be-tumi 	ayera,Grace necklace DET FUT-MOD lost,Grace's necklace might be lost,
aka-modal-9e,Grace necklace no 	tumi 	yera,Grace necklace DET MOD lost,,
aka-modal-9f,"Me-hwɛ nea ɛ-re-keka kͻ yi a, ͻman yi mu tumi kyɛ","1SG-look what 3SG-PROG-say go DET, REL nation DET in MOD divide","Looking at what is going on, the nation can be divided","Owusu (2014: 66), sourcing (Adom FM 04/02/13)"
aka-modal-9g,Nnea ͻmmo yɛ yi nyinaa tumi de ntͻkwa ba. ,what 3PL do DET all MOD take fight come,What they are doing can result in a fight.,"Owusu (2014: 66), sourcing (Adom FM 04/02/13) "
aka-modal-7pa,Ebetumi 		aba 		sɛ 	Mary 	eni 	efie,MOD happen COMP Mary not home,It may be that Mary is not home,
aka-modal-7pb,Ebia Mary 	eni 	efie,MOD Mary not home,Mary may not be home,
aka-modal-1p,Enti 	Ben	n-tumi 		n-wɔ 	efie,So Ben NEG-MOD NEG-be home,Ben can't be at home,"Neg semantically scopes over ""tumi"". Comment by a native external reviewer: ""he sentence is odd because the negated form of the main verb is incorrect. And the sentence also sounds very non-native."""
