ref,context,premise,example,judgment,comment,index
ell-modal-evid1,epi-nec-1,na,ell-modal-1,felicitous,,1
ell-modal-evid1b,epi-nec-1,na,ell-modal-1b,felicitous,,2
ell-modal-evid2,epi-nec-2,na,ell-modal-2,felicitous,,3
ell-modal-evid2b,epi-nec-2,na,ell-modal-2b,felicitous,,4
ell-modal-evid3,epi-nec-3,na,ell-modal-3,felicitous,,5
ell-modal-evid3b,epi-nec-3,na,ell-modal-3b,felicitous,,6
ell-modal-evid3c,epi-nec-3,na,ell-modal-3c,felicitous,,7
ell-modal-evid4,epi-nec-4,na,ell-modal-4,felicitous,preferred,8
ell-modal-evid4b,epi-nec-4,na,ell-modal-4b,infelicitous,,9
ell-modal-evid4c,epi-nec-4,na,ell-modal-4c,felicitous,,10
ell-modal-evid5,epi-wn-1,na,ell-modal-5,felicitous,,11
ell-modal-evid5b,epi-wn-1,na,ell-modal-5b,infelicitous,,12
ell-modal-evid6,epi-wn-2,na,ell-modal-6,felicitous,,13
ell-modal-evid6b,epi-wn-2,na,ell-modal-6b,infelicitous,,14
ell-modal-evid6c,epi-wn-2,na,ell-modal-6c,infelicitous,,15
ell-modal-evid7,epi-wn-3,na,ell-modal-7,felicitous,preferred,16
ell-modal-evid7b,epi-wn-3,na,ell-modal-7b,felicitous,,17
ell-modal-evid8,epi-pos-1,na,ell-modal-8,felicitous,,18
ell-modal-evid8b,epi-pos-1,na,ell-modal-8b,infelicitous,,19
ell-modal-evid8c,epi-pos-1,na,ell-modal-8c,ungrammatical,,20
ell-modal-evid8d,epi-pos-1,na,ell-modal-8d,felicitous,,21
ell-modal-evid9,epi-pos-2,na,ell-modal-9,felicitous,,22
ell-modal-evid9b,epi-pos-2,na,ell-modal-9b,felicitous,,23
ell-modal-evid9c,epi-pos-2,na,ell-modal-9c,felicitous,,24
ell-modal-evid10,epi-pos-3,na,ell-modal-10,felicitous,,25
ell-modal-evid10b,epi-pos-3,na,ell-modal-10b,felicitous,,26
ell-modal-evid11,epi-pos-4,na,ell-modal-11,felicitous,,27
ell-modal-evid11b,epi-pos-4,na,ell-modal-11b,infelicitous,,28
ell-modal-evid12,epi-nnec-1,na,ell-modal-12,felicitous,,29
ell-modal-evid12b,epi-nnec-1,na,ell-modal-12b,infelicitous,,30
ell-modal-evid12c,epi-nnec-1,na,ell-modal-12c,felicitous,,31
ell-modal-evid13,epi-nnec-2,na,ell-modal-13,felicitous,,32
ell-modal-evid13b,epi-nnec-2,na,ell-modal-13b,felicitous,,33
