expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes
mwanka,strong,epistemic,1,"thk-modal-evid1, thk-modal-evid1b, thk-modal-evid2",positive,no,n'wa mwanka,"n'wa is a focus marker that occurs in positive contexts, the relation betwen n'wa and mwanka is unclear"
mwanka,weak necessity,epistemic,?,,positive,no,n'wa mwanka,
mwanka,weak,epistemic,?,,positive,no,n'wa mwanka,
mwanka,strong,deontic,1,thk-modal-evid11,positive,no,n'wa mwanka,
mwanka,weak necessity,deontic,?,,positive,no,n'wa mwanka,
mwanka,weak,deontic,?,,positive,no,n'wa mwanka,
mwanka,strong,teleological,1,"thk-modal-evid18c, thk-modal-evid19b",positive,no,n'wa mwanka,
mwanka,weak necessity,teleological,?,,positive,no,n'wa mwanka,
mwanka,weak,teleological,?,,positive,no,n'wa mwanka,
mwanka,strong,circumstantial,1,thk-modal-evid24,positive,no,n'wa mwanka,
mwanka,weak,circumstantial,?,,positive,no,n'wa mwanka,
mwanka,strong,bouletic,1,thk-modal-evid30,positive,no,n'wa mwanka,
mwanka,strong,epistemic,1,thk-modal-evid8,negative,yes,t'wa mwanka,
mwanka,weak necessity,epistemic,?,,negative,yes,t'wa mwanka,
mwanka,weak,epistemic,?,,negative,yes,t'wa mwanka,
mwanka,strong,deontic,1,thk-modal-evid15b,negative,yes,t'wa mwanka,
mwanka,weak necessity,deontic,?,,negative,yes,t'wa mwanka,
mwanka,weak,deontic,?,,negative,yes,t'wa mwanka,
mwanka,strong,teleological,1,thk-modal-evid22,negative,yes,t'wa mwanka,
mwanka,weak necessity,teleological,?,,negative,yes,t'wa mwanka,
mwanka,weak,teleological,?,,negative,yes,t'wa mwanka,
mwanka,strong,circumstantial,1,thk-modal-evid27,negative,yes,t'wa mwanka,
mwanka,weak,circumstantial,?,,negative,yes,t'wa mwanka,
mwanka,strong,bouletic,?,,negative,yes,t'wa mwanka,
n’wa + perfective aspect,strong,epistemic,?,,positive,no,n'wa + perf,it is not clear if n’wa + perf can express epistemic necessity
n’wa + perfective aspect,weak necessity,epistemic,?,,positive,no,n'wa + perf,
n’wa + perfective aspect,weak,epistemic,?,,positive,no,n'wa + perf,
n’wa + perfective aspect,strong,deontic,?,,positive,no,n'wa + perf,it is not clear if n’wa + perf can express deontic necessity
n’wa + perfective aspect,weak necessity,deontic,?,,positive,no,n'wa + perf,
n’wa + perfective aspect,weak,deontic,?,,positive,no,n'wa + perf,
n’wa + perfective aspect,strong,teleological,1,"thk-modal-evid18, thk-modal-evid19",positive,no,n'wa + perf,
n’wa + perfective aspect,weak necessity,teleological,?,,positive,no,n'wa + perf,
n’wa + perfective aspect,weak,teleological,?,,positive,no,n'wa + perf,
n’wa + perfective aspect,strong,circumstantial,1,thk-modal-evid24b,positive,no,n'wa + perf,
n’wa + perfective aspect,weak,circumstantial,?,,positive,no,n'wa + perf,
n’wa + perfective aspect,strong,bouletic,1,thk-modal-evid30b,positive,no,n'wa + perf,
ûmba,strong,epistemic,?,,positive,no,n'wa ûmba,
ûmba,weak necessity,epistemic,1,"thk-modal-evid3, thk-modal-evid4",positive,no,n'wa ûmba,
ûmba,weak,epistemic,?,,positive,no,n'wa ûmba,
ûmba,strong,deontic,?,,positive,no,n'wa ûmba,
ûmba,weak necessity,deontic,?,,positive,no,n'wa ûmba,the author noted it is not clear if it could be used here
ûmba,weak,deontic,?,,positive,no,n'wa ûmba,
ûmba,strong,teleological,?,,positive,no,n'wa ûmba,
ûmba,weak necessity,teleological,?,,positive,no,n'wa ûmba,the author noted it is not clear if it could be used here
ûmba,weak,teleological,?,,positive,no,n'wa ûmba,
ûmba,strong,circumstantial,?,,positive,no,n'wa ûmba,
ûmba,weak,circumstantial,?,,positive,no,n'wa ûmba,
ûmba,strong,bouletic,?,,positive,no,n'wa ûmba,
ûmba,strong,epistemic,?,,negative,yes,ti ûmba,
ûmba,weak necessity,epistemic,?,,negative,yes,ti ûmba,
ûmba,weak,epistemic,1,"thk-modal-evid9, thk-modal-evid10",negative,yes,ti ûmba,
ûmba,strong,deontic,?,,negative,yes,ti ûmba,
ûmba,weak necessity,deontic,?,,negative,yes,ti ûmba,
ûmba,weak,deontic,0,thk-modal-evid17b,negative,yes,ti ûmba,
ûmba,strong,teleological,?,,negative,yes,ti ûmba,
ûmba,weak necessity,teleological,?,,negative,yes,ti ûmba,
ûmba,weak,teleological,1,thk-modal-evid23b,negative,yes,ti ûmba,
ûmba,strong,circumstantial,?,,negative,yes,ti ûmba,
ûmba,weak,circumstantial,1,"thk-modal-evid28, thk-modal-evid29",negative,yes,ti ûmba,
ûmba,strong,bouletic,?,,negative,yes,ti ûmba,
batîîr-i,strong,epistemic,?,,positive,no,batîîr-i,"batîîr is translated as 'require', -i is a normalizer"
batîîr-i,weak necessity,epistemic,?,,positive,no,batîîr-i,
batîîr-i,weak,epistemic,?,,positive,no,batîîr-i,
batîîr-i,strong,deontic,?,,positive,no,batîîr-i,
batîîr-i,weak necessity,deontic,1,thk-modal-evid12,positive,no,batîîr-i,
batîîr-i,weak,deontic,?,,positive,no,batîîr-i,
batîîr-i,strong,teleological,?,,positive,no,batîîr-i,
batîîr-i,weak necessity,teleological,?,,positive,no,batîîr-i,
batîîr-i,weak,teleological,?,,positive,no,batîîr-i,
batîîr-i,strong,circumstantial,?,,positive,no,batîîr-i,
batîîr-i,weak,circumstantial,?,,positive,no,batîîr-i,
batîîr-i,strong,bouletic,?,,positive,no,batîîr-i,
n+verb,strong,epistemic,?,,positive,no,n+verb,n is the focus marker
n+verb,weak necessity,epistemic,?,,positive,no,n+verb,
n+verb,weak,epistemic,?,,positive,no,n+verb,
n+verb,strong,deontic,?,,positive,no,n+verb,
n+verb,weak necessity,deontic,?,,positive,no,n+verb,
n+verb,weak,deontic,?,,positive,no,n+verb,
n+verb,strong,teleological,?,,positive,no,n+verb,
n+verb,weak necessity,teleological,1,"thk-modal-evid20, thk-modal-evid20b",positive,no,n+verb,
n+verb,weak,teleological,?,,positive,no,n+verb,
n+verb,strong,circumstantial,?,,positive,no,n+verb,
n+verb,weak,circumstantial,?,,positive,no,n+verb,
n+verb,strong,bouletic,?,,positive,no,n+verb,
n'wa +verb,strong,epistemic,?,,positive,no,n'wa + verb,n'wa is focus marker+wa
n'wa +verb,weak necessity,epistemic,?,,positive,no,n'wa + verb,
n'wa +verb,weak,epistemic,1,"thk-modal-evid5, thk-modal-evid6, thk-modal-evid7",positive,no,n'wa + verb,
n'wa +verb,strong,deontic,?,,positive,no,n'wa + verb,
n'wa +verb,weak necessity,deontic,?,,positive,no,n'wa + verb,
n'wa +verb,weak,deontic,1,"thk-modal-evid13, thk-modal-evid14",positive,no,n'wa + verb,
n'wa +verb,strong,teleological,0,thk-modal-evid18b,positive,no,n'wa + verb,
n'wa +verb,weak necessity,teleological,?,,positive,no,n'wa + verb,
n'wa +verb,weak,teleological,1,thk-modal-evid21,positive,no,n'wa + verb,
n'wa +verb,strong,circumstantial,?,,positive,no,n'wa + verb,
n'wa +verb,weak,circumstantial,1,"thk-modal-evid25, thk-modal-evid26",positive,no,n'wa + verb,
n'wa +verb,strong,bouletic,?,,positive,no,n'wa + verb,
n'wa + ka,strong,epistemic,?,,positive,no,n'wa + ka,ka is the subjunctive marker
n'wa + ka,weak necessity,epistemic,?,,positive,no,n'wa + ka,
n'wa + ka,weak,epistemic,?,,positive,no,n'wa + ka,
n'wa + ka,strong,deontic,?,,positive,no,n'wa + ka,
n'wa + ka,weak necessity,deontic,?,,positive,no,n'wa + ka,
n'wa + ka,weak,deontic,1,thk-modal-evid13b,positive,no,n'wa + ka,
n'wa + ka,strong,teleological,?,,positive,no,n'wa + ka,
n'wa + ka,weak necessity,teleological,?,,positive,no,n'wa + ka,
n'wa + ka,weak,teleological,?,,positive,no,n'wa + ka,
n'wa + ka,strong,circumstantial,?,,positive,no,n'wa + ka,
n'wa + ka,weak,circumstantial,?,,positive,no,n'wa + ka,
n'wa + ka,strong,bouletic,?,,positive,no,n'wa + ka,
ti + ka,strong,epistemic,?,,negative,yes,ti + ka,ka is the subjunctive marker
ti + ka,weak necessity,epistemic,?,,negative,yes,ti + ka,
ti + ka,weak,epistemic,?,,negative,yes,ti + ka,
ti + ka,strong,deontic,?,,negative,yes,ti + ka,
ti + ka,weak necessity,deontic,?,,negative,yes,ti + ka,
ti + ka,weak,deontic,1,"thk-modal-evid16, thk-modal-evid17",negative,yes,ti + ka,
ti + ka,strong,teleological,?,,negative,yes,ti + ka,
ti + ka,weak necessity,teleological,?,,negative,yes,ti + ka,
ti + ka,weak,teleological,?,,negative,yes,ti + ka,
ti + ka,strong,circumstantial,?,,negative,yes,ti + ka,
ti + ka,weak,circumstantial,?,,negative,yes,ti + ka,
ti + ka,strong,bouletic,?,,negative,yes,ti + ka,
racima,strong,epistemic,1,thk-modal-evid8b,negative,yes,ti racima,
racima,weak necessity,epistemic,?,,negative,yes,ti racima,
racima,weak,epistemic,?,,negative,yes,ti racima,
racima,strong,deontic,1,thk-modal-evid15,negative,yes,ti racima,
racima,weak necessity,deontic,?,,negative,yes,ti racima,
