ref,context,words,gloss,translation,comment
jpn-modal-1,epi-nec-1,Ben-wa 	oyoi-deiru 		hazu 	da,Ben-Top         swim-Asp(prog)         MOD         Cop,Ben MUST be swimming,Hazu = reading where there is not actually entailment.
jpn-modal-1b,epi-nec-1,Ben-wa 	oyoi-deiru 	ni-chigai-nai,Ben-Top         swim-Asp         MOD,Ben MUST be swimming,Nichigainai slightly stronger => has to be the case based on what you know.
jpn-modal-2,epi-nec-3,Booru-wa 	C 	ni 	aru 	hazu 	da,Ball-Top         C         Loc         exist         MOD         Cop , it MUST be in C,
jpn-modal-2b,epi-nec-3,Booru-wa 	C 	ni 	aru 	ni-chigai-nai,Ball-Top        C        Loc        exist       MOD,it MUST be in C,
jpn-modal-3,epi-wn-1,An-wa 		mizuumi-ni 	iru-daroo,Ann-Top         lake-Loc        exist-MOD ,Ann SHOULD be at the lake right now.,
jpn-modal-4,epi-wn-3,"Meari-wa         ie-ni                 iru         hazu-da         ga,         tashika-de-wa                 nai",Mary-Top         house-Loc         exist         MOD-Cop         but         certain-Cop-Top         Neg,"Mary SHOULD be at home, but it’s not certain. ",
jpn-modal-4b,epi-wn-3,Meari-wa 	ie-ni 		iru 	daroo.,Mary-Top         house-Loc         exist         MOD ,Mary SHOULD be at home,
jpn-modal-5,epi-pos-1,Kare-wa 	kuru 	ka-mo-shire-nai. ,he-Top                 come         MOD,He MIGHT be coming to school today.,"‘It is not known whether…’ (lit.)
As long as there is a possibility, kamoshirenai can be used."
jpn-modal-6,epi-pos-3,Neko-wa         ie-no                 naka-ni         iru         kamoshirenai-shi                 i-nai         kamoshirenai,cat-Top         house-Gen         inside-Loc         exist         MOD-ConjunctiveParticle         exist-Neg  MOD,The cat may be inside. The cat may also be outside.,
jpn-modal-7,epi-nnec-1,Meari-ga	ie-ni 		iru-ka-wa 	tashika 		de-wa-nai,Mary-Nom         house-Loc         exist-Q-Top         MOD                 Cop-Top-Neg,It is not certain whether Mary is at home.,
jpn-modal-7b,epi-nnec-1,Meari-ga 	ie-ni 		iru-nichigainai 	wake-de-wa-nai,Mary-Nom 	house-Loc 	exist-MOD 	NMNL-Cop-Top-Neg,It is not certain whether Mary is at home.,grammatical but slightly odd
jpn-modal-8,epi-imp-2,Booru-wa         C-ni         aru         hazu-ga         nai,Ball-Top 	C-Loc 	exist 	MOD-Nom 	Neg,it MUST NOT / CAN’T be in C.,
jpn-modal-8b,epi-imp-2,Booru-wa 	C-ni 	aru 	wake-ga 	nai,Ball-Top 	C-Loc 	exist 	reason-Nom 	Neg,it MUST NOT / CAN’T be in C.,
jpn-modal-9,deo-nec-1,Baiku-ni 	noru-toki-wa 	herumetto-o 	kabur-ana-kereba          nar-anai,bike-Dat 	ride-when-Top 	helmet-Acc 	wear-Neg-MOD 	Verb-Neg,You MUST wear a helmet.,"(lit.) if you don’t wear a helmet, then you’re not allowed (kind of). Meaning not transparent to native speakers => unit means deontic necessity."
jpn-modal-10,deo-nec-2,Hoomonsha-wa         roku-ji         made         ni                 kaer-anakerebanaranai,visitors-Top 		6-hour 	by 	Particle 	return.home-MOD,Visitors MUST leave by 6pm.,
jpn-modal-11,deo-wn-1,Reifuku-o 		kita-hou-ga 		ii,formal.clothes-Acc 	wear-direction-Nom 	good,It would be better to wear formal clothes,
