ref,context,premise,example,judgment,comment,index
tur-modal-evid1,epi-nec-1,na,tur-modal-1,felicitous,,1
tur-modal-evid1b,epi-nec-1,na,tur-modal-1b,felicitous,,2
tur-modal-evid1c,epi-nec-1,na,tur-modal-1c,infelicitous,,3
tur-modal-evid1d,epi-nec-1,na,tur-modal-1d,infelicitous,,4
tur-modal-evid1e,epi-nec-1,na,tur-modal-1e,felicitous,,5
tur-modal-evid1f,epi-nec-1,na,tur-modal-1f,felicitous,,6
tur-modal-evid2,epi-nec-2,na,tur-modal-2,felicitous,preferred,7
tur-modal-evid2b,epi-nec-2,na,tur-modal-2b,felicitous,,8
tur-modal-evid2c,epi-nec-2,na,tur-modal-2c,felicitous,,9
tur-modal-evid3,epi-nec-3,na,tur-modal-3,felicitous,,10
tur-modal-evid3b,epi-nec-3,na,tur-modal-3b,felicitous,preferred,11
tur-modal-evid3c,epi-nec-3,na,tur-modal-3c,felicitous,,12
tur-modal-evid3d,epi-nec-3,na,tur-modal-3d,felicitous,,13
tur-modal-evid3e,epi-nec-3,na,tur-modal-3e,felicitous,slightly dispreferred,14
tur-modal-evid4,epi-nec-4,na,tur-modal-4,felicitous,,15
tur-modal-evid4b,epi-nec-4,na,tur-modal-4b,felicitous,dispreferred,16
tur-modal-evid5,epi-wn-1,na,tur-modal-5,felicitous,,17
tur-modal-evid5b,epi-wn-1,na,tur-modal-5b,infelicitous,,18
tur-modal-evid5c,epi-wn-1,na,tur-modal-5c,felicitous,slightly dispreferred,19
tur-modal-evid5d,epi-wn-1,na,tur-modal-5d,felicitous,,20
tur-modal-evid6,epi-wn-2,na,tur-modal-6,felicitous,slightly preferred,21
tur-modal-evid6b,epi-wn-2,na,tur-modal-6b,infelicitous,,22
tur-modal-evid6c,epi-wn-2,na,tur-modal-6c,felicitous,,23
tur-modal-evid6d,epi-wn-2,na,tur-modal-6d,felicitous,,24
tur-modal-evid6e,epi-wn-2,na,tur-modal-6e,infelicitous,,25
tur-modal-evid7,epi-wn-3,na,tur-modal-7,felicitous,,26
tur-modal-evid7b,epi-wn-3,na,tur-modal-7b,infelicitous,,27
tur-modal-evid7c,epi-wn-3,na,tur-modal-7c,felicitous,,28
tur-modal-evid8,epi-pos-1,na,tur-modal-8,felicitous,,29
tur-modal-evid8b,epi-pos-1,na,tur-modal-8b,felicitous,,30
tur-modal-evid9,epi-pos-2,na,tur-modal-9,felicitous,,31
tur-modal-evid10,epi-pos-3,na,tur-modal-10,felicitous,,32
tur-modal-evid10b,epi-pos-3,na,tur-modal-10b,felicitous,,33
tur-modal-evid11,epi-pos-4,na,tur-modal-11,felicitous,,34
tur-modal-evid11b,epi-pos-4,na,tur-modal-11b,felicitous,,35
tur-modal-evid11c,epi-pos-4,na,tur-modal-11c,felicitous,,36
tur-modal-evid12,epi-nnec-1,na,tur-modal-12,felicitous,marginal,37
tur-modal-evid12b,epi-nnec-1,na,tur-modal-12b,felicitous,,38
tur-modal-evid13,epi-nnec-2,na,tur-modal-13,felicitous,,39
tur-modal-evid12c,epi-nnec-1,na,tur-modal-12c,infelicitous,,40
tur-modal-evid12d,epi-nnec-1,na,tur-modal-12d,infelicitous,,41
tur-modal-evid12e,epi-nnec-1,na,tur-modal-12e,felicitous,,42
tur-modal-evid12f,epi-nnec-1,na,tur-modal-12f,felicitous,,43
tur-modal-evid14,epi-imp-1,na,tur-modal-14,felicitous,,44
tur-modal-evid15,epi-imp-2,na,tur-modal-15,felicitous,,45
tur-modal-evid15b,epi-imp-2,na,tur-modal-15b,felicitous,,46
tur-modal-evid16,deo-nec-1,na,tur-modal-16,felicitous,,47
tur-modal-evid16b,deo-nec-1,na,tur-modal-16b,felicitous,,48
tur-modal-evid16c,deo-nec-1,na,tur-modal-16c,infelicitous,,49
tur-modal-evid16d,deo-nec-1,na,tur-modal-16d,infelicitous,,50
tur-modal-evid16e,deo-nec-1,na,tur-modal-16e,felicitous,,51
tur-modal-evid16f,deo-nec-1,na,tur-modal-16f,felicitous,,52
tur-modal-evid17,deo-nec-2,na,tur-modal-17,felicitous,preferred,53
tur-modal-evid17b,deo-nec-2,na,tur-modal-17b,felicitous,,54
tur-modal-evid17c,deo-nec-2,na,tur-modal-17c,felicitous,,55
tur-modal-evid18,deo-wn-1,na,tur-modal-18,felicitous,,56
tur-modal-evid18b,deo-wn-1,na,tur-modal-18b,felicitous,,57
tur-modal-evid18c,deo-wn-1,na,tur-modal-18c,felicitous,,58
tur-modal-evid19,deo-wn-2,na,tur-modal-19,felicitous,,59
tur-modal-evid19b,deo-wn-2,na,tur-modal-19b,felicitous,,60
tur-modal-evid20,deo-wn-3,na,tur-modal-20,felicitous,,61
tur-modal-evid20b,deo-wn-3,na,tur-modal-20b,felicitous,,62
tur-modal-evid21,deo-pos-1,na,tur-modal-21,felicitous,,63
tur-modal-evid21b,deo-pos-1,na,tur-modal-21b,infelicitous,,64
