ref,context,words,gloss,translation,comment
kor-modal-1,epi-nec-1,peyn-i 		cikum	 swuyeng-ha-ko.iss-na.po-ta.,Ben-NOM 	now	 swim-do-PRG-MOD-DECL.,Ben MUST be swimming ,"slightly preferred: Perhaps the preference is because na-po is closer to weak necessity, and the context in (1) can naturally be interpreted as a weak necessity context. "
kor-modal-1b,epi-nec-1,peyn-i                 cikum         swuyeng-ha-ko.iss-keyss-ta.,Ben-NOM 	now	 swim-do-PRG-MOD-DECL.,Ben MUST be swimming ,
kor-modal-2,epi-nec-2,con-i 		hakkyo-ey 	iss-keyss-ta.,John-NOM 	school-LOC 	be-MOD-DECL.,John MUST be at school.,preferred
kor-modal-2b,epi-nec-2,con-i                 hakkyo-ey         iss-na.po-ta.,John-NOM 	school-LOC 	be-MOD-DECL.,John MUST be at school.,
kor-modal-3,epi-nec-3,kong-i 		C-ey 	iss-keyss-ta.,ball-NOM 	C-LOC 	be-MOD-DECL,It MUST be in C.,
kor-modal-3b,epi-nec-3,# ke/kes-i-,MOD,,ke-/kes-i- is infelicitous in necessity contexts. 
kor-modal-4,epi-wn-1,ayn-i                 cikum                 hoswu-ey         iss-ul                  ke-ta. (kes-i-ta.),Ann-NOM 	right.now 	lake-LOC 	be-COMP 	 MOD-DECL,Ann SHOULD be at the lake right now. ,
kor-modal-4b,epi-wn-1,? ayn-i                 cikum                 hoswu-ey         iss-na.po-ta.,Ann-NOM 	right.now 	lake-LOC 	be-MOD-DECL,Ann SHOULD be at the lake right now. ,
kor-modal-5,epi-wn-2,koa-ey 		cikum 		pi-ka 		nayli-ko.iss-ul 		   ke-ta.(kes-i-ta.),Goa-LOC 	right.now 	rain-NOM 	come.down-PRG-COMP  MOD-DECL,It SHOULD be raining now in Goa.,
kor-modal-6,epi-wn-3,meyli-ka 	cip-ey		iss-ul-theyn.tey 		hwaksilha-ci-n 		anh-ta.,Mary-NOM 	house-LOC 	be-COMP-MOD 	certain-COMP-CONJ 	not-DECL.,Mary SHOULD be at home,
kor-modal-6b,epi-wn-3,meyli-ka         cip-ey                 iss-ul-ken.tey (kes-in-tey)  hwaksilha-ci-n                         anh-ta.,Mary-NOM         house-LOC         be-COMP-MOD (thing-COP-MOD) certain-COMM-NPST.IPFV         NEG.do-DECL,Mary SHOULD be at home,
kor-modal-6c,epi-wn-3,# meyli-ka         cip-ey                 iss-na.po-ta.,Mary-Nom 	house-LOC 	be-MOD-DECL,Mary SHOULD be at home,
kor-modal-6d,epi-wn-3,# meyli-ka         cip-ey                 iss-keyss-ta.,Mary-Nom 	house-LOC 	be-MOD-DECL,Mary SHOULD be at home,
kor-modal-7,epi-pos-1,sensayngnim-i 	hakkyo-ey 	ol-ci(-to) 		molun-ta.,teacher-NOM 	school-dat 	come-COMP.-COND 	not.know-DECL. (don’t know if/wonder if),He MIGHT be coming to school today.,
kor-modal-7b,epi-pos-1,sensayngnim-i 	hakkyo-ey 	ol-ci(-to) 		molu-keyss-ta.,teacher-NOM 	school-dat 	come-COMP-COND 	MOD-MOD-DECL.,He MIGHT be coming to school today.,
kor-modal-7c,epi-pos-1,sensayngnim-i 	hakkyo-ey 	wass-ul-swu(-to) 		iss-ta.,teacher-NOM 	school-dat 	come-COMP-MOD-COND 	MOD-DECL. ,He MIGHT be coming to school today.,
kor-modal-7d,epi-pos-1,sensayngnim-i 	hakkyo-ey 	wass-ul-swu(-to) 		iss.keyss-ta.,teacher-NOM 	school-dat 	come-COMP-MOD-COND	MOD-DECL. ,He MIGHT be coming to school today.,
kor-modal-8,epi-pos-2,mokkeli-lul 	ilhe 	pe.lyess-ul.ci(-to) 	molun-ta.,necklace-ACC 	lost 	lost-COMP-COND	MOD-DECL.,Grace’s necklace MIGHT be lost.,
kor-modal-8b,epi-pos-2,mokkeli-lul 	ilhe 	pely-ess-ul 		swu(-to) 	iss-ta.,necklace-ACC 	lost	lose-PAST-COMP 	MOD-COND	MOD-DECL,Grace’s necklace MIGHT be lost.,
kor-modal-9,epi-nnec-1,meyli-ka 	cip-ey 		iss-ul 		philyo-nun 		eps-ta.,Mary-NOM 	house-LOC 	be-COMP 	MOD-TOP 		not.present-DECL.,she MAY NOT be at home.,
kor-modal-10,epi-imp-1,peyn-i 		cip-ey 		iss-ul-li(-ka) 			eps-ta.,Ben-NOM 	house-DAT 	be-COMP-MOD(-NOM) 	not.present-DECL,Ben CAN’T be at home. ,
kor-modal-11,epi-imp-2,li.ka eps-,MOD,,
kor-modal-12,deo-nec-1,heylmeys-ul 	sse-ya 		han-ta.,helmet-ACC 	wear-MOD 	do.AUX-DECL,You MUST wear a helmet.,
kor-modal-12b,deo-nec-1,heylmeys-ul 	sse-ya 		toyn-ta.,helmet-ACC 	wear-MOD 	GOOD-DECL,You MUST wear a helmet.,
kor-modal-12c,deo-nec-1,heylmeys-ul 	an 	ssu-myeon 	an 	toy-n-ta.,helmet-ACC 	NEG 	wear-COND 	NEG 	good-PRES-DECL,You MUST wear a helmet.,Added sentence based on a comment by Woojin Chung
kor-modal-12d,deo-nec-2,pangmwunca-nun 	yeses-si-kkaci 	ttena-sye-ya 		{ha-p.ni-ta./toyp-ni-ta}.,visitor-NOM 		6-o’clock-until 	leave-subj.HON-MOD 	{GOOD-HON-DECL./ GOOD-HON-DECL},Visitors MUST leave by 6pm.,
kor-modal-13,deo-wn-1,phathi-ey 	cengcang-ul 		ip.e-[ya 	keyss-ta].,party-DAT 	formal.clothes-ACC 	wear-MOD 	MOD-DECL,I OUGHT TO wear formal clothes to the party.,
kor-modal-13b,deo-wn-1,phathi-ey 	cengcang-ul 		ip-nun-key (kes-i) 	coh-keyss-ta.,party-DAT 	formal.clothes-ACC 	wear-NOM-COMP 	good-MOD-DECL.,I OUGHT TO wear formal clothes to the party.,
kor-modal-14,deo-wn-2,pi-cik-wen-to son-ul ssis-e-ya han-ta,,Non-employees OUGHT TO wash their hands too!,
kor-modal-14b,deo-wn-2,kes-i coh-ta,MOD,Non-employees OUGHT TO wash their hands too!,
kor-modal-15,deo-wn-3,ya + keyss-ta,MOD,,
kor-modal-15b,deo-wn-3,coh-keyss-ta,MOD,,
kor-modal-16,deo-pos-1,mathin-un 	cenlamcha-lul 		tha-to 		toy-n-ta,Martin-NOM  ferris.wheel-ACC  ride-COND GOOD-PRS-DECL,Martin MAY ride the ferris wheel.,
kor-modal-16b,deo-pos-1,* mathin-un         cenlamcha-lul                 tha-to ha-n-ta ,Martin-NOM  ferris.wheel-ACC  ride-COND GOOD-PRS-DECL,Martin MAY ride the ferris wheel,
kor-modal-17,deo-pos-2,tuleo-sye-to                 toy-yo,come.in-HON-COND	GOOD-HON.DECL,You MAY enter.,
kor-modal-18,deo-pos-3,halwuspam         mwuku-sye-to                toy-ko                 cip-ey                 ka-sye-to  toy-yo,One.night 	stay-HON-COND 	GOOD-conj 	house-LOC 	go-HON-COND GOOD-HON.DECL,You can stay overnight and you can go home.,
kor-modal-19,deo-pos-4,to toyn-ta,COND	GOOD-PRS-DECL,,
kor-modal-20,deo-pos-5,to toyn-ta,COND	GOOD-PRS-DECL,,
kor-modal-21,deo-nnec-1,ceng.cang-ul 		ip-ul 		philyo-nun 		eps-ta.,formal.clothes-ACC 	wear-COMP 	necessity-TOP.NOM 	not.have-DECL,I DON’T HAVE TO / NEEDN’T wear formal clothes.,
kor-modal-21b,deo-nnec-1,to toy + negation,,,
kor-modal-22,deo-nnec-2,to toy + negation,,,
kor-modal-23,deo-imp-1,heylmeys         epsi                 othopai-lul                 tha-si-myeon        an-toyp-ni-ta,Helmet                without         motorcycle-ACC         ride-HON-COND        not-GOOD-HON-DECL , You MUST NOT ride a motor bike without a helmet. ,"Chung (2019): ""p-myeon toy-"" conveys that it suffices to bring about ""p"". It's neither a necessity nor a possibility modal."
kor-modal-24,deo-imp-2,myeon an-toyp-ni-ta,,,
kor-modal-25,tel-nec-1,i 	kil-lo 		ka-sye-ya 		hap-ni-ta,This 	road-via 	go-HON-COND 	MOD-HON-DECL,you HAVE TO take this road.,
kor-modal-25b,tel-nec-1,i 	kil-lo 		ka-sye-ya-man 		hap-ni-ta,This 	road-via 	go-HON-COND-only 	MOD-HON-DECL,you HAVE TO take this road.,
kor-modal-26,tel-nec-2,thim 	A-ka 		thim 	B-lul 	ikye-ya-man 		ha-n-ta.,Team 	A-NOM 	team 	B-ACC win-COND-only 	MOD-pres-DECL,Team A HAS TO beat Team B.,"Man is in principle optional, but the consultant prefers the version with man here.
Man is in principle possible in deontic necessity as well, but not something that comes to mind in the first instance. "
kor-modal-27,tel-nec-3,ya ha-ta,,,
kor-modal-28,tel-wn-1,pesu-lul 	tha-nun 	kes-i 		coh-ta.,bus-ACC 	ride-P 		COMP-NOM 	good-DEC,you SHOULD take the bus.,(paraphrase)
kor-modal-29,tel-wn-2,cakun 	kil-lo 		ka-nun 	kes-i 		coh-ta,Small 	road-via 	go-P 	COMP-NOM 	good-DEC,you SHOULD go via the smaller roads.,(paraphrase)
kor-modal-30,tel-wn-3,wuli 		kakey-eyse 	say 	syechu-lul sa-nun-key(kes-i) 	coh-keyss-ta.,our(my) 	shop-from 	new 	shirt-ACC buy-P-COMP-NOM 	good-MOD-DEC,You SHOULD go to my shop to buy a new shirt.,(paraphrase)
kor-modal-31,tel-pos-1,ches-pen-ccay kil-lo ka-to toyn-ta. ,,You CAN take way 1.,
kor-modal-32,tel-pos-2,seccok swuyengcang-ey ka-to toyn-ta.,,We CAN go to the swimming pool to the west.,
kor-modal-33,tel-pos-3,-to toyn-ta.,,,
kor-modal-34,tel-nnec-1,[pesu-lul         tha-nun-key                 coh.ci-man]         pesu-lul         tha.l         philyo-nun  eps-ta.,[bus-ACC         take-P-COMP-NOM         good-but]         bus-ACC         take         necessity-TOP  not.be/have-DECL,"To get to the shopping centre, you should take the bus, but you DON’T NEED TO do so.",
kor-modal-34b,tel-nnec-1,[pesu-lul tha-nun-key coh.ci-man] 	pe-su-lul tha.ci 	anh.a-to 	toyn-ta,[...] 					bus-ACC take 	NEG-COND 	MOD-DEC,you DON’T NEED TO do so.,
kor-modal-35,tel-imp-1,talun 		kil-lo 		ka-myeon 	an-toyn-ta.,Different 	road-via 	go-COND 	NEG-MOD-DEC,you CAN’T take another road.,
kor-modal-36,tel-imp-2,myeon an-toyn-ta.,COND 	NEG-MOD-DEC,,
kor-modal-37,cir-nec-1,hwacangsil-ey 	ka-ya 		ha-n-ta,toilet-DAT 	go-COND 	do-PRES-DEC,I HAVE to pee so badly!,
kor-modal-38,cir-nec-2,?caychayki-lul 	hay-ya 		ha-keyss-ta,sneeze-ACC 	do-COND 	do-MOD-DEC,I HAVE to sneeze.,
kor-modal-39,cir-nec-3,olunccok-eyse 	nao-keyss-ta,Right-from 	come.out-MOD-DEC,,
kor-modal-40,cir-pos-1,twukhwu 	namwu-ka 	cala-l 		swu-to 			iss-keyss-ta,Duku 		tree-NOM 	grow-REL 	way/possibility-COND 	be-MOD-DEC,duku trees CAN grow here.,
kor-modal-41,cir-pos-2,[eyimi-nun         ithallian         phasutha-lul         mantul] swu                 iss.ci-man  caylyo-ka 		eps-ta,[Amy-NOM         Italian                 pasta-ACC         make]         way/possibility        be-but      ingredient-NOM         not.have-DEC,Amy CAN make traditional Italian pasta.,
kor-modal-42,cir-pos-3,peyn-un 	icey kel-ul 	swu 		iss.ci-man 	kel.u-myeon 	an-toyn-ta,Ben-NOM 	now walk 	way/possibility	be-but 		walk-COND 	NEG-MOD-DEC,Ben can now walk [but he is not allowed to],
kor-modal-43,cir-pos-4,Swu iss-ta,way/possibility be-DEC,,
kor-modal-44,cir-pos-5,Swu iss-ta,way/possibility be-DEC,,
kor-modal-45,cir-nnec-1,hwasan-i 	5 nyen 	aney 	theci-l 	kes 	kath-ta,volcano-NOM         5 years within         erupt         COMP         likely-DEC,it is LIKELY BUT NOT CERTAIN that the volcano will erupt in the next 5 years. ,
kor-modal-46,cir-imp-1,caychayki-lul 	memchwu-l 	swu 			eps-ta,sneeze-ACC 	stop 		way/possibility 		not.be-DEC,I CAN’T help sneezing! ,
kor-modal-47,cir-imp-2,Swu eps-ta,way/possibility not.be-DEC,,
kor-modal-48,bou-nec-1,(kapang-ul) 	sa-ko 		siph-ta,(bag-ACC) 	buy-COMP 	MOD-DEC,I WANT/NEED TO buy it.,
kor-modal-49,bou-nec-2,-ko siph-ta,-COMP 	MOD-DEC,,
kor-modal-50,bou-nec-3,o-ko siph-e han-ta,?-COMP         MOD-?  do.AUX-DEC,,
