expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes
prepi,strong,epistemic,1,"ell-modal-evid1, ell-modal-evid1b, ell-modal-evid2, ell-modal-evid2b, ell-modal-evid3, ell-modal-evid3b, ell-modal-evid4",positive,no,(tha) prepi,tha = possibility marker
prepi,weak necessity,epistemic,1,ell-modal-evid7,positive,no,prepi,
prepi,weak,epistemic,1,"ell-modal-evid9b, ell-modal-evid10b",positive,no,prepi,
prepi,strong,deontic,1,"ell-modal-evid16, ell-modal-evid18, ell-modal-evid18b",positive,no,(tha) prepi,
prepi,weak necessity,deontic,1,"ell-modal-evid19, ell-modal-evid20, ell-modal-evid21",positive,no,prepi,
prepi,weak,deontic,0,"ell-modal-evid22b, ",positive,no,prepi,
prepi,strong,teleological,1,"ell-modal-evid31, ell-modal-evid32, ell-modal-evid33",positive,no,prepi,
prepi,weak necessity,teleological,1,"ell-modal-evid35, ell-modal-evid36, ell-modal-evid38b",positive,no,prepi,
prepi,weak,teleological,?,,positive,no,prepi,
prepi,strong,circumstantial,1,"ell-modal-evid43, ell-modal-evid44, ell-modal-evid45",positive,no,prepi,
prepi,weak,circumstantial,0,"ell-modal-evid46b, ell-modal-evid47b",positive,no,prepi,
prepi,strong,bouletic,1,"ell-modal-evid55, ell-modal-evid56, ell-modal-evid57b",positive,no,prepi,
prepi,strong,epistemic,1,"ell-modal-evid12, ell-modal-evid13",negative,high,den prepi,
prepi,weak necessity,epistemic,?,,negative,,,
prepi,weak,epistemic,1,ell-modal-evid14,negative,high,den prepi,
prepi,strong,deontic,1,"ell-modal-evid27, ell-modal-evid28b",negative,high,den prepi,
prepi,weak necessity,deontic,?,,negative,,,
prepi,weak,deontic,1,"ell-modal-evid29, ell-modal-evid30b",negative,high,den prepi,
prepi,strong,teleological,1,ell-modal-evid40,negative,,,
prepi,weak necessity,teleological,?,,negative,,,
prepi,weak,teleological,1,"ell-modal-evid41b, ell-modal-evid42",negative,,,
prepi,strong,circumstantial,0,ell-modal-evid51b,negative,,,
prepi,weak,circumstantial,0,ell-modal-evid54b,negative,,,
prepi,strong,bouletic,?,,negative,,,
tha,strong,epistemic,1,"ell-modal-evid3c, ell-modal-evid4c",positive,no,tha,
tha,weak necessity,epistemic,?,,positive,no,tha,
tha,weak,epistemic,?,,positive,no,tha,
tha,strong,deontic,?,,positive,no,tha,
tha,weak necessity,deontic,?,,positive,no,tha,
tha,weak,deontic,?,,positive,no,tha,
tha,strong,teleological,?,,positive,no,tha,
tha,weak necessity,teleological,?,,positive,no,tha,
tha,weak,teleological,?,,positive,no,tha,
tha,strong,circumstantial,1,ell-modal-evid45b,positive,no,tha,
tha,weak,circumstantial,?,,positive,no,tha,
tha,strong,bouletic,?,,positive,no,tha,
mpori,strong,epistemic,?,,positive,no,mpori,
mpori,weak necessity,epistemic,1,"ell-modal-evid5, ell-modal-evid6, ell-modal-evid7b",positive,no,mpori,
mpori,weak,epistemic,1,"ell-modal-evid8, ell-modal-evid9, ell-modal-evid10, ell-modal-evid11",positive,no,mpori,
mpori,strong,deontic,0,ell-modal-evid16b,positive,no,mpori,
mpori,weak necessity,deontic,0,"ell-modal-evid19b, ell-modal-evid20b",positive,no,mpori,
mpori,weak,deontic,1,"ell-modal-evid22, ell-modal-evid23, ell-modal-evid24, ell-modal-evid24b, ell-modal-evid25",positive,no,mpori,
mpori,strong,teleological,1,"ell-modal-evid31b, ell-modal-evid33b",positive,no,mpori,
mpori,weak necessity,teleological,1,"ell-modal-evid34, ell-modal-evid36b",positive,no,(tha) mpori,
mpori,weak,teleological,1,"ell-modal-evid37, ell-modal-evid38, ell-modal-evid39",positive,no,mpori,
mpori,strong,circumstantial,0,"ell-modal-evid43b, ell-modal-evid45c",positive,no,mpori,
mpori,weak,circumstantial,1,"ell-modal-evid46, ell-modal-evid47, ell-modal-evid48, ell-modal-evid49, ell-modal-evid50",positive,no,mpori,
mpori,strong,bouletic,1,"ell-modal-evid55c, ",positive,no,mpori,
mpori,strong,epistemic,1,"ell-modal-evid12c, ell-modal-evid13b, ell-modal-evid13c",negative,low/high,mpori...min/den mpori,
mpori,weak necessity,epistemic,?,,negative,,,
mpori,weak,epistemic,1,"ell-modal-evid14b, ell-modal-evid15",negative,high,den mpori,
mpori,strong,deontic,?,,negative,,,
mpori,weak necessity,deontic,?,,negative,,,
mpori,weak,deontic,1,"ell-modal-evid29b, ell-modal-evid30",negative,high,den mpori,
mpori,strong,teleological,0,ell-modal-evid40b,negative,,,
mpori,weak necessity,teleological,?,,negative,,,
mpori,weak,teleological,1,ell-modal-evid41,negative,high,,
mpori,strong,circumstantial,1,ell-modal-evid51d,negative,low,mpori ... min,
mpori,weak,circumstantial,1,"ell-modal-evid52, ell-modal-evid53, ell-modal-evid54",negative,,,
mpori,strong,bouletic,?,,negative,,,
isos,strong,epistemic,?,,positive,no,isos,
isos,weak necessity,epistemic,?,,positive,no,isos,
isos,weak,epistemic,1,"ell-modal-evid8d, ell-modal-evid9c",positive,no,isos,
isos,strong,deontic,?,,positive,no,isos,
isos,weak necessity,deontic,?,,positive,no,isos,
isos,weak,deontic,1,"ell-modal-evid22c, ell-modal-evid26",positive,no,isos,
isos,strong,teleological,?,,positive,no,isos,
isos,weak necessity,teleological,?,,positive,no,isos,
isos,weak,teleological,?,,positive,no,isos,
isos,strong,circumstantial,?,,positive,no,isos,
isos,weak,circumstantial,?,,positive,no,isos,
isos,strong,bouletic,?,,positive,no,isos,
Xriazete,strong,epistemic,?,,positive,no,Xriazete,
Xriazete,weak necessity,epistemic,?,,positive,no,Xriazete,
Xriazete,weak,epistemic,?,,positive,no,Xriazete,
Xriazete,strong,deontic,1,ell-modal-evid17,positive,no,Xriazete,
Xriazete,weak necessity,deontic,0,ell-modal-evid21c,positive,no,Xriazete,
Xriazete,weak,deontic,0,ell-modal-evid25b,positive,no,Xriazete,
Xriazete,strong,teleological,?,,positive,no,Xriazete,
Xriazete,weak necessity,teleological,?,,positive,no,Xriazete,
Xriazete,weak,teleological,?,,positive,no,Xriazete,
Xriazete,strong,circumstantial,?,,positive,no,Xriazete,
Xriazete,weak,circumstantial,?,,positive,no,Xriazete,
Xriazete,strong,bouletic,?,,positive,no,Xriazete,
Xriazete,strong,epistemic,?,,negative,,,
Xriazete,weak necessity,epistemic,?,,negative,,,
Xriazete,weak,epistemic,?,,negative,,,
Xriazete,strong,deontic,1,"ell-modal-evid27b, ell-modal-evid28",negative,high,den xriazete,
Xriazete,weak necessity,deontic,?,,negative,,,
Xriazete,weak,deontic,?,,negative,,,
Xriazete,strong,teleological,1,ell-modal-evid40c,negative,high,,
Xriazete,weak necessity,teleological,?,,negative,,,
Xriazete,weak,teleological,?,,negative,,,
Xriazete,strong,circumstantial,?,,negative,,,
Xriazete,weak,circumstantial,?,,negative,,,
Xriazete,strong,bouletic,?,,negative,,,
tha eprepe,strong,epistemic,?,,positive,no,tha eprepe,
tha eprepe,weak necessity,epistemic,?,,positive,no,tha eprepe,
tha eprepe,weak,epistemic,?,,positive,no,tha eprepe,
tha eprepe,strong,deontic,1,"ell-modal-evid19c, ell-modal-evid20c",positive,no,tha eprepe,
tha eprepe,weak necessity,deontic,?,,positive,no,tha eprepe,
tha eprepe,weak,deontic,?,,positive,no,tha eprepe,
tha eprepe,strong,teleological,?,,positive,no,tha eprepe,
tha eprepe,weak necessity,teleological,1,"ell-modal-evid34b, ell-modal-evid35c",positive,no,tha eprepe,
tha eprepe,weak,teleological,?,,positive,no,tha eprepe,
tha eprepe,strong,circumstantial,?,,positive,no,tha eprepe,
tha eprepe,weak,circumstantial,?,,positive,no,tha eprepe,
tha eprepe,strong,bouletic,?,,positive,no,tha eprepe,
aparetito,strong,epistemic,?,,negative,,,
aparetito,weak necessity,epistemic,?,,negative,,,
aparetito,weak,epistemic,?,,negative,,,
aparetito,strong,deontic,?,,negative,,,
aparetito,weak necessity,deontic,?,,negative,,,
aparetito,weak,deontic,?,,negative,,,
aparetito,strong,teleological,?,,negative,,,
aparetito,weak necessity,teleological,?,,negative,,,
aparetito,weak,teleological,?,,negative,,,
aparetito,strong,circumstantial,1,ell-modal-evid51,negative,high,den ... aparetito,translated as 'necessary'
aparetito,weak,circumstantial,?,,negative,,,
aparetito,strong,bouletic,?,,negative,,,
theli,strong,epistemic,?,,positive,no,theli,
theli,weak necessity,epistemic,?,,positive,no,theli,
theli,weak,epistemic,?,,positive,no,theli,
theli,strong,deontic,?,,positive,no,theli,
theli,weak necessity,deontic,?,,positive,no,theli,
theli,weak,deontic,?,,positive,no,theli,
theli,strong,teleological,?,,positive,no,theli,
theli,weak necessity,teleological,?,,positive,no,theli,
theli,weak,teleological,?,,positive,no,theli,
theli,strong,circumstantial,?,,positive,no,theli,
theli,weak,circumstantial,?,,positive,no,theli,
theli,strong,bouletic,1,"ell-modal-evid55b, ell-modal-evid56b, ell-modal-evid57",positive,no,theli,
