expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes
-napo-,strong,epistemic,1,kor-modal-evid1,positive,no,V + napo-ta,
-napo-,weak necessity,epistemic,1,"kor-modal-evid4b, kor-modal-evid6c",positive,no,V + napo-ta,
-napo-,weak,epistemic,?,,positive,no,V + napo-ta,
-napo-,strong,deontic,?,,positive,no,V + napo-ta,
-napo-,weak necessity,deontic,?,,positive,no,V + napo-ta,
-napo-,weak,deontic,?,,positive,no,V + napo-ta,
-napo-,strong,teleological,?,,positive,no,V + napo-ta,
-napo-,weak necessity,teleological,?,,positive,no,V + napo-ta,
-napo-,weak,teleological,?,,positive,no,V + napo-ta,
-napo-,strong,circumstantial,?,,positive,no,V + napo-ta,
-napo-,weak,circumstantial,?,,positive,no,V + napo-ta,
-napo-,strong,bouletic,?,,positive,no,V + napo-ta,
-keyss-,strong,epistemic,1,"kor-modal-evid1b, kor-modal-evid2, kor-modal-evid3",positive,no,V + keyss-ta,likely to be an evidential
-keyss-,weak necessity,epistemic,1,kor-modal-evid6d,positive,no,V + keyss-ta,
-keyss-,weak,epistemic,?,,positive,no,V + keyss-ta,
-keyss-,strong,deontic,?,,positive,no,V + keyss-ta,
-keyss-,weak necessity,deontic,1,"kor-modal-evid13b, kor-modal-evid15b",positive,no,V + keyss-ta,
-keyss-,weak,deontic,?,,positive,no,V + keyss-ta,
-keyss-,strong,teleological,?,,positive,no,V + keyss-ta,
-keyss-,weak necessity,teleological,1,kor-modal-evid30,positive,no,V + keyss-ta,
-keyss-,weak,teleological,?,,positive,no,V + keyss-ta,
-keyss-,strong,circumstantial,1,kor-modal-evid39,positive,no,V + keyss-ta,
-keyss-,weak,circumstantial,?,,positive,no,V + keyss-ta,
-keyss-,strong,bouletic,?,,positive,no,V + keyss-ta,
-ya + ha-,strong,epistemic,?,,positive,no,V-ya ha-...-ta,
-ya + ha-,weak necessity,epistemic,?,,positive,no,V-ya ha-...-ta,
-ya + ha-,weak,epistemic,?,,positive,no,V-ya ha-...-ta,
-ya + ha-,strong,deontic,1,kor-modal-evid12,positive,no,V-ya ha-...-ta,
-ya + ha-,weak necessity,deontic,1,kor-modal-evid14,positive,no,V-ya ha-...-ta,
-ya + ha-,weak,deontic,?,,positive,no,V-ya ha-...-ta,
-ya + ha-,strong,teleological,1,"kor-modal-evid25, kor-modal-evid25b, kor-modal-evid26, kor-modal-evid27",positive,no,V-ya ha-...-ta,
-ya + ha-,weak necessity,teleological,?,,positive,no,V-ya ha-...-ta,
-ya + ha-,weak,teleological,?,,positive,no,V-ya ha-...-ta,
-ya + ha-,strong,circumstantial,1,kor-modal-evid37,positive,no,V-ya ha-...-ta,
-ya + ha-,weak,circumstantial,?,,positive,no,V-ya ha-...-ta,
-ya + ha-,strong,bouletic,?,,positive,no,V-ya ha-...-ta,
-ya + toy-,strong,epistemic,?,,positive,no,V-ya toy-...-ta,
-ya + toy-,weak necessity,epistemic,?,,positive,no,V-ya toy-...-ta,
-ya + toy-,weak,epistemic,?,,positive,no,V-ya toy-...-ta,
-ya + toy-,strong,deontic,1,kor-modal-evid12b,positive,no,V-ya toy-...-ta,
-ya + toy-,weak necessity,deontic,?,,positive,no,V-ya toy-...-ta,
-ya + toy-,weak,deontic,?,,positive,no,V-ya toy-...-ta,
-ya + toy-,strong,teleological,?,,positive,no,V-ya toy-...-ta,
-ya + toy-,weak necessity,teleological,?,,positive,no,V-ya toy-...-ta,
-ya + toy-,weak,teleological,?,,positive,no,V-ya toy-...-ta,
-ya + toy-,strong,circumstantial,?,,positive,no,V-ya toy-...-ta,
-ya + toy-,weak,circumstantial,?,,positive,no,V-ya toy-...-ta,
-ya + toy-,strong,bouletic,?,,positive,no,V-ya toy-...-ta,
-ko + siph-,strong,epistemic,?,,positive,no,V-ko siph-ta,
-ko + siph-,weak necessity,epistemic,?,,positive,no,V-ko siph-ta,
-ko + siph-,weak,epistemic,?,,positive,no,V-ko siph-ta,
-ko + siph-,strong,deontic,?,,positive,no,V-ko siph-ta,
-ko + siph-,weak necessity,deontic,?,,positive,no,V-ko siph-ta,
-ko + siph-,weak,deontic,?,,positive,no,V-ko siph-ta,
-ko + siph-,strong,teleological,?,,positive,no,V-ko siph-ta,
-ko + siph-,weak necessity,teleological,?,,positive,no,V-ko siph-ta,
-ko + siph-,weak,teleological,?,,positive,no,V-ko siph-ta,
-ko + siph-,strong,circumstantial,?,,positive,no,V-ko siph-ta,
-ko + siph-,weak,circumstantial,?,,positive,no,V-ko siph-ta,
-ko + siph-,strong,bouletic,1,"kor-modal-evid48, kor-modal-evid49, kor-modal-evid50",positive,no,V-ko siph-ta,
ke-,strong,epistemic,0,kor-modal-evid3b,positive,no,V + ke-ta,
ke-,weak necessity,epistemic,1,"kor-modal-evid4, kor-modal-evid5",positive,no,V + ke-ta,
ke-,weak,epistemic,?,,positive,no,V + ke-ta,
ke-,strong,deontic,?,,positive,no,V + ke-ta,
ke-,weak necessity,deontic,?,,positive,no,V + ke-ta,
ke-,weak,deontic,?,,positive,no,V + ke-ta,
ke-,strong,teleological,?,,positive,no,V + ke-ta,
ke-,weak necessity,teleological,?,,positive,no,V + ke-ta,
ke-,weak,teleological,?,,positive,no,V + ke-ta,
ke-,strong,circumstantial,?,,positive,no,V + ke-ta,
ke-,weak,circumstantial,?,,positive,no,V + ke-ta,
ke-,strong,bouletic,?,,positive,no,V + ke-ta,
they-,strong,epistemic,?,,positive,no,V + they-n-tey,
they-,weak necessity,epistemic,1,"kor-modal-evid6, kor-modal-evid6b",positive,no,V + they-n-tey,
they-,weak,epistemic,?,,positive,no,V + they-n-tey,
they-,strong,deontic,?,,positive,no,V + they-n-tey,
they-,weak necessity,deontic,?,,positive,no,V + they-n-tey,
they-,weak,deontic,?,,positive,no,V + they-n-tey,
they-,strong,teleological,?,,positive,no,V + they-n-tey,
they-,weak necessity,teleological,?,,positive,no,V + they-n-tey,
they-,weak,teleological,?,,positive,no,V + they-n-tey,
they-,strong,circumstantial,?,,positive,no,V + they-n-tey,
they-,weak,circumstantial,?,,positive,no,V + they-n-tey,
they-,strong,bouletic,?,,positive,no,V + they-n-tey,
-ya + keyss-,strong,epistemic,?,,positive,no,V-ya + keyss-ta,
-ya + keyss-,weak necessity,epistemic,?,,positive,no,V-ya + keyss-ta,
-ya + keyss-,weak,epistemic,?,,positive,no,V-ya + keyss-ta,
-ya + keyss-,strong,deontic,?,,positive,no,V-ya + keyss-ta,
-ya + keyss-,weak necessity,deontic,1,"kor-modal-evid13, kor-modal-evid14b, kor-modal-evid15",positive,no,V-ya + keyss-ta,
-ya + keyss-,weak,deontic,?,,positive,no,V-ya + keyss-ta,
-ya + keyss-,strong,teleological,?,,positive,no,V-ya + keyss-ta,
