ref,context,words,gloss,translation,comment
hun-modal-1,epi-nec-1,"Úgy 	gondolom,	 hogy 	Ben 	most 	úszik.",so         think.npst.1sg          that         Ben         now         swim.npst.3sg,Ben must be swimming (right now). ,reported to be too weak by the reviewer
hun-modal-1b,epi-nec-1,Ben 	most 	biztos(an) 	úszik.,Ben 	now 	surely 		swim.npst.3sg,Ben is surely swimming now.',Alternative provided by the reviewer
hun-modal-2,epi-nec-2,Jánosnak 	iskolában 	kell 	lenni-e/lenni.,Janos.dat 	school.in 	MOD 	be.inf-3sg/be.inf,John must be at school.,
hun-modal-2b,epi-nec-2,"Úgy	gondolom, 	János 	iskolában 	van.","so         think.npst.1sg,         jános         school.in         be.3sg",John must be at school.,reported to be too weak by the reviewer
hun-modal-2c,epi-nec-2,János	most	biztos(an) (az) 	iskolában 	van.,János 	now 	surely 	    the 	school.in 	be.npst.3sg,John must be at school.,Alternative provided by the reviewer
hun-modal-3,epi-nec-3,A 	C-ben 	kell 	lennie.,The	c-in 	MOD 	be.inf.3sg,it must be in C.,
hun-modal-4,epi-nec-4,A 	kutya 	nem 	lehet 	a 	házban.,The 	dog 	NEG 	MOD 	the 	house.in,the dog must not be in the house.,
hun-modal-4b,epi-nec-4,"A 	kutya 	biztos, 	hogy 	nincs 		a házban.",the 	dog 	surely 	that 	neg.be.npst.3sg the house.in,the dog must not be in the house.,volunteered and preferred by the reviewer
hun-modal-5,epi-wn-1,Anna 	most 	valószínűleg 	a 	tónál 	van. ,Anna 	now 	MOD	 	the 	lake.by 	be.3sg,Ann is probably at the lake right now. ,Valószínűleg means “probably” 
hun-modal-5b,epi-wn-1,Valószínűleg 	Anna 	most 	a 	tónál 	van. ,MOD	 	Anna 	now 	the 	lake.by 	be.3sg,Ann should be at the lake right now. ,
hun-modal-5c,epi-wn-1,"Arra 		tippelek, 	hogy 	Ann 	a 	tónál 	van.",that.onto 	guess.1sg 	that 	Ann 	the 	lake.at 	be.npst.3sg,Ann should be at the lake right now. ,suggested by the reviewer
hun-modal-6,epi-wn-2,Most 	valószínűleg 	esik 		Goá-ban.,Now 	MOD	 	rain.3sg	 	Goa-in,it should be raining now in Goa.,
hun-modal-7,epi-wn-3,Mari 	valószínűleg 	otthon 	van.,Mary 	MOD	 	home 	be.3sg,Mary should be at home. ,
hun-modal-8,epi-pos-1,"A 	tanár 	lehet, 	(hogy) 	jön 	    ma 	   iskolába (de lehet, hogy nem). ","The 	teacher 	MOD, 	(that) 	come.3sg  today   school-to",The teacher might be coming to school today.,Consultant: hogy makes lehet explicitly epistemic 
hun-modal-8b,epi-pos-1,#A tanár jöhet ma iskolába.,#The teacher come today school-to,“The teacher is allowed to come” ,The consultant feels this sentence has the strong sense of deontic flavor
hun-modal-8c,epi-pos-1,# Úgy gondolom ,# so         think.npst.1sg,,
hun-modal-9,epi-pos-2,"Grace 	nyaklánca 	lehet, 	hogy 	elveszett.","Grace 	necklace 	MOD, 	that 	prt.lose.past.3sg",Grace’s necklace might be lost.,
hun-modal-9b,epi-pos-2,Grace 	nyaklánca 	elvesz-het-ett.,Grace 	necklace 	prt.lose-MOD-past.3sg,Grace’s necklace might be lost.,-het- is a possibility modal affix
hun-modal-10,epi-pos-3,"A 	macska 	lehet, 	hogy 	bent 	van, 	lehet, 	hogy 	kint 	van.",The 	cat 	MOD 	that 	inside 	be.3sg 	MOD 	that 	outside 	be.3sg,The cat may be inside. The cat may also be outside.,
hun-modal-10b,epi-pos-3,"Az 	is 	lehet, 	hogy 	kint 	van",that 	too 	MOD 	that 	outside be.npst.3sg,The cat may also be outside.,Reviewer’s suggestion for the second sentence
hun-modal-11,epi-pos-4,Daniel 	New 	Yorkba 	  me-het.,Daniel 	New 	York.to 	  go-MOD,Daniel might go to New York.,
