ref,context,words,gloss,translation,comment
ell-modal-1,epi-nec-1,O 	Ben 	prepi na    kolympái.,det 	Ben 	MOD  subj  swim,Ben must be swimming (right now).,
ell-modal-1b,epi-nec-1,Ο       Βen    tha       prepi    na 	kolympai.,det    Ben    MOD   MOD    subj 	swim ,Ben must be swimming (right now).,
ell-modal-2,epi-nec-2,O 	John 	prepi 	na 	einai 	sto 	sholeio.,det	John 	MOD	subj  	be 	prep	school.,John must be at school,Correspondent comments that it is hard to see a semantic difference between the two 
ell-modal-2b,epi-nec-2,O 	John   tha     prepi 	na	einai 	sto 	sholeio.,det 	John   MOD   MOD	subj  	be 	prep 	school.,John must be at school,"Less likely to use tha in this context, because we’re more sure than context 1. (possibility marker, tha)"
ell-modal-3,epi-nec-3,Prepi         na         einai         sto         C.,MOD         subj         be         prep         C,it must be in C.,
ell-modal-3b,epi-nec-3,Tha prepi         na         einai         sto         C.,MOD MOD         subj         be         prep         C,it must be in C.,"Doesn’t sound strange to use tha, but is less preferable to just the modal particle"
ell-modal-3c,epi-nec-3,Tha     na         einai         sto         C.,MOD         subj         be         prep         C,it must be in C.,"You can use just the future particle tha without prepi, as an epistemic modal"
ell-modal-4,epi-nec-4,O         skilos         den         prepi         na         einai         sto         spiti.,det         dog         neg         MOD         subj         be         prep        house ,the dog must not be in the house.,
ell-modal-4b,epi-nec-4,# O         skilos         den     tha    prepi         na         einai         sto         spiti.,det         dog         neg      MOD   MOD         subj         be         prep        house ,the dog must not be in the house.,"Strange to use tha here - from the context: the dog is not in the house, not the possibility that dog is in the house."
ell-modal-4c,epi-nec-4,O         skilos         den         tha         na         einai         sto         spiti.,det         dog         neg         MOD         subj         be         prep        house ,the dog must not be in the house.,"you can use plain tha as a modal, it's probably the best option."
ell-modal-5,epi-wn-1,I 	Ann 	mpori  na 	einai 	sti 	limni 	tora.,det	Ann	MOD	 subj	be	prep	lake	now ,Ann should be at the lake right now. ,"Mporei -> possible she’s at the lake, but also that she’s at the mountain "
