ref,context,words,gloss,translation,comment
tgl-modal-1,epi-nec-1,Malamang         lumalangoy (V) si         Ben (NP)         ngayon (Adv).,MOD 		swim 		DET 	Ben 		now. ,Ben must be swimming (right now).,
tgl-modal-2,epi-nec-2,Malamang  nasa  eskwelahan  na  si  John.,MOD 		at 	at.school	already 	DET	John. ,John must be at school.,
tgl-modal-3,epi-nec-3,Malamang 	nasa 	ikatlong 	kahon 	ito.,MOD 		at 	third 		box 	this,it (the ball) must be in third box.,
tgl-modal-3b,epi-nec-3,Sigurado         na       nasa         ikatlong         kahon         ito.,MOD 		COMP	at 	third 		box 	this,it (the ball) must be in third box.,"Sigurado requires that the prejacent is a 100% objective certainty, it is infelicitous if it is merely a subjective certainty "
tgl-modal-3c,epi-nec-3,$ Sigurado      ng        nasa         ikatlong         kahon         ito.,MOD 		COMP	at 	third 		box 	this,it (the ball) must be in third box.,preferred
tgl-modal-4,epi-nec-4,Malamang 	wala 	  ang 	aso 	sa[.loob]	 ng 	bahay.,MOD 		neg.exis DET 	dog 	inside 		of 	the.house,the dog must not be in the house.,
tgl-modal-5,epi-wn-1,Malamang 	nasa 	lawa 	na 	si 	Ann 	ngayon.,MOD 		at 	lake 	already DET 	Ann 	now. ,Ann should be at the lake right now. ,
tgl-modal-6,epi-wn-2,Malamang 	umuulan 	sa 	Goa 	ngayon.,MOD 		rain.CONT 	at 	Goa 	now. ,it should be raining now in Goa.,
tgl-modal-7,epi-wn-3,MOD 		at 	home 	DET 	Mary 	now. ,Malamang         nasa         bahay         si         Mary         ngayon. ,Mary should be at home. ,
tgl-modal-8,epi-pos-1,Siguro 	papasok 	siya 	sa 	eskwelahan 	ngayong.araw.,MOD 	come 		3sg 	DET 	at.school 	today,He might be coming to school today.,"Reviewer: My sense is that ""siguro"" is biased toward the truth of the prejacent, rather than just conveying possibility. "
tgl-modal-8b,epi-pos-1,Papasok 	siguro 	siya 	sa 	eskwelahan 	ngayong.araw.,come 		MOD 	3sg 	DET 	at.school 	today,He might be coming to school today.,
tgl-modal-8c,epi-pos-1,Baka 	papasok 	siya 	sa 	eskwelahan 	ngayon.araw,MOD        come                3sg        DET        at.school        today,He might be coming to school today.,Alterntaive provided by the reviewer
tgl-modal-9,epi-pos-2,Siguro         nawala         ang         kwintas         ni         Grace.,MOD                  lost                 DET         necklace         DET         Grace ,Grace’s necklace might be lost.,
tgl-modal-9b,epi-pos-2,$Baka         nawala         ang         kwintas         ni         Grace.,MOD                  lost                 DET         necklace         DET         Grace ,Grace’s necklace might be lost.,preferred
tgl-modal-9c,epi-pos-2,Nawala 	siguro 	ang 	kwintas 	ni 	Grace.,Lost 		MOD 	DET 	necklace 	DET 	Grace,Grace’s necklace might be lost.,
tgl-modal-10,epi-pos-3,Siguro 	nasa.loob 	ang 	pusa 	o 	pwede 		ring 	nasa.labas.,MOD         inside                 DET         cat         or         [possibly?]         also         outside. ,The cat may be inside. The cat may also be outside.,"Pwede requires the presence of alternatives (which could be contextually explicit but linguistically implicit). In the presence of such alternatives, pwede becomes more felicitous than siguro. "
tgl-modal-10b,epi-pos-3,Pwedeng nasa loob ang pusa o pwede ring nasa labas.,MOD inside ? DET cat or [possibly?] also outside,The cat may be inside. The cat may also be outside.,Alterntaive provided by the reviewer
tgl-modal-10c,epi-pos-3,"Baka nasa loob ang pusa, o baka nasa labas.",MOD inside ? DET cat or MOD outside ?,The cat may be inside. The cat may also be outside.,Alterntaive provided by the reviewer
tgl-modal-10d,epi-pos-3,"Maaaring nasa loob ang pusa, at maaaari ring nasa labas.",MOD inside ? DET cat and MOD also outside ? DET cat,The cat may be inside. The cat may also be outside.,Alterntaive provided by the reviewer
tgl-modal-11,epi-pos-4,Siguro	pu-punta 	sa 	New 	York 	si 	Daniel.,MOD 	CONT-go 	to	New 	York 	DET 	Daniel,Daniel might go to New York.,
tgl-modal-12,epi-nnec-1,Siguro       wala                 sa         bahay         si         Mary.,MOD 		neg.exis 	at	home 	DET 	Mary. ,Mary may not be at home.,
tgl-modal-12b,epi-nnec-1,$Baka         wala                 sa         bahay         si         Mary.,MOD 		neg.exis 	at	home 	DET 	Mary. ,Mary may not be at home.,preferred
tgl-modal-13,epi-imp-1,Sigurado         na         wala          sa         bahay         si         Ben.,MOD	 	COMP 	neg.exis at 	home 	DET 	Ben,Ben can’t be at home. ,
tgl-modal-13b,epi-imp-1,$ Sigurado        ng         wala          sa         bahay         si         Ben.,MOD	 	COMP 	neg.exis at 	home 	DET 	Ben,Ben can’t be at home. ,preferred
tgl-modal-13c,epi-imp-1,Malamang wala sa bahay si Ben. ,MOD neg.exis at home DET Ben,Ben can’t be at home. ,equally acceptable alternative provided by the reviewer
tgl-modal-14,epi-imp-2,Sigurado-ng 	wala 	   ang 	bola 	sa 	ikatlong 	kahon.,MOD-COMP 	Neg.exis  DET 	ball 	in 	third 		box.  ,The ball cannot be in 3. ,
tgl-modal-15,deo-nec-1,Dapat         mag-suot                 ka         ng         helmet.,MOD 	AG.VOICE-wear 	2sg 	DET 	helmet. ,You must wear a helmet.,"Reviewer:  ""dapat"" may be more appropriately classified as conveying deontic weak necessity."
tgl-modal-15b,deo-nec-1,Dapat ka=ng mag-suot ng helmet,MOD  2sg=DET AG.VOICE-wear DET helmet,You must wear a helmet.,
tgl-modal-15c,deo-nec-1,Kailangan mo=ng mag-suot ng helmet,MOD  2sg=DET AG.VOICE-wear DET helmet,You must wear a helmet.,"""kailangan"" feels stronger than ""dapat"""
tgl-modal-15d,deo-nec-1,Kailangan(g) mag-suot ka ng helmet,MOD AG.VOICE-wear you DET helmet,You must wear a helmet.,"Here, the linker/complementizer might be optional. Note that the velar nasal linker =ng replaces the word final /n/ of the preceding word. Orthographically, the effect is just adding a ""g"" to the end of the wor"
tgl-modal-16,deo-nec-2,Dapat         um-alis                 ang         mga         bisita         kapag         alas.sais         na.,MOD 	AG.V-leave 	DET 	PL 	visitor 	when 	6.o.clock 	already,Visitors must leave by 6pm.,
tgl-modal-17,deo-wn-1,Kailangan 	ko-ng 	mag-suot 	   ng 	pormal 	na 	kasuotan 	sa 	party.,MOD 		I-LINK AG.VOICE-wear DET 	formal 	COMP 	clothes 		to 	party ,I ought to wear formal clothes to the party.,
tgl-modal-17b,deo-wn-1,$Dapat ako=ng mag-suot ng pormal na kasuotan sa party.,MOD  2sg=DET AG.VOICE-wear DET 	formal 	COMP 	clothes 		to 	party ,I ought to wear formal clothes to the party.,preferred
tgl-modal-17c,deo-wn-1,$Dapat mag-suot ako ng pormal na kasuotan sa party. ,MOD  AG.VOICE-wear 2sg DET         formal         COMP         clothes                 to         party ,I ought to wear formal clothes to the party.,preferred
tgl-modal-18,deo-wn-2,Kailangan 	din 	ng	 mga 	customer 	na 	mag-hugas 	ng 	kamay.,MOD 		also 	DET 	PL 	customer 	COMP 	AG.V-wash 	DET 	hands,Customers ought to wash their hands too!,
tgl-modal-18b,deo-wn-2,$Dapat,MOD,,"preferred; Dapat expresses requirement by law, rules"
tgl-modal-19,deo-wn-3,# Kailangan 	ko-ng 	mag-face.mask.,MOD 		I-link 	AG.V-wear.a.mask,I ought to wear a mask.,"Kailangan expresses relational requirements between the agent and someone else or the society.
Judged to be infelicitous by the reviewer"
tgl-modal-19b,deo-wn-3,$$$Dapat,MOD,,strongly preferred
tgl-modal-20,deo-pos-1,Pwede-ng 	s-um-akay 	si 	Martin 	sa 	ferris wheel.,MOD-LINK         ride-AG.V-ride         DET         Martin         DET         ferris wheel,Martin may ride the ferris wheel.,
tgl-modal-20b,deo-pos-1,Maaari,MOD,,equally acceptable alternative provided by the reviewer
tgl-modal-20c,deo-pos-2,Pwede 	ka-ng 		p-um-asok.,MOD 	you-LINK 	enter-AG.V-enter. ,You may enter.,
tgl-modal-20d,deo-pos-2,Maaari,MOD,,equally acceptable alternative provided by the reviewer
tgl-modal-21,deo-pos-3,Pwede 	ka-ng 		mag-overnight 	o 	um-uwi 	na.lang.,MOD 	you-LINK 	AG.V-stay.over or 	AG.V-go.home 	instead,You can stay overnight or go home.,
tgl-modal-21b,deo-pos-3,Maaari,MOD,,equally acceptable alternative provided by the reviewer
tgl-modal-21c,deo-pos-3,Pwede ka=ng mag-overnight. Pwede ka rin=g umuwi na lang.,,You can stay overnight. You can also go home.,
tgl-modal-22,deo-pos-4,Pwede 	na-ng 		buhat-in 	ni 	Alice 	ang 	baby 	niya.,MOD 	already-LINK 	lift-PAT.V 	DET 	Alice 	DET 	baby 	3sg.poss,Alice can lift her baby.,
tgl-modal-23,deo-pos-5,Pwede-ng 	lumangoy 	si 	Beth.,MOD-LINK 	swim 		DET 	Beth. ,Beth can go swimming.,
tgl-modal-24,deo-nnec-1,Hindi 	ko 	kailangan-(n)g 	mag-formal.,NEG 	I 	MOD-LINK 	AG.V-wear.formal.clothes ,I don’t have to / needn’t wear formal clothes.,
tgl-modal-25,deo-nnec-2,Hindi 	ko 	kailangan-(n)g 	mag-face.mask.,NEG 	I 	MOD-LINK 	AG.V-wear.mask,I don’t have to wear a face covering.,
tgl-modal-26,deo-imp-1,Hindi	 ka 	dapat 	mag-motorbike 		na 	wala-ng 		helmet.,NEG         you         MOD         AG.V-ride.motorbike         COMP         neg.exist-LINK         helmet,You mustn’t ride a motorbike without a helmet. ,
tgl-modal-27,deo-imp-2,Hindi 	dapat 	manatili 	ang 	mga 	bisita 	pagkatapos 	ng 	alas.sais.,NEG 	MOD 	stay 		DET 	PL 	visitor 	after 		DET 	six.pm,Visitors must not stay after 6pm,
tgl-modal-28,tel-nec-1,Kailangan 	dito 	ka 	d-um-aan.,MOD 		here 	you 	AG.V-road,you have to take this road.,
tgl-modal-29,tel-nec-2,Kailangan 	ma-talo 			ng 	UP 	ang 	Ateneo.,MOD                 VERBALIZER.ABILITY-lost    DET         U.P.        DET         Ateneo,Team A has to beat Team B.,The complex ma-talo means to beat
tgl-modal-30,tel-nec-3,Kailangan	natin-(n)g 	mag-order 	sa 	restawran 	na 	iyon.,MOD 		our-LINK 	AG.V-order 	DET 	restaurant 	COMP 	that.,We have to order from that restaurant.,
tgl-modal-31,tel-wn-1,Kailangan         mo-ng                 mag-bus.,MOD 			you-LINK 	AG.V-bus. ,you should take the bus.,
