ref,context,words,gloss,translation,comment
tel-modal-1,epi-nec-1,Ben tappakuNdaa ippudu iidutunnaadu (prastutaM/ippudu),Ben MOD 	      now      swim-CONTD.3rd.PER-SG.M,Ben MUST be swimming (right now). ,
tel-modal-1b,epi-nec-1,Ben ippudu 	iidu-tunD-aali,Ben now 	swim-CONT-MOD,Ben MUST be swimming (right now). ,
tel-modal-2,epi-nec-2,John 	tappakuNdaa  		school 	daggara unnaadu.,John 	MOD		 	School	P	 be-PST-3rd.PERS.SG.M,John MUST be at school.,
tel-modal-2b,epi-nec-2,John school-daggara         unD-aali,John school-in 		be-MOD,John MUST be at school.,
tel-modal-3,epi-nec-3,idi 	tappakundaa 	si-lo 		undi.,It  	MOD               	C-in		be,it MUST be in C.,
tel-modal-3b,epi-nec-3,idi 	si 	lo 		unD-aali.,It           C 	in		be-MOD,it MUST be in C.,
tel-modal-4,epi-nec-4,kukka 	tappakundaa    int-lo 			ledu.,Dog     	MOD              	house-in		NEG-AGR,the dog MUST not be in the house.,
tel-modal-5,epi-wn-1,Ann 	prastutam 	lake 	daggara 	unD-aali,Ann 	right.now 	lake 	at.ADP  	be-MOD,Ann SHOULD be at the lake right now.,
tel-modal-6,epi-wn-2,Ippudu	 goa-lo 	varsham 	padu-tund-aali ,Now 	Goa-in	rain 		fall-CONT-MOD,it SHOULD be raining now in Goa.,
tel-modal-7,epi-wn-3,Mary int-lo unD-aali ,Mary home-in be-MOD,Mary SHOULD be at home.,
tel-modal-8,epi-pos-1,aayana iiroju school-ki 		vast-un-doccu ,he 	today school-DAT 	come-be-MOD ,He MIGHT be coming to school today.,
tel-modal-9,epi-pos-2,Grace-yokka 	necklace 	tappi 	poo-yund-occu,Grace-GEN 	necklace	missing go-be-MOD,Grace’s necklace MIGHT be lost.,
tel-modal-10,epi-pos-3,pilli lopala 	und-occu	gaanii 	bayata 	gaanii 	und-occu ,Cat Inside/P 	be-MOD	CONJ	Outside	CONJ	be-MOD,The cat might be inside or outside [we don’t know],
tel-modal-11,epi-pos-4,Daniel  Newyork-ki         po-vaccu,Daniel	N.York-DAT 	Go-MOD,Daniel MIGHT go to New York.,Here vaccu seems to indicate the epistemic possibility. Literally: vaccu ‘to come’/’to know’
tel-modal-12,epi-nnec-1,Mary	 int-i (illu ‘house’)-lo 	und-aka-po.u vaccu (undu+aka+po+vaccu),Mary	 House-OBLIQUE-in	Be-NOT-Light.verb-MOD,Mary MAY NOT be at home.,illu ‘house’: oblique form of illu is inti
tel-modal-13,epi-imp-1,Ben int-lo undadu,Ben house-in be.Neg.3ms ,Ben CAN’T be at home. ,
tel-modal-14,epi-imp-2,C-lo ball undadu ,C-in ball be.Neg.3MS,it MUST NOT / CAN’T be in C. ,
tel-modal-15,deo-nec-1,neevu/meeru helmet 	pettu-ko-vaali.,You                helmet  	wear-reflexive-MOD,You wear helmet,
tel-modal-15b,deo-nec-1,neevu/meeru 	helmet 	pettu-ko-vaali.,You               	helmet  	wear-reflexive-MOD,You MUST wear a helmet.,
tel-modal-16,deo-nec-2,Visitors 	6 pm 	lope	 {kala/raa/vellipo}-vaali,Visitors 	6 pm before 	meet/come/leave-MOD,Visitors MUST leave by 6pm.,
tel-modal-17,deo-wn-1,nenu 	party-ki  formal clothes vesu-ko-vaali.,I         party-DAT formal clothes wear-Refl-MOD,I OUGHT TO wear formal clothes to the party.,
tel-modal-17b,deo-wn-1,nenu 	party ki  formal clothes 	vesu-ko-vaali.,I 	party DAT formal clothes wear-Refl-MOD,I OUGHT TO wear formal clothes to the party.,
tel-modal-18,deo-wn-2,Non-employees 	kuudaa 		vaari 	cetulu 		kadu-kko-vaa.li,Non-Employees	also/too-PSP		their	hands		wash-refl-MOD	,Non-employees OUGHT TO wash their hands too!,
