ref,words,gloss,translation,comment
akan-modal-1,ɛsɛsɛ         Ben        dware,MOD 	Ben	swim,Ben must be swimming,"The morphological analysis of ɛsɛsɛ according to Owusu (2014):
Ɛ-sɛ-sɛ: expletive-fit-Comp"
akan-modal-1b,Ɛwɔsɛ Ben dware,MOD Ben swim,Ben must be swimming,
akan-modal-2,Ɛwɔsɛ John wɔ sukuu,MOD John be school,John must be at school,
akan-modal-2b,Ɛsɛsɛ	John 	wɔ 	sukuu,MOD John be school,John must be at school,
akan-modal-2c,ɛ-ho-hia John wɔ sukuu,MOD John be school,,
akan-modal-3,Ɛsɛsɛ	ɛwɔ 	C,MOD be C,It must be in C,
akan-modal-3b,A-gye-sɛ ɛwɔ C,MOD be C,It must be in C,"morphological analysis of ""a-gye-sɛ"":Perf-take/receive-COMP"
akan-modal-5,Ɛsɛsɛ	Ann 	wɔ 	lake 	no 	ho 	sesei 	ara,MOD 	Ann 	be 	lake 	DET 	beside 	right 	now,Ann should be at the lake right now,
akan-modal-5b,ɛwɔsɛ 	Ann 	wɔ 	lake 	no 	ho 	sesei 	ara,MOD	Ann	be	lake	DET	beside	right	now,Ann should be at the lake right now,
akan-modal-6,sɛ 			ɛsɛsɛ 	nsuo 	no 	tɔ 	sesei	ara 	wɔ Goa,EXPLETIVE.PRO 	MOD 	water 	DET 	fall 	right 	now 	in   Goa,It should be raining right now in Goa,
akan-modal-6b,sɛ 			ɛwɔsɛ 	nsuo 	no 	tɔ 	sesei 	ara 	wɔ 	Goa,EXPLETIVE.PRO	MOD	water	DET	fall	right	now	in	Goa,It should be raining right now in Goa,
akan-modal-9,Ebia                 Grace        necklace         no         ayera,MOD		Grace 	necklace 	DET	lost ,Grace's necklace might be lost,"""Ebia"" is an adverbial"
akan-modal-9b,Gyama                 Grace         necklace         no         ayera,MOD		Grace 	necklace 	DET	lost ,Grace's necklace might be lost,"""Gyama"" is an adverbial"
akan-modal-9c,Ebetumi Grace necklace no ayera,MOD Grace necklace DET lost,Grace's necklace might be lost,"morphological analysis of ""ebetumi"": Ebetumi = 3sg + be + tumi"
akan-modal-9d,Grace necklace no 	be-tumi 	ayera,Grace necklace DET FUT-MOD lost,Grace's necklace might be lost,
akan-modal-9e,Grace necklace no 	tumi 	yera,Grace necklace DET MOD lost,,
akan-modal-9f,"Me-hwɛ nea ɛ-re-keka kͻ yi a, ͻman yi mu tumi kyɛ","1SG-look what 3SG-PROG-say go DET, REL nation DET in MOD divide","Looking at what is going on, the nation can be divided","Owusu (2014: 66), sourcing (Adom FM 04/02/13)"
akan-modal-9g,Nnea ͻmmo yɛ yi nyinaa tumi de ntͻkwa ba. ,what 3PL do DET all MOD take fight come,What they are doing can result in a fight.,"Owusu (2014: 66), sourcing (Adom FM 04/02/13) "
akan-modal-7pa,Ebetumi 		aba 		sɛ 	Mary 	eni 	efie,MOD happen COMP Mary not home,It may be that Mary is not home,
akan-modal-7pb,Ebia Mary 	eni 	efie,MOD Mary not home,Mary may not be home,
akan-modal-1p,Enti 	Ben	n-tumi 		n-wɔ 	efie,So Ben NEG-MOD NEG-be home,Ben can't be at home,"Neg semantically scopes over ""tumi"". Comment by a native external reviewer: ""he sentence is odd because the negated form of the main verb is incorrect. And the sentence also sounds very non-native."""
akan-modal-3p,Enti         ɛ-n-sɛ-sɛ                 ɛwɔ         C,So MOD be C,It must not be C,"Morphological analysis of ""ɛ-n-sɛ-sɛ"": pro-Neg-Verb-Comp"
akan-modal-3pb,Enti 	ɛ-n-sɛ-sɛ 		ɛ-n-wɔ 	C,So MOD NEG-be C,,ungrammatical regardless of context
akan-modal-3pc,Enti	e-n-tumi 	n-wɔ C,So MOD NEG-be C,So it can't be in C,"Neg semantically scopes over ""tumi"""
akan-modal-12,ɛsɛsɛ 	wo 	hyɛ 	helmet,MOD you wear helmet,You must wear a helmet,
akan-modal-12b,ɛwɔsɛ         wo         hyɛ         helmet,MOD you wear helmet,You must wear a helmet,
akan-modal-12c,Ɛ-ho-hia wo         hyɛ         helmet,MOD you wear helmet,You must wear a helmet,
akan-modal-12d,A-gye-sɛ wo         hyɛ         helmet,MOD you wear helmet,,ungrammatical
akan-modal-13,ɛsɛsɛ 	visitor 	biara 	firi 	ɛha 	6pm,MOD         visitor         every         leave         here         6,Visitors must leave by 6pm,
akan-modal-13b,ɛwɔsɛ 	visitor 	biara	firi 	ɛha 	6pm,MOD         visitor         every         leave         here         6,Visitors must leave by 6pm,
akan-modal-16,Ɛsɛsɛ         me-hyɛ                 ataade         papa,MOD 	1SG-wear 	dress 	good,I ought to dress well,
