expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes
-malı-,strong,epistemic,1,"tur-modal-evid1, tur-modal-evid2, tur-modal-evid3b, tur-modal-evid4",positive,no,-malı-,suffix. Citation form: -mAlI 
-malı-,weak necessity,epistemic,1,"tur-modal-evid5c, tur-modal-evid6d",positive,no,-malı-,
-malı-,weak,epistemic,?,,positive,no,-malı-,
-malı-,strong,deontic,1,tur-modal-evid17c,positive,no,-malı-,
-malı-,weak necessity,deontic,1,"tur-modal-evid19, tur-modal-evid20b",positive,no,-malı-,
-malı-,weak,deontic,?,,positive,no,-malı-,
-malı-,strong,teleological,0,tur-modal-evid25c,positive,no,-malı-,
-malı-,weak necessity,teleological,1,"tur-modal-evid26b, tur-modal-evid26c",positive,no,-malı-,
-malı-,weak,teleological,?,,positive,no,-malı-,
-malı-,strong,circumstantial,1,tur-modal-evid30d,positive,no,-malı-,ok only with animate subject if the speaker takes an external perspective
-malı-,weak,circumstantial,?,,positive,no,-malı-,
-malı-,strong,bouletic,1,tur-modal-evid37c,positive,no,-malı-,
belki + malı,strong,epistemic,?,,positive,no,belki + malı,belki (adverbial: “maybe”)
belki + malı,weak necessity,epistemic,?,,positive,no,belki + malı,
belki + malı,weak,epistemic,?,,positive,no,belki + malı,
belki + malı,strong,deontic,?,,positive,no,belki + malı,
belki + malı,weak necessity,deontic,1,tur-modal-evid18,positive,no,belki + malı,
belki + malı,weak,deontic,?,,positive,no,belki + malı,
belki + malı,strong,teleological,?,,positive,no,belki + malı,
belki + malı,weak necessity,teleological,?,,positive,no,belki + malı,
belki + malı,weak,teleological,?,,positive,no,belki + malı,
belki + malı,strong,circumstantial,?,,positive,no,belki + malı,
belki + malı,weak,circumstantial,?,,positive,no,belki + malı,
belki + malı,strong,bouletic,?,,positive,no,belki + malı,
gerek,strong,epistemic,1,"tur-modal-evid1f, tur-modal-evid3e",positive,no,gerek,
gerek,weak necessity,epistemic,?,,positive,no,gerek,
gerek,weak,epistemic,?,,positive,no,gerek,
gerek,strong,deontic,1,"tur-modal-evid16, tur-modal-evid16e, tur-modal-evid17b",positive,no,gerek,
gerek,weak necessity,deontic,?,,positive,no,gerek,
gerek,weak,deontic,?,,positive,no,gerek,
gerek,strong,teleological,1,tur-modal-evid25,positive,no,gerek,
gerek,weak necessity,teleological,0,tur-modal-evid26d,positive,no,gerek,
gerek,weak,teleological,?,,positive,no,gerek,
gerek,strong,circumstantial,1,"tur-modal-evid30b, tur-modal-evid31b,",positive,no,gerek,
gerek,weak,circumstantial,?,,positive,no,gerek,
gerek,strong,bouletic,1,tur-modal-evid37b,positive,no,gerek,
şart,strong,epistemic,1,tur-modal-evid3c,positive,no,şart,
şart,weak necessity,epistemic,0,tur-modal-evid6e,positive,no,şart,
şart,weak,epistemic,?,,positive,no,şart,
şart,strong,deontic,?,,positive,no,şart,
şart,weak necessity,deontic,?,,positive,no,şart,
şart,weak,deontic,?,,positive,no,şart,
şart,strong,teleological,?,,positive,no,şart,
şart,weak necessity,teleological,?,,positive,no,şart,
şart,weak,teleological,?,,positive,no,şart,
şart,strong,circumstantial,?,,positive,no,şart,
şart,weak,circumstantial,?,,positive,no,şart,
şart,strong,bouletic,?,,positive,no,şart,
-dır,strong,epistemic,1,"tur-modal-evid2b, tur-modal-evid2c, tur-modal-evid4b",positive,no,-dır,"Adjectival suffix. Citation form: -DIr
(consultant’s comment: -dir is weaker than -mali-)"
-dır,weak necessity,epistemic,1,"tur-modal-evid5d, tur-modal-evid6, tur-modal-evid7c",positive,no,-dır,
-dır,weak,epistemic,?,,positive,no,-dır,
-dır,strong,deontic,?,,positive,no,-dır,
-dır,weak necessity,deontic,?,,positive,no,-dır,
-dır,weak,deontic,?,,positive,no,-dır,
-dır,strong,teleological,?,,positive,no,-dır,
-dır,weak necessity,teleological,?,,positive,no,-dır,
-dır,weak,teleological,?,,positive,no,-dır,
-dır,strong,circumstantial,?,,positive,no,-dır,
-dır,weak,circumstantial,?,,positive,no,-dır,
-dır,strong,bouletic,?,,positive,no,-dır,
-malı-dır,strong,epistemic,1,tur-modal-evid3,positive,no,-malı-dır,Preference for the “-DIR”less version. Intuition: “-DIR” somehow weakens the statement
-malı-dır,weak necessity,epistemic,1,"tur-modal-evid5, tur-modal-evid6c, tur-modal-evid7",positive,no,-malı-dır,
-malı-dır,weak,epistemic,?,,positive,no,-malı-dır,
-malı-dır,strong,deontic,?,,positive,no,-malı-dır,
-malı-dır,weak necessity,deontic,?,,positive,no,-malı-dır,
-malı-dır,weak,deontic,?,,positive,no,-malı-dır,
-malı-dır,strong,teleological,?,,positive,no,-malı-dır,
-malı-dır,weak necessity,teleological,?,,positive,no,-malı-dır,
-malı-dır,weak,teleological,?,,positive,no,-malı-dır,
-malı-dır,strong,circumstantial,?,,positive,no,-malı-dır,
