ref,context,words,gloss,translation,comment
thk-modal-1,epi-nec-1,Ben	ni-wa 		mû-anka 	wiîgue 	a-kî-buut-ag-îr-a 			thaa 	ino,Ben	foc-MOD 	3-MOD 	be       	1sm-situation-swim-hab-appl-fv 	time 	these,Ben MUST be swimming (right now),
thk-modal-1b,epi-nec-1,N’wa		mwanka	wîgue	Ben	akîbuutagîra			thaa	ino.,Ni-wa		mû-anka	wîgue	Ben	a-kî-buut-ag-îr-a		thaa	ino,Ben MUST be swimming (right now),Natural as a response to “What is Ben doing right now?”
thk-modal-2,epi-nec-3,Ni-wa		mû-anka	wîgue	mû-biira	û-ri	C,Foc-MOD        3-MOD        be        3-ball               3sm-be         C,it MUST be in C,
thk-modal-3,epi-wn-1,Ann	a-ûmba		kû-îgua a-rî 	î-ria-ni.,Ann	1sm-MOD	inf-be	1sm-be 5-lake-loc,“It is likely that Ann is at the lake”,
thk-modal-4,epi-wn-4,Mû-arimû 	n’-wa-ûmbe 		kûû-y-a.,1-teacher         foc-MOD-MOD         inf-come-fv,The teacher is likely to come,
thk-modal-5,epi-pos-1,Mû-arimû         n’-wa-y-e                kana         a-ti-y-e,1-teacher 	foc-MOD-come-fv   or               1sm-neg-come-fv.subj,The teacher may come or not.,
thk-modal-5b,epi-pos-1,"N’-wa		wigue 	mû-arimû 	a-ka-y-a, 	            kana 	a-ti-y-a.",foc-MOD	be	1-teacher	1sm-fut-come-fv	or	1sm-neg-come-fv,The teacher may come or not.,
thk-modal-6,epi-pos-3,Ka-baka ni-wa 		u-îgue 		ka-rî 	ny-omba 	kana 	û-ka-îgua 	ka-rî 	n-ja,12-cat    foc-MOD   	be 		12-be 	9-house 	or  	?-sit-be 	12-be 	9-outside,“The cat may be inside or outside.” ,
thk-modal-7,epi-pos-6,Ann	n’wa		wîgue	a-rî	î-ria-ni.,Ann	foc-MOD 	be     	1sm-be 	5-lake-loc,Ann may  be in the lake.,
thk-modal-8,epi-nnec-1,Ti-wa                 mû-anka         u-îgue         Mary         a-rî         mû-ciî,Neg-MOD         3-MOD           ?-be               Mary         1sm-be         3-home,it is NOT CERTAIN that she is at home.,
thk-modal-8b,epi-nnec-1,Ti racima wîgue Mary arî mûciî.,Neg    MOD           ?-be               Mary         1sm-be         3-home,it is NOT CERTAIN that she is at home.,racima loaned from Swahili lazima
thk-modal-9,epi-imp-1,Ben	a-ti-ûmba 	kû-îgua 	a-rî 	mû-ciî,Ben	1sm-neg-MOD 	inf-be 		1sm-be 	3-home,Ben CAN’T be at home. ,
thk-modal-9b,epi-imp-1,# Ben a-ti-ka-kar-e  		mû-ciî,Ben a-ti-ka-kar-e                  mû-ciî,,
thk-modal-10,epi-imp-2,Mû-biira 	û-ti-ûmba 	kû-gua 		û-rî 	C,3-ball 		3sm-neg-MOD 	inf-be 		1sm-be 	C,it MUST NOT be in C. ,
thk-modal-11,deo-nec-1,Ni-wa  		mû-anka 	û-îkîre 		elmeti,foc-MOD 	3-MOD 	1sm-wear 	helmet,You MUST wear a helmet.,
