ref,context,words,gloss,translation,comment
pes-modal-1,epi-nec-1,Ben 	bayad 	rafte 	 bash-ad        	    shena,Ben 	MOD  	go.pp 	 aux.subj-3sg 	    swimming,‘Ben must be swimming’,
pes-modal-2,epi-nec-2,John  	bayad 	madrese    bash-ad,John 	MOD 	school 	    be.subj-3sg,‘John must be at school’,
pes-modal-3,epi-nec-3,Bayad	  tu    C 	   bash-ad,MOD   	  in    C    be.subj-3sg,‘(it) must be in C’,
pes-modal-4,epi-nec-4,#sag 	 bayad 	xune  	na-bash-ad,  dog 	MOD  	house 	not-be.subj-3sg,,
pes-modal-4b,epi-nec-4,Sag  	na     - bayad 	xune   bash-ad,Dog 	NEG - MOD  	house  be.subj-3sg,“It must be the case that the dog is not in the house”,"correspondent says second, epistemic, is better - where negation is on the modal)"
pes-modal-5,epi-wn-1,Bayad,MOD,,"If one needs to contrast between certainty vs. weak necessity, one adds a modifier like “definitely” to bayad. Or, one can also weaken bayad with “probably”"
pes-modal-6,epi-wn-2,Bayad,MOD,,"If one needs to contrast between certainty vs. weak necessity, one adds a modifier like “definitely” to bayad. Or, one can also weaken bayad with “probably”"
pes-modal-7,epi-wn-3,Bayad,MOD,,"If one needs to contrast between certainty vs. weak necessity, one adds a modifier like “definitely” to bayad. Or, one can also weaken bayad with “probably”"
pes-modal-8,epi-pos-1,Shayad	 be     madrese 	be-y-ad,MOD 	 to      school    	imperf.subj-come-3sg,‘(He) maybe coming to school”,
pes-modal-8b,epi-pos-1,Momken         be     madrese         be-y-ad,MOD 	 to      school    	imperf.subj-come-3sg,‘(He) maybe coming to school”,preferred
pes-modal-8c,epi-pos-1,emkan         be     madrese         be-y-ad,MOD 	 to      school    	imperf.subj-come-3sg,‘(He) maybe coming to school”,less preferred
pes-modal-9,epi-pos-2,Shayad         gardanband- e          Grace         gom         shode                 bash-ad,MOD 	 necklace     - ez  Grace 	lost  	become.pp 	aux.subj-3sg,‘Grace’s necklace may be lost’,
pes-modal-9b,epi-pos-2,Momken         gardanband- e          Grace         gom         shode                 bash-ad,MOD 	 necklace     - ez  Grace 	lost  	become.pp 	aux.subj-3sg,‘Grace’s necklace may be lost’,preferred
pes-modal-9c,epi-pos-2,emkan        gardanband- e          Grace         gom         shode                 bash-ad,MOD 	 necklace     - ez  Grace 	lost  	become.pp 	aux.subj-3sg,‘Grace’s necklace may be lost’,less preferred
pes-modal-10,epi-pos-3,Momken   ast              	(ke)   gorbe 	daxel  	bash-ad…,Possible     be.pres.3sg         that    cat             inside         be.subj- 3sg…,‘(it’s) possible that the cat is inside…’,
pes-modal-10b,epi-pos-3,… Momken ham 	ast	      	(ke) 	biroon	bash-ad,… Possible  also 	be.pres.3sg 	that    	outside	be.subj- 3sg,… ‘(it’s) possible that the cat is outside’,
pes-modal-10c,epi-pos-3,"Gorbe	 shayad    daxel	   bash-ad,          shayad 	ham 	biroon 	bash-ad","Cat     	 MOD	   inside    be.subj-3sg,  maybe  	too   	outside  be.subj-3sg","‘(The) cat maybe inside, or inside’",
pes-modal-11,epi-pos-4,Daniel         momken   ast                 be        NYC     be               - rav - ad,Daniel         possible            to        NYC          imperf.subj - go   - 3sg,‘(It’s) possible Daniel was going to NYC’,
pes-modal-11b,epi-pos-4,Daniel 	shayad	be	NYC     be	       - rav - ad,Daniel        maybe            to        NYC          imperf.subj - go   - 3sg,‘Daniel was maybe going to NYC’,
pes-modal-11c,epi-pos-4,Shayad Daniel	 raft 		       	 NYC,Maybe         be.pres.3sg   Daniel          go.perfective.subj-3sg         NYC,‘Maybe Daniel went to NYC’,
pes-modal-11d,epi-pos-4,#momken	ast                Daniel	 raft 		       	 NYC,possible          be.pres.3sg   Daniel          go.perfective.subj-3sg         NYC,‘Maybe Daniel went to NYC’,
pes-modal-12,epi-nnec-1,Shayad   xune  	na	- bash-ad,MOD      home 	neg	- be.subj-3sg,‘(she) is maybe not at home’,Negation on embedded verb
pes-modal-12b,epi-nnec-1,?mi       -tavan - ad    xune  bash-ad,Imperf- MOD   -3sg home be.subj-3sg,,
pes-modal-12c,epi-nnec-1,Momken   ast              	(ke)    	xune  	na   - bash-ad,Possible     be.pres.3sg 	(that)  	home 	neg - be.subj-3sg,‘It is possible that she is not home’,
pes-modal-12d,epi-nnec-1,#Momken   n     -  ist 		   (ke)    xune  	bash-ad,Possible    neg - be.pres.3sg 	   (that) 	home 	be.subj- 3sg,,
pes-modal-13,epi-imp-1,Momken	 n-ist 		(ke) 	 xune  	bash-ad,Possible 	neg-be.pres.3sg that	 home 	be.subj-3sg,‘It is not possible that he is home’,
pes-modal-13b,epi-imp-1,Emkan         	na -  dar   - ad 	(ke) 	 xune  	bash-ad,Possibility	neg- have - 3sg  that	 home 	be.subj-3sg,‘It is not possible that he is home ’,
pes-modal-13c,epi-imp-1,#Shayad	xune  	na    -	 bash-ad,Maybe	home 	neg  - 	 be.subj-3sg,,
pes-modal-13d,epi-imp-1,#Momken	 ast		(ke)  	xune  	na    - bash-ad, Possible          be.pres.3sg        that          home         neg  - be.subj-3sg,,
pes-modal-14,epi-imp-2,Momken   n     -  ist …,Possible    neg -  be.pres.3sg …,it MUST NOT / CAN’T be in C. ,
pes-modal-14b,epi-imp-2,Emkan     na    -  dar    -   ad …,Possible    neg  -  have  -  3sg …,it MUST NOT / CAN’T be in C. ,
pes-modal-14c,epi-imp-2,Ne	mi       -  tavan	- ad   	tu  C  bashad,Neg        imperf - MOD        - 3sg         in  C  be.subj.3sg,it MUST NOT / CAN’T be in C. ,
pes-modal-15,deo-nec-1,Bayad	 kolah	-e 	imeni 	be	   -   push  -  id,MOD  	 hat	-ez   	safety 	impf.subj -   wear  -  2pl,‘(you) must wear a helmet’,
pes-modal-15b,deo-nec-1,Lazem         ast               (ke)  kolah-e imeni   be           - push - id,Necessary    be-pres-3sg  that  hat-ez   safety  impf.subj- wear - 2pl,‘It’s necessary that you must wear a helmet’,
pes-modal-16,deo-nec-2,Bazdidkonandegan 	bayad 	bimarestan   ra	   ta   sa’at  -  e  6  tark   	be	    - kon -  and,Visitors 	     	MOD   	hospital        acc	   by  clock - ez 6  leave 	impf.subj  - do   -  3pl,‘Visitors must leave the hospital by 6 o’clock’,
