ref,context,words,gloss,translation,comment
hin-modal-1,epi-nec-1,Ben	zaroor		swim	kar	rahaa			hoga,Ben        definitely        swim        do        continuous.Masc.SG    be.FUT.M.SG,Ben MUST be swimming (right now). ,zaroor is an adverbial element; Zaroor can be used as a stand alone answer particle.
hin-modal-1b,epi-nec-1,Ben	swim	hi		kar	rahaa			hoga,Ben        swim        emphatic        do       continuous.M.SG    be.FUT.M.SG,Ben MUST be swimming (right now). ,hi is an adverbial element
hin-modal-1c,epi-nec-1,Ben	swim	kar	raha			hoga.,Ben        swim        do        continuous.Masc.SG        be.FUT.M.SG,Ben is probably swimming.,weaker than what context suggests
hin-modal-2,epi-nec-2,John	zaroor		school	mein	hoga,John	definitely	school	inside	be.FUT.M.SG,John MUST be at school.,
hin-modal-3,epi-nec-3,Ye 	ball 	zaroor 		C 	mein 	hogi,These	ball	definitely	C	inside	be.FUT.F.SG,The ball must be in C.,
hin-modal-4,epi-wn-1,Ann         lake         pe         hi                 hogi ,Ann        lake        at        emphatic        be.FUT.F.SG ,Ann SHOULD be at the lake right now. ,
hin-modal-4b,epi-wn-1,Ann         lake         pe         hi                 hogi                         zaroor,Ann        lake        at        emphatic        be.FUT.F.SG  definitely,Ann SHOULD be at the lake right now. ,hi is slightly weaker than zaroor. 
hin-modal-4c,epi-wn-1,#Ann 	lake	pe 	hi 		hei/ha,Ann	lake	at	emphatic	be.PRES,Ann must be at the lake right now. ,Expresses certainty.
hin-modal-5,epi-wn-2,Goa         mei         barish         ho         hi                 rahi                         hogi,Goa        in        rain.F        be        emphatic        continuous.Masc.SG        be.FUT.F.SG, it SHOULD be raining now in Goa.,
hin-modal-5b,epi-wn-2,Goa         mei         barish         ho         hi                 rahi                         hogi                 zaroor,Goa        in        rain.F        be        emphatic        continuous.Masc.SG        be.FUT.F.SG        definitely, it SHOULD be raining now in Goa.,
hin-modal-6,epi-pos-1,Teacher 	school	aa 		sakta 		hai,teacher		school	come.INF 	can.3SG.M 	be.3SG,He MIGHT be coming to school today.,
hin-modal-6b,epi-pos-1,Teacher         shayad school         aa-yega,Teacher		maybe  	school 	come-3SG.M.FUT,He MIGHT be coming to school today.,
hin-modal-7,epi-pos-2,Shayad Grace	ki 	necklace 	kho.gayi 	hai,Maybe	Grace	of	necklace	lost		be.3SG,Grace’s necklace MIGHT be lost.,
hin-modal-7b,epi-pos-2,ho         sakta                 hai         ki         Grace         ki         necklace  kho.gayi        hai,be	can.M.3SG	be.3SG	of	Grace	of	necklace  lost		be.3SG,Grace’s necklace MIGHT be lost.,
hin-modal-7c,epi-pos-2,Shayad       ho         sakta                 hai         ki         Grace         ki         necklace  kho.gayi        hai,(maybe)	be	can.M.3SG	be.3SG	of	Grace	of	necklace  lost		be.3SG,Grace’s necklace MIGHT be lost.,
hin-modal-8,epi-pos-3,Billi         andar         ho         sakti                 hai    Billi 	andar 	nahi 	bhi 		ho 	sakti 		hai,Cat         inside         be-INF can.3SG.F         be.3SG.F  Cat 	inside 	NEG 	and/also 	be-INF 	can.3SG.F 	be.3SG.F,The cat MAY be inside. The cat MAY also be outside.,
hin-modal-9,epi-nnec-1,Mary-ko         ghar         mein         ho-na                chahiye  par	voh	nahi	bhi	ho	sakti	hai,Mary=DAT        home         inside        be-FUT                can             but	COMP	NEG	also	be	can	PRES.3SG,"Mary should be at home, but she could also not be.",
hin-modal-10,epi-imp-1,Ben 	ghar-mein 	nahi    	ho	sakta 	hai,Ben	home-inside	NEG	be	can	PRES.3SG,Ben CAN’T be at home. ,
hin-modal-11,deo-nec-1,Tum-he		helmet		pehen-na		hi		hoga,You-DAT 	helmet 		wear-FUT.mandatory 	emphasis 	will.have.3SG.M,You MUST wear a helmet.,(best fit)
hin-modal-11b,deo-nec-1,(Indonesia 	me) 	voh 	helmet 	pehen-te 	hain,Indonesia 	in  	they 	helmet 	wear-3PL 	be.3PL,You MUST wear a helmet.,(More habitually/culturally they wear helmets in Indonesia; as a rule)
hin-modal-12,deo-nec-2,Dekhne 	valon-ko 	chhe 	baje 	tak 	jana 	hoga ,See 		people-DAT 	six	o’clcok 	by 	go 	will.have.3PL,Visitors MUST leave by 6pm.,"Two different interpretations of hoga; 
hoga expresses certainty/obligation if the sentence describes a future event; it means speculation/uncertainty if the sentence describes a non-future event. "
hin-modal-13,deo-wn-2,Non-employees=ko	haath	dho-na		chahiye,Non-employees=DAT 	hands 	wash-FUT 	ought to,Non-employees OUGHT TO wash their hands too!,
