expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes
bayad,strong,epistemic,1,"pes-modal-evid1, pes-modal-evid2, pes-modal-evid3",positive,no,bayad,
bayad,weak necessity,epistemic,1,"pes-modal-evid5, pes-modal-evid6, pes-modal-evid7",positive,no,bayad,
bayad,weak,epistemic,,,positive,no,bayad,
bayad,strong,deontic,1,"pes-modal-evid15, pes-modal-evid16",positive,no,bayad,
bayad,weak necessity,deontic,1,"pes-modal-evid17, pes-modal-evid18b",positive,no,bayad,
bayad,weak,deontic,,,positive,no,bayad,
bayad,strong,teleological,1,"pes-modal-evid26, pes-modal-evid27, pes-modal-evid28",positive,no,bayad (hatman),it is noted that the adverb hatman is optional but dropping it weakens the teleological reading
bayad,weak necessity,teleological,1,"pes-modal-evid29, pes-modal-evid31",positive,no,bayad,
bayad,weak,teleological,,,positive,no,bayad,
bayad,strong,circumstantial,1,"pes-modal-evid38, pes-modal-evid39",positive,no,bayad,
bayad,weak,circumstantial,,,positive,no,bayad,
bayad,strong,bouletic,1,pes-modal-evid48,positive,no,bayad,
bayad,strong,epistemic,1,pes-modal-evid4b,negative,high,na-bayad,
bayad,weak necessity,epistemic,,,negative,,,
bayad,weak,epistemic,,,negative,,,
bayad,strong,deontic,1,"pes-modal-evid24, pes-modal-evid25",negative,high,na-bayad,bayad embedding a negation
bayad,weak necessity,deontic,1,"pes-modal-evid23c, pes-modal-evid23d",negative,"
high","hatman na-bayad/
na-bayad hatman",hatman' (definitely) cannot be omitted
bayad,weak,deontic,,,negative,,,
bayad,strong,teleological,1,"pes-modal-evid36c, pes-modal-evid37c",negative,high,na-bayad,
bayad,weak necessity,teleological,1,pes-modal-evid35,negative,high,na-bayad,
bayad,weak,teleological,,,negative,,,
bayad,strong,circumstantial,0,"pes-modal-evid47c, pes-modal-evid47d",negative,high,na-bayad,
bayad,weak,circumstantial,,,negative,,,
bayad,strong,bouletic,,,negative,,,
shayad,strong,epistemic,,,positive,no,shayad,
shayad,weak necessity,epistemic,,,positive,no,shayad,
shayad,weak,epistemic,1,"pes-modal-evid8, pes-modal-evid9, pes-modal-evid11c",positive,no,shayad,
shayad,strong,deontic,,,positive,no,shayad,
shayad,weak necessity,deontic,,,positive,no,shayad,
shayad,weak,deontic,,,positive,no,shayad,
shayad,strong,teleological,,,positive,no,shayad,
shayad,weak necessity,teleological,,,positive,no,shayad,
shayad,weak,teleological,,,positive,no,shayad,
shayad,strong,circumstantial,,,positive,no,shayad,
shayad,weak,circumstantial,,,positive,no,shayad,
shayad,strong,bouletic,,,positive,no,shayad,
shayad,strong,epistemic,,,negative,,,
shayad,weak necessity,epistemic,,,negative,,,
shayad,weak,epistemic,1,pes-modal-evid12,negative,low,shayad ... na-,negation on the embedded verb
shayad,strong,deontic,,,negative,,,
shayad,weak necessity,deontic,,,negative,,,
shayad,weak,deontic,,,negative,,,
shayad,strong,teleological,,,negative,,,
shayad,weak necessity,teleological,,,negative,,,
shayad,weak,teleological,,,negative,,,
shayad,strong,circumstantial,,,negative,,,
shayad,weak,circumstantial,,,negative,,,
shayad,strong,bouletic,,,negative,,,
momken ast,strong,epistemic,,,positive,no,momken ast,ast/ist = be.pres.3sg
momken ast,weak necessity,epistemic,,,positive,no,momken ast,
momken ast,weak,epistemic,1,"pes-modal-evid8b, pes-modal-evid9b, pes-modal-evid10, pes-modal-evid11",positive,no,momken ast,
momken ast,strong,deontic,,,positive,no,momken ast,
momken ast,weak necessity,deontic,,,positive,no,momken ast,
momken ast,weak,deontic,,,positive,no,momken ast,
momken ast,strong,teleological,,,positive,no,momken ast,
momken ast,weak necessity,teleological,,,positive,no,momken ast,
momken ast,weak,teleological,,,positive,no,momken ast,
momken ast,strong,circumstantial,,,positive,no,momken ast,
momken ast,weak,circumstantial,,,positive,no,momken ast,
momken ast,strong,bouletic,,,positive,no,momken ast,
momken ast/ist,strong,epistemic,,,negative,,,
momken ast/ist,weak necessity,epistemic,,,negative,,,
momken ast/ist,weak,epistemic,1,"pes-modal-evid12c, pes-modal-evid13, pes-modal-evid14",negative,yes,"momken ast ... na-
momken n-ist",
momken ast/ist,strong,deontic,,,negative,,,
momken ast/ist,weak necessity,deontic,,,negative,,,
momken ast/ist,weak,deontic,,,negative,,,
momken ast/ist,strong,teleological,,,negative,,,
momken ast/ist,weak necessity,teleological,,,negative,,,
momken ast/ist,weak,teleological,,,negative,,,
momken ast/ist,strong,circumstantial,,,negative,,,
momken ast/ist,weak,circumstantial,1,pes-modal-evid47b,negative,low,momken n-ist,
momken ast/ist,strong,bouletic,,,negative,,,
emkan,strong,epistemic,,,positive,no,emkan,
emkan,weak necessity,epistemic,,,positive,no,emkan,
emkan,weak,epistemic,1,"pes-modal-evid8c, pes-modal-evid9c, pes-modal-evid10b, pes-modal-evid11b",positive,no,emkan,
emkan,strong,deontic,,,positive,no,emkan,
emkan,weak necessity,deontic,,,positive,no,emkan,
emkan,weak,deontic,,,positive,no,emkan,
emkan,strong,teleological,,,positive,no,emkan,
emkan,weak necessity,teleological,,,positive,no,emkan,
emkan,weak,teleological,,,positive,no,emkan,
emkan,strong,circumstantial,,,positive,no,emkan,
emkan,weak,circumstantial,,,positive,no,emkan,
emkan,strong,bouletic,,,positive,no,emkan,
emkan,strong,epistemic,,,negative,,,
emkan,weak necessity,epistemic,,,negative,,,
emkan,weak,epistemic,1,"es-modal-evid13b, pes-modal-evid14b",negative,low,emkan na-,
emkan,strong,deontic,,,negative,,,
emkan,weak necessity,deontic,,,negative,,,
emkan,weak,deontic,,,negative,,,
emkan,strong,teleological,,,negative,,,
emkan,weak necessity,teleological,,,negative,,,
emkan,weak,teleological,,,negative,,,
emkan,strong,circumstantial,,,negative,,,
emkan,weak,circumstantial,,,negative,,,
emkan,strong,bouletic,,,negative,,,
-tavan-,strong,epistemic,,,positive,no,-tavan-,
-tavan-,weak necessity,epistemic,,,positive,no,-tavan-,
-tavan-,weak,epistemic,,,positive,no,-tavan-,
-tavan-,strong,deontic,,,positive,no,-tavan-,
-tavan-,weak necessity,deontic,,,positive,no,-tavan-,
-tavan-,weak,deontic,1,"pes-modal-evid19, pes-modal-evid20, pes-modal-evid21, pes-modal-evid22b",positive,no,-tavan-,
-tavan-,strong,teleological,,,positive,no,-tavan-,
-tavan-,weak necessity,teleological,,,positive,no,-tavan-,
