expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes
chắc hẳn,strong,epistemic,1,"vie-modal-evid1, vie-modal-evid2, vie-modal-evid4",positive,no,chắc hẳn (là),là is glossed as be/COM
chắc hẳn,weak necessity,epistemic,0,"vie-modal-evid5c, vie-modal-evid6c",positive,no,chắc hẳn (là),
chắc hẳn,weak,epistemic,?,,positive,no,chắc hẳn (là),
chắc hẳn,strong,deontic,?,,positive,no,chắc hẳn (là),
chắc hẳn,weak necessity,deontic,?,,positive,no,chắc hẳn (là),
chắc hẳn,weak,deontic,?,,positive,no,chắc hẳn (là),
chắc hẳn,strong,teleological,?,,positive,no,chắc hẳn (là),
chắc hẳn,weak necessity,teleological,?,,positive,no,chắc hẳn (là),
chắc hẳn,weak,teleological,?,,positive,no,chắc hẳn (là),
chắc hẳn,strong,circumstantial,1,vie-modal-evid44,positive,no,chắc hẳn (là),
chắc hẳn,weak,circumstantial,?,,positive,no,chắc hẳn (là),
chắc hẳn,strong,bouletic,?,,positive,no,chắc hẳn (là),
chắc chắn,strong,epistemic,1,"vie-modal-evid2b, vie-modal-evid2c",positive,no,chắc chắn (là),là is glossed as be/COM
chắc chắn,weak necessity,epistemic,?,,positive,no,chắc chắn (là),
chắc chắn,weak,epistemic,?,,positive,no,chắc chắn (là),
chắc chắn,strong,deontic,?,,positive,no,chắc chắn (là),
chắc chắn,weak necessity,deontic,?,,positive,no,chắc chắn (là),
chắc chắn,weak,deontic,?,,positive,no,chắc chắn (là),
chắc chắn,strong,teleological,?,,positive,no,chắc chắn (là),
chắc chắn,weak necessity,teleological,?,,positive,no,chắc chắn (là),
chắc chắn,weak,teleological,?,,positive,no,chắc chắn (là),
chắc chắn,strong,circumstantial,?,,positive,no,chắc chắn (là),
chắc chắn,weak,circumstantial,?,,positive,no,chắc chắn (là),
chắc chắn,strong,bouletic,?,,positive,no,chắc chắn (là),
chắc chắn phải,strong,epistemic,1,vie-modal-evid3c,positive,no,chắc chắn phải (là),
chắc chắn phải,weak necessity,epistemic,?,,positive,no,chắc chắn phải (là),
chắc chắn phải,weak,epistemic,?,,positive,no,chắc chắn phải (là),
chắc chắn phải,strong,deontic,?,,positive,no,chắc chắn phải (là),
chắc chắn phải,weak necessity,deontic,?,,positive,no,chắc chắn phải (là),
chắc chắn phải,weak,deontic,?,,positive,no,chắc chắn phải (là),
chắc chắn phải,strong,teleological,?,,positive,no,chắc chắn phải (là),
chắc chắn phải,weak necessity,teleological,?,,positive,no,chắc chắn phải (là),
chắc chắn phải,weak,teleological,?,,positive,no,chắc chắn phải (là),
chắc chắn phải,strong,circumstantial,?,,positive,no,chắc chắn phải (là),
chắc chắn phải,weak,circumstantial,?,,positive,no,chắc chắn phải (là),
chắc chắn phải,strong,bouletic,?,,positive,no,chắc chắn phải (là),
chắc chắn,strong,epistemic,?,,negative,high,NEG + chắc chắn,
chắc chắn,weak necessity,epistemic,?,,negative,high,NEG + chắc chắn,
chắc chắn,weak,epistemic,?,,negative,high,NEG + chắc chắn,
chắc chắn,strong,deontic,?,,negative,high,NEG + chắc chắn,
chắc chắn,weak necessity,deontic,?,,negative,high,NEG + chắc chắn,
chắc chắn,weak,deontic,?,,negative,high,NEG + chắc chắn,
chắc chắn,strong,teleological,?,,negative,high,NEG + chắc chắn,
chắc chắn,weak necessity,teleological,?,,negative,high,NEG + chắc chắn,
chắc chắn,weak,teleological,?,,negative,high,NEG + chắc chắn,
chắc chắn,strong,circumstantial,1,vie-modal-evid50,negative,high,NEG + chắc chắn,
chắc chắn,weak,circumstantial,?,,negative,high,NEG + chắc chắn,
chắc chắn,strong,bouletic,?,,negative,high,NEG + chắc chắn,
có lẽ,strong,epistemic,?,,positive,no,có lẽ (là),có is glossed as there.is
có lẽ,weak necessity,epistemic,1,"vie-modal-evid5, vie-modal-evid6, vie-modal-evid7",positive,no,có lẽ (là),
có lẽ,weak,epistemic,0,"vie-modal-evid8b, vie-modal-evid10b",positive,no,có lẽ (là),
có lẽ,strong,deontic,?,,positive,no,có lẽ (là),
có lẽ,weak necessity,deontic,?,,positive,no,có lẽ (là),
có lẽ,weak,deontic,?,,positive,no,có lẽ (là),
có lẽ,strong,teleological,?,,positive,no,có lẽ (là),
có lẽ,weak necessity,teleological,?,,positive,no,có lẽ (là),
có lẽ,weak,teleological,?,,positive,no,có lẽ (là),
có lẽ,strong,circumstantial,?,,positive,no,có lẽ (là),
có lẽ,weak,circumstantial,?,,positive,no,có lẽ (là),
có lẽ,strong,bouletic,?,,positive,no,có lẽ (là),
chắc là,strong,epistemic,?,,positive,no,chắc là,
chắc là,weak necessity,epistemic,1,"vie-modal-evid5b, vie-modal-evid6b",positive,no,chắc là,
chắc là,weak,epistemic,?,,positive,no,chắc là,
chắc là,strong,deontic,?,,positive,no,chắc là,
chắc là,weak necessity,deontic,?,,positive,no,chắc là,
chắc là,weak,deontic,?,,positive,no,chắc là,
chắc là,strong,teleological,?,,positive,no,chắc là,
chắc là,weak necessity,teleological,?,,positive,no,chắc là,
chắc là,weak,teleological,?,,positive,no,chắc là,
chắc là,strong,circumstantial,?,,positive,no,chắc là,
chắc là,weak,circumstantial,?,,positive,no,chắc là,
chắc là,strong,bouletic,?,,positive,no,chắc là,
có thể,strong,epistemic,?,,positive,no,có thể (là),
có thể,weak necessity,epistemic,1,vie-modal-evid7b,positive,no,có thể (là),
có thể,weak,epistemic,1,"vie-modal-evid8, vie-modal-evid9, vie-modal-evid10, vie-modal-evid11",positive,no,có thể (là),
có thể,strong,deontic,?,,positive,no,có thể (là),
có thể,weak necessity,deontic,?,,positive,no,có thể (là),
có thể,weak,deontic,1,"vie-modal-evid22, vie-modal-evid23, vie-modal-evid24b",positive,no,có thể (là),
có thể,strong,teleological,?,,positive,no,có thể (là),
có thể,weak necessity,teleological,?,,positive,no,có thể (là),
có thể,weak,teleological,1,"vie-modal-evid36, vie-modal-evid37, vie-modal-evid38",positive,no,có thể (là),
có thể,strong,circumstantial,?,,positive,no,có thể (là),
có thể,weak,circumstantial,1,"vie-modal-evid45, vie-modal-evid46, vie-modal-evid47b, vie-modal-evid48, vie-modal-evid49",positive,no,có thể (là),
có thể,strong,bouletic,?,,positive,no,có thể (là),
thể,strong,epistemic,?,,negative,high,NEG + thể,
thể,weak necessity,epistemic,?,,negative,high,NEG + thể,
thể,weak,epistemic,?,,negative,high,NEG + thể,
thể,strong,deontic,?,,negative,high,NEG + thể,
thể,weak necessity,deontic,?,,negative,high,NEG + thể,
thể,weak,deontic,?,,negative,high,NEG + thể,
thể,strong,teleological,?,,negative,high,NEG + thể,
thể,weak necessity,teleological,?,,negative,high,NEG + thể,
thể,weak,teleological,1,"vie-modal-evid40, vie-modal-evid41",negative,high,NEG + thể,
thể,strong,circumstantial,?,,negative,high,NEG + thể,
thể,weak,circumstantial,1,"vie-modal-evid51, vie-modal-evid52, vie-modal-evid53",negative,high,NEG + thể,
thể,strong,bouletic,?,,negative,high,NEG + thể,
phải,strong,epistemic,?,,positive,no,phải,
phải,weak necessity,epistemic,?,,positive,no,phải,
phải,weak,epistemic,?,,positive,no,phải,
phải,strong,deontic,1,"vie-modal-evid15, vie-modal-evid16",positive,no,phải,
phải,weak necessity,deontic,?,,positive,no,phải,
phải,weak,deontic,?,,positive,no,phải,
phải,strong,teleological,1,"vie-modal-evid30b, vie-modal-evid31b, vie-modal-evid32b",positive,no,phải,
phải,weak necessity,teleological,?,,positive,no,phải,
phải,weak,teleological,?,,positive,no,phải,
phải,strong,circumstantial,?,,positive,no,phải,
phải,weak,circumstantial,?,,positive,no,phải,
phải,strong,bouletic,?,,positive,no,phải,
buộc phải,strong,epistemic,?,,positive,no,buộc phải,"buộc is translated as ""obligatorily"""
buộc phải,weak necessity,epistemic,?,,positive,no,buộc phải,
buộc phải,weak,epistemic,?,,positive,no,buộc phải,
buộc phải,strong,deontic,1,vie-modal-evid15b,positive,no,buộc phải,
buộc phải,weak necessity,deontic,?,,positive,no,buộc phải,
buộc phải,weak,deontic,?,,positive,no,buộc phải,
buộc phải,strong,teleological,?,,positive,no,buộc phải,
buộc phải,weak necessity,teleological,?,,positive,no,buộc phải,
buộc phải,weak,teleological,?,,positive,no,buộc phải,
buộc phải,strong,circumstantial,?,,positive,no,buộc phải,
buộc phải,weak,circumstantial,?,,positive,no,buộc phải,
buộc phải,strong,bouletic,?,,positive,no,buộc phải,
ắt phải,strong,epistemic,1,vie-modal-evid3d,positive,no,ắt phải (là),
ắt phải,weak necessity,epistemic,?,,positive,no,ắt phải (là),
ắt phải,weak,epistemic,?,,positive,no,ắt phải (là),
ắt phải,strong,deontic,?,,positive,no,ắt phải (là),
ắt phải,weak necessity,deontic,?,,positive,no,ắt phải (là),
ắt phải,weak,deontic,?,,positive,no,ắt phải (là),
ắt phải,strong,teleological,?,,positive,no,ắt phải (là),
ắt phải,weak necessity,teleological,?,,positive,no,ắt phải (là),
ắt phải,weak,teleological,?,,positive,no,ắt phải (là),
ắt phải,strong,circumstantial,1,vie-modal-evid44b,positive,no,ắt phải (là),
ắt phải,weak,circumstantial,?,,positive,no,ắt phải (là),
ắt phải,strong,bouletic,?,,positive,no,ắt phải (là),
phải,strong,epistemic,?,,negative,high,NEG + phải,
phải,weak necessity,epistemic,?,,negative,high,NEG + phải,
phải,weak,epistemic,?,,negative,high,NEG + phải,
phải,strong,deontic,1,"vie-modal-evid26b, vie-modal-evid27b",negative,high,NEG + phải,
phải,weak necessity,deontic,?,,negative,high,NEG + phải,
phải,weak,deontic,?,,negative,high,NEG + phải,
phải,strong,teleological,?,,negative,high,NEG + phải,
phải,weak necessity,teleological,?,,negative,high,NEG + phải,
phải,weak,teleological,?,,negative,high,NEG + phải,
phải,strong,circumstantial,?,,negative,high,NEG + phải,
phải,weak,circumstantial,?,,negative,high,NEG + phải,
phải,strong,bouletic,1,vie-modal-evid54c,negative,high,NEG + phải,
cần phải,strong,epistemic,?,,positive,no,cần phải,
cần phải,weak necessity,epistemic,?,,positive,no,cần phải,
cần phải,weak,epistemic,?,,positive,no,cần phải,
cần phải,strong,deontic,0,vie-modal-evid15c,positive,no,cần phải,
cần phải,weak necessity,deontic,1,"vie-modal-evid17, vie-modal-evid18, vie-modal-evid19",positive,no,cần phải,
cần phải,weak,deontic,?,,positive,no,cần phải,
