ref,words,gloss,translation,comment
dutch-modal-1,Ben zal  aan het zwemmen zijn.,Ben MOD prep DET swimming be,Ben must be swimming,
dutch-modal-2,Jon zal op school zijn.,John MOD on school be,John must be at school,Zal is weaker than moet.  
dutch-modal-2b,Jon moet op school zijn.,John MOD on school be,John must be at school,"Moet is not appropriate in this context, otherwise you’d just say “he is in school”"
dutch-modal-3,Het moet in  C zitten.,It MOD in  C be,It must be in C,
dutch-modal-3b,Het moeten in  C zitten.,It MOD in  C be,It must be in C,"If you’re 100% certain, moeten is more appropriate"
dutch-modal-4,De hond moet buiten zijn.,The dog MOD outside be,the dog must be outside,
dutch-modal-4b,De hond kan   niet  in het  huis  zijn.,The dog MOD NEG  in the  house  be,the dog must not be in the house,
dutch-modal-4c,De  hond  kan  niet  binnen  zijn,The  dog  MOD  NEG  inside  be,the dog must not be in inside,
dutch-modal-4d,De hond moet niet in het huis zijn,the dog MOD NEG in the house be,the dog must not be in the house,
dutch-modal-4e,De hond zal buiten zijn.,The dog MOD outside be,the dog must be outside,Zal not appropriate because you’ve checked every room in the house
dutch-modal-4f,De hond zal wel buiten zijn.,The dog MOD outside be,the dog must be outside,"""zal wel"" can be used here, giving rise to the inference that the speaker doesn't care that much where the dog is."
dutch-modal-5,Ann zal nu bij het meer zijn.,Ann MOD now near the lake be,Ann should be at the lake right now,Zal more likely to be used when you’re more sure that she’s at the lake 
dutch-modal-5b,Ann  zou bij het meer  kunnen zijn.,Ann  MOD near the lake MOD   be,Ann should be at the lake right now,for when you’re not sure: “could be there”
dutch-modal-5c,Ann is waarschijnlijk  bij het meer,Ann is probably near the lake,Ann is probably near the lake,more natural option suggested by the reviewer
dutch-modal-6,Het zal   aan het regenen  zijn in Goa.,It MOD prep it rain.inf  be in goa,it should be raining now in Goa.,
dutch-modal-6b,Het zal  wel aan het regenen  zijn in Goa,It MOD prep it rain.inf be in goa,it should be raining now in Goa.,more natural option suggested by the reviewer
dutch-modal-7,Mary is waarschijnlijk  thuis,Mary is probably at.home,Mary should be at home.,
dutch-modal-7b,Mary zal  thuis zijn.,Mary MOD  at.home be,Mary should be at home.,
dutch-modal-7c,Mary zal waarschijnlijk thuis zijn,Mary MOD probably   at.home be,Mary should be at home.,
dutch-modal-7d,Mary zal wel thuis zijn.,Mary MOD  MOD at.home be,Mary should be at home.,more natural option suggested by the reviewer (but with an inference of speaker indifference)
dutch-modal-8,Hij komt misschien  naar  school  vandaag.,He comes maybe  to school  today,He might be coming to school today.,
dutch-modal-8b,Hij  zou naar school kunnen komen vandaag.,He  MOD to school MOD come today,He might be coming to school today.,"This wouldn’t be 100% appropriate in this context, because it sounds like you’re half expecting the teacher not to come. But there is an expectation for teachers to come to class. "
dutch-modal-8c,Hij kan naar school komen vandaag,He MOD to school come today,He might be coming to school today.,Variant with just kunnen  cannot have the targeted meaning (just ability).
dutch-modal-9,Grace’s ketting is  misschien  kwijt.,Grace’s necklace is  maybe   lost,Grace’s necklace might be lost,
dutch-modal-9b,Grace’s ketting  zou  kwijt  kunnen zijn.,Grace’s necklace MOD lost MOD be,Grace’s necklace might be lost,offered by the reviewer
dutch-modal-10,De kat kan  binnen  zijn.  De kat kan  ook  buiten  zijn.,The cat MOD inside  be.  The cat MOD also  outside be,The cat may be inside. The cat may also be outside.,
dutch-modal-10b,De kat zou  binnen zijn. De  kat zou  ook  buiten  kunnen zijn.,The  cat   MOD inside 	 	     be. 	  The 	cat   MOD  also  outside  MOD 	be.,The cat may be inside. The cat may also be outside.,ungrammatical
