expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes
dolžen,strong,epistemic,1,"rus-modal-evid2, rus-modal-evid3",positive,no,dolžen,
dolžen,weak necessity,epistemic,1,rus-modal-evid5,positive,no,dolžen,
dolžen,weak,epistemic,0,,positive,no,dolžen,
dolžen,strong,deontic,1,"rus-modal-evid15, rus-modal-evid16",positive,no,dolžen,
dolžen,weak necessity,deontic,?,,positive,no,dolžen,
dolžen,weak,deontic,?,,positive,no,dolžen,
dolžen,strong,teleological,1,"rus-modal-evid29b, rus-modal-evid30b, rus-modal-evid31c",positive,no,dolžen,
dolžen,weak necessity,teleological,0,rus-modal-evid34b,positive,no,dolžen,
dolžen,weak,teleological,?,,positive,no,dolžen,
dolžen,strong,circumstantial,1,"rus-modal-evid43, rus-modal-evid44",positive,no,dolžen,
dolžen,weak,circumstantial,?,,positive,no,dolžen,
dolžen,strong,bouletic,1,"rus-modal-evid54, rus-modal-evid55",positive,no,dolžen,
dolžno,strong,epistemic,1,"rus-modal-evid1b, rus-modal-evid4",positive,no,dolžno,
dolžno,weak necessity,epistemic,1,"rus-modal-evid6b, rus-modal-evid7",positive,no,dolžno,
dolžno,weak,epistemic,?,,positive,no,dolžno,
dolžno,strong,deontic,?,,positive,no,dolžno,
dolžno,weak necessity,deontic,?,,positive,no,dolžno,
dolžno,weak,deontic,?,,positive,no,dolžno,
dolžno,strong,teleological,1,"rus-modal-evid29b, rus-modal-evid30b, rus-modal-evid31c",positive,no,dolžno,
dolžno,weak necessity,teleological,?,,positive,no,dolžno,
dolžno,weak,teleological,?,,positive,no,dolžno,
dolžno,strong,circumstantial,0,rus-modal-evid41c,positive,no,dolžno,
dolžno,weak,circumstantial,?,,positive,no,dolžno,
dolžno,strong,bouletic,?,,positive,no,dolžno,
nužno,strong,epistemic,?,,positive,no,nužno,
nužno,weak necessity,epistemic,?,,positive,no,nužno,
nužno,weak,epistemic,?,,positive,no,nužno,
nužno,strong,deontic,?,,positive,no,nužno,
nužno,weak necessity,deontic,?,,positive,no,nužno,
nužno,weak,deontic,?,,positive,no,nužno,
nužno,strong,teleological,1,"rus-modal-evid29, rus-modal-evid30, rus-modal-evid31b",positive,no,nužno,
nužno,weak necessity,teleological,?,,positive,no,nužno,
nužno,weak,teleological,?,,positive,no,nužno,
nužno,strong,circumstantial,1,"rus-modal-evid41, rus-modal-evid42",positive,no,nužno,express some sort of physiological necessity 
nužno,weak,circumstantial,?,,positive,no,nužno,
nužno,strong,bouletic,?,,positive,no,nužno,
nado,strong,epistemic,?,,positive,no,nado,
nado,weak necessity,epistemic,?,,positive,no,nado,
nado,weak,epistemic,?,,positive,no,nado,
nado,strong,deontic,?,,positive,no,nado,
nado,weak necessity,deontic,?,,positive,no,nado,
nado,weak,deontic,?,,positive,no,nado,
nado,strong,teleological,1,rus-modal-evid31,positive,no,nado,
nado,weak necessity,teleological,?,,positive,no,nado,
nado,weak,teleological,?,,positive,no,nado,
nado,strong,circumstantial,1,"rus-modal-evid41b, rus-modal-evid42b, rus-modal-evid43b",positive,no,nado,express some sort of physiological necessity 
nado,weak,circumstantial,?,,positive,no,nado,
nado,strong,bouletic,1,rus-modal-evid54b,positive,no,nado,
sleduet,strong,epistemic,?,,positive,no,sleduet,
sleduet,weak necessity,epistemic,?,,positive,no,sleduet,
sleduet,weak,epistemic,?,,positive,no,sleduet,
sleduet,strong,deontic,?,,positive,no,sleduet,
sleduet,weak necessity,deontic,1,"rus-modal-evid17, rus-modal-evid18, rus-modal-evid19",positive,no,sleduet,
sleduet,weak,deontic,?,,positive,no,sleduet,
sleduet,strong,teleological,?,,positive,no,sleduet,
sleduet,weak necessity,teleological,1,"rus-modal-evid32, rus-modal-evid33, rus-modal-evid34",positive,no,sleduet,
sleduet,weak,teleological,?,,positive,no,sleduet,
sleduet,strong,circumstantial,?,,positive,no,sleduet,
sleduet,weak,circumstantial,?,,positive,no,sleduet,
sleduet,strong,bouletic,?,,positive,no,sleduet,
možet,strong,epistemic,?,,positive,no,možet,
možet,weak necessity,epistemic,?,,positive,no,možet,
možet,weak,epistemic,1,"rus-modal-evid8b, rus-modal-evid9b, rus-modal-evid10, rus-modal-evid11",positive,no,možet,
možet,strong,deontic,?,,positive,no,možet,
možet,weak necessity,deontic,?,,positive,no,možet,
možet,weak,deontic,1,"rus-modal-evid20, rus-modal-evid21, rus-modal-evid22, rus-modal-evid24",positive,no,možet,
možet,strong,teleological,?,,positive,no,možet,
možet,weak necessity,teleological,?,,positive,no,možet,
možet,weak,teleological,1,"rus-modal-evid35, rus-modal-evid36, rus-modal-evid37",positive,no,možet,
možet,strong,circumstantial,?,,positive,no,možet,
možet,weak,circumstantial,1,"rus-modal-evid45b, rus-modal-evid46, rus-modal-evid47",positive,no,možet,
možet,strong,bouletic,?,,positive,no,možet,
možno,strong,epistemic,?,,positive,no,možno,
možno,weak necessity,epistemic,?,,positive,no,možno,
možno,weak,epistemic,?,,positive,no,možno,
možno,strong,deontic,?,,positive,no,možno,
možno,weak necessity,deontic,?,,positive,no,možno,
možno,weak,deontic,1,rus-modal-evid23,positive,no,možno,
možno,strong,teleological,0,rus-modal-evid31d,positive,no,možno,
možno,weak necessity,teleological,1,rus-modal-evid34c,positive,no,možno,
možno,weak,teleological,?,,positive,no,možno,
možno,strong,circumstantial,?,,positive,no,možno,
možno,weak,circumstantial,?,,positive,no,možno,
možno,strong,bouletic,?,,positive,no,možno,
vozmožno,strong,epistemic,?,,positive,no,vozmožno,adverb translated as 'possibly'
vozmožno,weak necessity,epistemic,?,,positive,no,vozmožno,
vozmožno,weak,epistemic,1,"rus-modal-evid8, rus-modal-evid9, rus-modal-evid10b, rus-modal-evid11b",positive,no,vozmožno,
vozmožno,strong,deontic,?,,positive,no,vozmožno,
vozmožno,weak necessity,deontic,?,,positive,no,vozmožno,
vozmožno,weak,deontic,0,rus-modal-evid20b,positive,no,vozmožno,
vozmožno,strong,teleological,?,,positive,no,vozmožno,
vozmožno,weak necessity,teleological,?,,positive,no,vozmožno,
vozmožno,weak,teleological,?,,positive,no,vozmožno,
vozmožno,strong,circumstantial,?,,positive,no,vozmožno,
vozmožno,weak,circumstantial,1,"rus-modal-evid45c, rus-modal-evid46b, rus-modal-evid49b",positive,no,vozmožno,
vozmožno,strong,bouletic,?,,positive,no,vozmožno,
objazani,strong,epistemic,?,,positive,no,objazani,Objazan = required to 
objazani,weak necessity,epistemic,?,,positive,no,objazani,
objazani,weak,epistemic,?,,positive,no,objazani,
objazani,strong,deontic,1,rus-modal-evid15b,positive,no,objazani,
objazani,weak necessity,deontic,?,,positive,no,objazani,
objazani,weak,deontic,?,,positive,no,objazani,
objazani,strong,teleological,?,,positive,no,objazani,
objazani,weak necessity,teleological,?,,positive,no,objazani,
objazani,weak,teleological,?,,positive,no,objazani,
objazani,strong,circumstantial,1,rus-modal-evid44b,positive,no,objazani,
objazani,weak,circumstantial,?,,positive,no,objazani,
objazani,strong,bouletic,?,,positive,no,objazani,
navernoje,strong,epistemic,1,"rus-modal-evid1, rus-modal-evid2b, rus-modal-evid3b",positive,no,navernoje,"adverb translated as ""probably"""
navernoje,weak necessity,epistemic,1,"rus-modal-evid5b, rus-modal-evid6, rus-modal-evid7b",positive,no,navernoje,
navernoje,weak,epistemic,0,rus-modal-evid8c,positive,no,navernoje,
navernoje,strong,deontic,?,,positive,no,navernoje,
navernoje,weak necessity,deontic,?,,positive,no,navernoje,
navernoje,weak,deontic,0,rus-modal-evid20c,positive,no,navernoje,
navernoje,strong,teleological,?,,positive,no,navernoje,
navernoje,weak necessity,teleological,?,,positive,no,navernoje,
navernoje,weak,teleological,?,,positive,no,navernoje,
navernoje,strong,circumstantial,?,,positive,no,navernoje,
navernoje,weak,circumstantial,?,,positive,no,navernoje,
navernoje,strong,bouletic,?,,positive,no,navernoje,
xočet,strong,epistemic,?,,positive,no,xočet,
xočet,weak necessity,epistemic,?,,positive,no,xočet,
xočet,weak,epistemic,?,,positive,no,xočet,
xočet,strong,deontic,?,,positive,no,xočet,
xočet,weak necessity,deontic,?,,positive,no,xočet,
xočet,weak,deontic,?,,positive,no,xočet,
xočet,strong,teleological,?,,positive,no,xočet,
xočet,weak necessity,teleological,?,,positive,no,xočet,
xočet,weak,teleological,?,,positive,no,xočet,
xočet,strong,circumstantial,?,,positive,no,xočet,
xočet,weak,circumstantial,?,,positive,no,xočet,
xočet,strong,bouletic,1,rus-modal-evid56,positive,no,xočet,
byl by,strong,epistemic,,,positive,no,byl by,(cop + pst)
byl by,weak necessity,epistemic,,,positive,no,byl by,
byl by,weak,epistemic,,,positive,no,byl by,
byl by,strong,deontic,,,positive,no,byl by,
byl by,weak necessity,deontic,1,,positive,no,byl by,"byl by indicates a past-tense obligation, not usable for present tense dwn"
byl by,weak,deontic,,,positive,no,byl by,
byl by,strong,teleological,,,positive,no,byl by,
byl by,weak necessity,teleological,,,positive,no,byl by,
byl by,weak,teleological,,,positive,no,byl by,
byl by,strong,circumstantial,,,positive,no,byl by,
byl by,weak,circumstantial,,,positive,no,byl by,
byl by,strong,bouletic,,,positive,no,byl by,
možet,strong,epistemic,1,rus-modal-evid12b,negative,low,možet ne,
možet,weak necessity,epistemic,?,,negative,low,možet ne,
možet,weak,epistemic,?,,negative,low,možet ne,
možet,strong,deontic,?,,negative,low,možet ne,
možet,weak necessity,deontic,?,,negative,low,možet ne,
možet,weak,deontic,?,,negative,low,možet ne,
možet,strong,teleological,?,,negative,low,možet ne,
možet,weak necessity,teleological,?,,negative,low,možet ne,
možet,weak,teleological,?,,negative,low,možet ne,
možet,strong,circumstantial,1,rus-modal-evid50c,negative,low,možet ne,
možet,weak,circumstantial,?,,negative,low,možet ne,
možet,strong,bouletic,?,,negative,low,možet ne,
možet,strong,epistemic,1,"rus-modal-evid13, rus-modal-evid14",negative,high,ne možet,
možet,weak necessity,epistemic,?,,negative,high,ne možet,
možet,weak,epistemic,1,,negative,high,ne možet,
možet,strong,deontic,?,,negative,high,ne možet,
možet,weak necessity,deontic,?,,negative,high,ne možet,
možet,weak,deontic,1,"rus-modal-evid27, rus-modal-evid28",negative,high,ne možet,
možet,strong,teleological,?,,negative,high,ne možet,
možet,weak necessity,teleological,?,,negative,high,ne možet,
možet,weak,teleological,1,rus-modal-evid39,negative,high,ne možet,
možet,strong,circumstantial,1,,negative,high,ne možet,
možet,weak,circumstantial,1,"rus-modal-evid51, rus-modal-evid52, rus-modal-evid53",negative,high,ne možet,
možet,strong,bouletic,?,,negative,high,ne možet,
dolžen,strong,epistemic,0,rus-modal-evid13b,negative,high,ne dolžen,
dolžen,weak necessity,epistemic,?,,negative,high,ne dolžen,
dolžen,weak,epistemic,?,,negative,high,ne dolžen,
dolžen,strong,deontic,?,,negative,high,ne dolžen,
dolžen,weak necessity,deontic,?,,negative,high,ne dolžen,
dolžen,weak,deontic,?,,negative,high,ne dolžen,
dolžen,strong,teleological,0,rus-modal-evid38d,negative,high,ne dolžen,
dolžen,weak necessity,teleological,?,,negative,high,ne dolžen,
dolžen,weak,teleological,?,,negative,high,ne dolžen,
dolžen,strong,circumstantial,?,,negative,high,ne dolžen,
dolžen,weak,circumstantial,1,"rus-modal-evid52b, rus-modal-evid53b",negative,high,ne dolžen,
dolžen,strong,bouletic,?,,negative,high,ne dolžen,
dolžno,strong,epistemic,?,,negative,high,ne dolzno,
dolžno,weak necessity,epistemic,?,,negative,high,ne dolzno,
dolžno,weak,epistemic,0,rus-modal-evid12d,negative,high,ne dolzno,
dolžno,strong,deontic,?,,negative,high,ne dolzno,
dolžno,weak necessity,deontic,?,,negative,high,ne dolzno,
dolžno,weak,deontic,?,,negative,high,ne dolzno,
dolžno,strong,teleological,?,,negative,high,ne dolzno,
dolžno,weak necessity,teleological,?,,negative,high,ne dolzno,
dolžno,weak,teleological,?,,negative,high,ne dolzno,
dolžno,strong,circumstantial,?,,negative,high,ne dolzno,
dolžno,weak,circumstantial,?,,negative,high,ne dolzno,
dolžno,strong,bouletic,?,,negative,high,ne dolzno,
Nel’zya,strong,epistemic,?,,negative,no,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,weak necessity,epistemic,?,,negative,no,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,weak,epistemic,0,"rus-modal-evid13d, rus-modal-evid14b",negative,no,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,strong,deontic,?,,negative,no,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,weak necessity,deontic,?,,negative,no,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,weak,deontic,1,"rus-modal-evid27b, rus-modal-evid28b",negative,no,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,strong,teleological,?,,negative,no,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,weak necessity,teleological,?,,negative,no,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,weak,teleological,1,rus-modal-evid40,negative,no,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,strong,circumstantial,?,,negative,no,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,weak,circumstantial,0,"rus-modal-evid51b, rus-modal-evid53c",negative,no,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
