ref,context,premise,example,judgment,comment,index
tha-modal-evid1,epi-nec-1,na,tha-modal-1,felicitous,,1
tha-modal-evid1b,epi-nec-1,na,tha-modal-1b,felicitous,dispreferred,2
tha-modal-evid1c,epi-nec-1,na,tha-modal-1c,ungrammatical,,3
tha-modal-evid1d,epi-nec-1,na,tha-modal-1d,felicitous,,4
tha-modal-evid2,epi-nec-2,na,tha-modal-2,felicitous,,5
tha-modal-evid2b,epi-nec-2,na,tha-modal-2b,felicitous,,6
tha-modal-evid3,epi-nec-3,na,tha-modal-3,felicitous,,7
tha-modal-evid55,epi-nec-4,na,tha-modal-55,felicitous,,8
tha-modal-evid55b,epi-nec-4,na,tha-modal-55b,felicitous,,9
tha-modal-evid55c,epi-nec-4,na,tha-modal-55c,felicitous,,10
tha-modal-evid4,epi-wn-1,na,tha-modal-4,felicitous,,11
tha-modal-evid4b,epi-wn-1,na,tha-modal-4b,ungrammatical,,12
tha-modal-evid4c,epi-wn-1,na,tha-modal-4c,felicitous,,13
tha-modal-evid4d,epi-wn-1,na,tha-modal-4d,ungrammatical,,14
tha-modal-evid5,epi-wn-2,na,tha-modal-5,felicitous,,15
tha-modal-evid5b,epi-wn-2,na,tha-modal-5b,ungrammatical,,16
tha-modal-evid5c,epi-wn-2,na,tha-modal-5c,felicitous,,17
tha-modal-evid5d,epi-wn-2,na,tha-modal-5d,ungrammatical,,18
tha-modal-evid6,epi-wn-3,na,tha-modal-6,felicitous,,19
tha-modal-evid6b,epi-wn-3,na,tha-modal-6b,ungrammatical,,20
tha-modal-evid6c,epi-wn-3,na,tha-modal-6c,felicitous,,21
tha-modal-evid6d,epi-wn-3,na,tha-modal-6d,ungrammatical,,22
tha-modal-evid7,epi-pos-1,na,tha-modal-7,felicitous,,23
tha-modal-evid7b,epi-pos-1,na,tha-modal-7b,ungrammatical,,24
tha-modal-evid7c,epi-pos-1,na,tha-modal-7c,felicitous,,25
tha-modal-evid7d,epi-pos-1,na,tha-modal-7d,ungrammatical,,26
tha-modal-evid8,epi-pos-2,na,tha-modal-8,felicitous,,27
tha-modal-evid8b,epi-pos-2,na,tha-modal-8b,ungrammatical,,28
tha-modal-evid9,epi-pos-3,na,tha-modal-9,felicitous,,29
tha-modal-evid9b,epi-pos-3,na,tha-modal-9b,ungrammatical,,30
tha-modal-evid10,epi-pos-4,na,tha-modal-10,felicitous,,31
tha-modal-evid10b,epi-pos-4,na,tha-modal-10b,ungrammatical,,32
tha-modal-evid10c,epi-pos-4,na,tha-modal-10c,felicitous,,33
tha-modal-evid11,epi-nnec-1,na,tha-modal-11,felicitous,,34
tha-modal-evid11b,epi-nnec-1,na,tha-modal-11b,ungrammatical,,35
tha-modal-evid11c,epi-nnec-1,na,tha-modal-11c,infelicitous,,36
tha-modal-evid12,epi-imp-1,na,tha-modal-12,felicitous,,37
tha-modal-evid12b,epi-imp-1,na,tha-modal-12b,infelicitous,,38
tha-modal-evid13,epi-imp-2,na,tha-modal-13,felicitous,,39
tha-modal-evid13b,epi-imp-2,na,tha-modal-13b,ungrammatical,,40
tha-modal-evid14,deo-nec-1,na,tha-modal-14,felicitous,,41
tha-modal-evid14b,deo-nec-1,na,tha-modal-14b,felicitous,,42
tha-modal-evid15,deo-nec-2,na,tha-modal-15,felicitous,,43
tha-modal-evid16,deo-wn-1,na,tha-modal-16,felicitous,,44
tha-modal-evid16b,deo-wn-1,na,tha-modal-16b,felicitous,,45
tha-modal-evid16c,deo-wn-1,na,tha-modal-16c,felicitous,dispreferred,46
tha-modal-evid17,deo-wn-2,na,tha-modal-17,felicitous,,47
tha-modal-evid17b,deo-wn-2,na,tha-modal-17b,felicitous,,48
tha-modal-evid17c,deo-wn-2,na,tha-modal-17c,felicitous,,49
tha-modal-evid18,deo-wn-3,na,tha-modal-18,felicitous,,50
tha-modal-evid18b,deo-wn-3,na,tha-modal-18b,felicitous,,51
tha-modal-evid18c,deo-wn-3,na,tha-modal-18c,felicitous,,52
tha-modal-evid19,deo-pos-1,na,tha-modal-19,felicitous,,53
tha-modal-evid19b,deo-pos-1,na,tha-modal-19b,felicitous,,54
tha-modal-evid19c,deo-pos-1,na,tha-modal-19c,felicitous,,55
tha-modal-evid19d,deo-pos-1,na,tha-modal-19d,infelicitous,,56
tha-modal-evid19e,deo-pos-1,na,tha-modal-19e,infelicitous,,57
tha-modal-evid20,deo-pos-2,na,tha-modal-20,felicitous,,58
tha-modal-evid20b,deo-pos-2,na,tha-modal-20b,felicitous,,59
tha-modal-evid21,deo-pos-3,na,tha-modal-21,felicitous,,60
tha-modal-evid21b,deo-pos-3,na,tha-modal-21b,felicitous,,61
tha-modal-evid21c,deo-pos-3,na,tha-modal-21c,felicitous,,62
tha-modal-evid22,deo-pos-4,na,tha-modal-22,felicitous,,63
tha-modal-evid22b,deo-pos-4,na,tha-modal-22b,felicitous,,64
tha-modal-evid23,deo-pos-5,na,tha-modal-23,felicitous,,65
tha-modal-evid23b,deo-pos-5,na,tha-modal-23b,felicitous,,66
