ref,context,premise,example,judgment,comment,index
spa-modal-evid1,epi-nec-1,na,spa-modal-1,felicitous,,1
spa-modal-evid2,epi-nec-2,na,spa-modal-2,felicitous,,2
spa-modal-evid3,epi-nec-3,na,spa-modal-3,felicitous,,3
spa-modal-evid4,epi-nec-4,na,spa-modal-4,felicitous,,4
spa-modal-evid5,epi-wn-1,na,spa-modal-5,felicitous,,5
spa-modal-evid6,epi-wn-2,na,spa-modal-6,felicitous,,6
spa-modal-evid6b,epi-wn-2,na,spa-modal-6b,felicitous,,7
spa-modal-evid7,epi-wn-3,na,spa-modal-7,felicitous,,8
spa-modal-evid7b,epi-wn-3,na,spa-modal-7b,felicitous,,9
spa-modal-evid8,epi-pos-1,na,spa-modal-8,felicitous,,10
spa-modal-evid9,epi-pos-2,na,spa-modal-9,felicitous,,11
spa-modal-evid10,epi-pos-3,na,spa-modal-10,felicitous,,12
spa-modal-evid10b,epi-pos-3,na,spa-modal-10b,felicitous,,13
spa-modal-evid10c,epi-pos-3,na,spa-modal-10c,ungrammatical,,14
spa-modal-evid11,epi-pos-4,na,spa-modal-11,felicitous,,15
spa-modal-evid12,epi-nnec-1,na,spa-modal-12,felicitous,,16
spa-modal-evid13,epi-imp-1,na,spa-modal-13,felicitous,,17
spa-modal-evid14,epi-imp-2,na,spa-modal-14,felicitous,,18
spa-modal-evid15,deo-nec-1,na,spa-modal-15,felicitous,,19
spa-modal-evid16,deo-nec-2,na,spa-modal-16,felicitous,,20
spa-modal-evid17,deo-wn-1,na,spa-modal-17,felicitous,,21
spa-modal-evid18,deo-wn-2,na,spa-modal-18,felicitous,,22
spa-modal-evid19,deo-wn-3,na,spa-modal-19,felicitous,,23
spa-modal-evid20,deo-pos-1,na,spa-modal-20,felicitous,,24
spa-modal-evid21,deo-pos-2,na,spa-modal-21,felicitous,,25
spa-modal-evid22,deo-pos-3,na,spa-modal-22,felicitous,,26
spa-modal-evid22b,deo-pos-3,na,spa-modal-22b,felicitous,,27
spa-modal-evid23,deo-pos-4,na,spa-modal-23,felicitous,,28
spa-modal-evid24,deo-pos-5,na,spa-modal-24,felicitous,,29
spa-modal-evid25,deo-nnec-1,na,spa-modal-25,felicitous,,30
spa-modal-evid26,deo-nnec-2,na,spa-modal-26,felicitous,,31
spa-modal-evid26b,deo-nnec-2,na,spa-modal-26b,felicitous,,32
spa-modal-evid26c,deo-nnec-2,na,spa-modal-26c,infelicitous,,33
spa-modal-evid27,deo-imp-1,na,spa-modal-27,felicitous,,34
spa-modal-evid28,deo-imp-2,na,spa-modal-28,felicitous,,35
spa-modal-evid28b,deo-imp-2,na,spa-modal-28b,felicitous,,36
spa-modal-evid29,tel-nec-1,na,spa-modal-29,felicitous,,37
spa-modal-evid29b,tel-nec-1,na,spa-modal-29b,felicitous,,38
spa-modal-evid30,tel-nec-2,na,spa-modal-30,felicitous,,39
spa-modal-evid30b,tel-nec-2,na,spa-modal-30b,felicitous,,40
spa-modal-evid30c,tel-nec-2,na,spa-modal-30c,felicitous,,41
spa-modal-evid31,tel-nec-3,na,spa-modal-31,felicitous,,42
spa-modal-evid31b,tel-nec-3,na,spa-modal-31b,infelicitous,,43
spa-modal-evid32,tel-wn-1,na,spa-modal-32,felicitous,,44
spa-modal-evid33,tel-wn-2,na,spa-modal-33,felicitous,,45
spa-modal-evid34,tel-wn-3,na,spa-modal-34,felicitous,preferred,46
spa-modal-evid34b,tel-wn-3,na,spa-modal-34b,felicitous,,47
spa-modal-evid35,tel-pos-1,na,spa-modal-35,felicitous,,48
spa-modal-evid36,tel-pos-2,na,spa-modal-36,felicitous,,49
spa-modal-evid37,tel-pos-3,na,spa-modal-37,felicitous,,50
spa-modal-evid38,tel-nnec-1,na,spa-modal-38,felicitous,,51
spa-modal-evid38b,tel-nnec-1,na,spa-modal-38b,felicitous,,52
spa-modal-evid39,tel-imp-1,na,spa-modal-39,felicitous,,53
spa-modal-evid40,tel-imp-2,na,spa-modal-40,felicitous,,54
spa-modal-evid40b,tel-imp-2,na,spa-modal-40b,felicitous,,55
spa-modal-evid41,cir-nec-1,na,spa-modal-41,felicitous,,56
spa-modal-evid42,cir-nec-2,na,spa-modal-42,felicitous,,57
spa-modal-evid43,cir-nec-3,na,spa-modal-43,felicitous,,58
spa-modal-evid43b,cir-nec-3,na,spa-modal-43b,felicitous,,59
spa-modal-evid43c,cir-nec-3,na,spa-modal-43c,felicitous,,60
spa-modal-evid44,cir-pos-1,na,spa-modal-44,felicitous,,61
spa-modal-evid45,cir-pos-2,na,spa-modal-45,felicitous,,62
spa-modal-evid45b,cir-pos-2,na,spa-modal-45b,felicitous,,63
spa-modal-evid46,cir-pos-3,na,spa-modal-46,felicitous,,64
spa-modal-evid46b,cir-pos-3,na,spa-modal-46b,felicitous,,65
spa-modal-evid47,cir-pos-4,na,spa-modal-47,felicitous,,66
spa-modal-evid47b,cir-pos-4,na,spa-modal-47b,felicitous,,67
spa-modal-evid48,cir-pos-5,na,spa-modal-48,felicitous,,68
spa-modal-evid48b,cir-pos-5,na,spa-modal-48b,felicitous,,69
spa-modal-evid49,cir-nnec-1,na,spa-modal-49,felicitous,,70
spa-modal-evid50,cir-imp-3,na,spa-modal-50,felicitous,,71
