ref,context,premise,example,judgment,comment,index
kor-modal-evid1,epi-nec-1,na,kor-modal-1,felicitous,,1
kor-modal-evid1b,epi-nec-1,na,kor-modal-1b,felicitous,,2
kor-modal-evid2,epi-nec-2,na,kor-modal-2,felicitous,preferred,3
kor-modal-evid2b,epi-nec-2,na,kor-modal-2b,felicitous,,4
kor-modal-evid3,epi-nec-3,na,kor-modal-3,felicitous,,5
kor-modal-evid3b,epi-nec-3,na,kor-modal-3b,infelicitous,,6
kor-modal-evid4,epi-wn-1,na,kor-modal-4,felicitous,,7
kor-modal-evid4b,epi-wn-1,na,kor-modal-4b,felicitous,marginal,8
kor-modal-evid5,epi-wn-2,na,kor-modal-5,felicitous,,9
kor-modal-evid6,epi-wn-3,na,kor-modal-6,felicitous,,10
kor-modal-evid6b,epi-wn-3,na,kor-modal-6b,felicitous,,11
kor-modal-evid6c,epi-wn-3,na,kor-modal-6c,felicitous,marginal,12
kor-modal-evid6d,epi-wn-3,na,kor-modal-6d,felicitous,marginal,13
kor-modal-evid7,epi-pos-1,na,kor-modal-7,felicitous,,14
kor-modal-evid7b,epi-pos-1,na,kor-modal-7b,felicitous,,15
kor-modal-evid7c,epi-pos-1,na,kor-modal-7c,felicitous,,16
kor-modal-evid7d,epi-pos-1,na,kor-modal-7d,felicitous,,17
kor-modal-evid8,epi-pos-2,na,kor-modal-8,felicitous,,18
kor-modal-evid8b,epi-pos-2,na,kor-modal-8b,felicitous,,19
kor-modal-evid9,epi-nnec-1,na,kor-modal-9,felicitous,,20
kor-modal-evid10,epi-imp-1,na,kor-modal-10,felicitous,,21
kor-modal-evid11,epi-imp-2,na,kor-modal-11,felicitous,,22
kor-modal-evid12,deo-nec-1,na,kor-modal-12,felicitous,,23
kor-modal-evid12b,deo-nec-1,na,kor-modal-12b,felicitous,,24
kor-modal-evid12c,deo-nec-1,na,kor-modal-12c,felicitous,,25
kor-modal-evid12d,deo-nec-2,na,kor-modal-12d,felicitous,,26
kor-modal-evid13,deo-wn-1,na,kor-modal-13,felicitous,,27
kor-modal-evid13b,deo-wn-1,na,kor-modal-13b,felicitous,,28
kor-modal-evid14,deo-wn-2,na,kor-modal-14,felicitous,,29
kor-modal-evid14b,deo-wn-2,na,kor-modal-14b,felicitous,,30
kor-modal-evid15,deo-wn-3,na,kor-modal-15,felicitous,,31
kor-modal-evid15b,deo-wn-3,na,kor-modal-15b,felicitous,,32
kor-modal-evid16,deo-pos-1,na,kor-modal-16,felicitous,,33
kor-modal-evid16b,deo-pos-1,na,kor-modal-16b,ungrammatical,,34
kor-modal-evid17,deo-pos-2,na,kor-modal-17,felicitous,,35
kor-modal-evid18,deo-pos-3,na,kor-modal-18,felicitous,,36
kor-modal-evid19,deo-pos-4,na,kor-modal-19,felicitous,,37
kor-modal-evid20,deo-pos-5,na,kor-modal-20,felicitous,,38
kor-modal-evid21,deo-nnec-1,na,kor-modal-21,felicitous,,39
kor-modal-evid21b,deo-nnec-1,na,kor-modal-21b,felicitous,,40
kor-modal-evid22,deo-nnec-2,na,kor-modal-22,felicitous,,41
kor-modal-evid23,deo-imp-1,na,kor-modal-23,felicitous,,42
kor-modal-evid24,deo-imp-2,na,kor-modal-24,felicitous,,43
kor-modal-evid25,tel-nec-1,na,kor-modal-25,felicitous,,44
kor-modal-evid25b,tel-nec-1,na,kor-modal-25b,felicitous,,45
kor-modal-evid26,tel-nec-2,na,kor-modal-26,felicitous,,46
kor-modal-evid27,tel-nec-3,na,kor-modal-27,felicitous,,47
kor-modal-evid28,tel-wn-1,na,kor-modal-28,felicitous,,48
kor-modal-evid29,tel-wn-2,na,kor-modal-29,felicitous,,49
kor-modal-evid30,tel-wn-3,na,kor-modal-30,felicitous,,50
kor-modal-evid31,tel-pos-1,na,kor-modal-31,felicitous,,51
kor-modal-evid32,tel-pos-2,na,kor-modal-32,felicitous,,52
kor-modal-evid33,tel-pos-3,na,kor-modal-33,felicitous,,53
kor-modal-evid34,tel-nnec-1,na,kor-modal-34,felicitous,,54
kor-modal-evid34b,tel-nnec-1,na,kor-modal-34b,felicitous,,55
kor-modal-evid35,tel-imp-1,na,kor-modal-35,felicitous,,56
kor-modal-evid36,tel-imp-2,na,kor-modal-36,felicitous,,57
kor-modal-evid37,cir-nec-1,na,kor-modal-37,felicitous,,58
kor-modal-evid38,cir-nec-2,na,kor-modal-38,felicitous,marginal,59
kor-modal-evid39,cir-nec-3,na,kor-modal-39,felicitous,,60
kor-modal-evid40,cir-pos-1,na,kor-modal-40,felicitous,,61
kor-modal-evid41,cir-pos-2,na,kor-modal-41,felicitous,,62
kor-modal-evid42,cir-pos-3,na,kor-modal-42,felicitous,,63
kor-modal-evid43,cir-pos-4,na,kor-modal-43,felicitous,,64
kor-modal-evid44,cir-pos-5,na,kor-modal-44,felicitous,,65
kor-modal-evid45,cir-nnec-1,na,kor-modal-45,felicitous,,66
kor-modal-evid46,cir-imp-1,na,kor-modal-46,felicitous,,67
kor-modal-evid47,cir-imp-2,na,kor-modal-47,felicitous,,68
kor-modal-evid48,bou-nec-1,na,kor-modal-48,felicitous,,69
kor-modal-evid49,bou-nec-2,na,kor-modal-49,felicitous,,70
kor-modal-evid50,bou-nec-3,na,kor-modal-50,felicitous,,71
